round,arch,n_workers,rmse,r2,gamma,U,alphas,betas,consensus,stability,progress,worker_losses,elapsed
1,STGCN,4,2.554769515991211,0.0011566133136698964,0.7596784293547272,1.0626067134737969,"[0.2499057952629819, 0.2499057952629819, 0.25028261421105424, 0.2499057952629819]","[0.8146823033868686, 0.7385241817035454, 0.7743735519619382, 0.7443304243623491]","[0.1754437866505698, 0.24628383764304262, 0.2242135264794606, 0.2210625419376385]","[0.11239949340482382, 0.13984469369108368, 0.0981075638816121, 0.16426523175599003]","[0.0, 0.0, 0.06849640335502998, 0.0]","[0.25903910398483276, 1.094527006149292, 1.444878339767456, 0.9876192808151245]",25.123469829559326
2,STGCN,4,2.54714035987854,0.007113290193123012,0.7587446080058813,1.0735928469896316,"[0.25, 0.25, 0.25, 0.25]","[0.7590005939537332, 0.7544770451724405, 0.7564031258798141, 0.6980182129895687]","[0.25554515319001997, 0.2532593767097958, 0.2590617022697174, 0.3009571457225761]","[-0.022387180963341136, 0.06624131819573102, 0.07139709213563511, 0.007647548873315425]","[0.5252360136706483, 0.0, 0.0, 0.0]","[0.5638990998268127, 0.8462128639221191, 1.0055949687957764, 1.9082705974578857]",25.33620810508728
3,STGCN,4,2.4434986114501953,0.08626937968687198,0.7608040564313531,1.049364041984081,"[0.24906790521919905, 0.24906790521919905, 0.25279628434240287, 0.24906790521919905]","[0.6888248825149355, 0.8202478801954625, 0.7193406391298499, 0.7233796153274319]","[0.311377036683887, 0.21697229152866893, 0.29534255587237784, 0.2853432314192683]","[-0.047282598262877056, -0.010521384749756791, 0.06286322701802308, 0.039422397870360365]","[0.0, 0.9452074377480583, 0.8002937723650694, 0.0]","[1.2803617715835571, 0.030464138835668564, 0.17428380250930786, 1.0054960250854492]",24.126652479171753
4,STGCN,4,2.12689471244812,0.30771344136112533,0.7615982140704989,1.0400210109353065,"[0.24524914013698523, 0.24992886535895437, 0.25811395540856424, 0.24670803909549613]","[0.6548106308135432, 0.6104671918698995, 0.6698134409326313, 0.6657005290662316]","[0.43167593567120016, 0.46761517905604144, 0.420801535001897, 0.4239517676199341]","[0.05429146929397242, 0.03818401799693211, 0.07969954290970341, 0.01961889648280299]","[0.0, 1.0586001140717014, 1.524451823352777, 0.713081035583362]","[0.42054030299186707, -0.05061423033475876, -0.2937959134578705, 0.31734976172447205]",24.898844003677368
5,STGCN,4,1.5057364702224731,0.6530300479097209,0.7654273159757257,0.994972753226757,"[0.24506028370515226, 0.24849038583778416, 0.25140026008437427, 0.2550490703726893]","[0.6059212413254338, 0.5983966004615399, 0.6537734197486262, 0.6630848689734306]","[0.4884224673515915, 0.5000942625934522, 0.4657760816607109, 0.4312425751864433]","[0.15725216222094854, 0.03186570165569464, 0.06803608175134122, 0.14190238164499444]","[0.0, 0.8722425099316173, 0.8060095725210695, 0.6528663880081019]","[0.5592412948608398, 0.056155428290367126, 0.10145317018032074, 0.5297932624816895]",24.88928461074829
6,STGCN,4,1.2021976709365845,0.7788200588905108,0.7679040567174554,0.965834626853466,"[0.24614155286017342, 0.24614155286017342, 0.2516919374900899, 0.25602495678956333]","[0.6357408994066214, 0.693876767263711, 0.6709318563511044, 0.6786256868020556]","[0.42748490063658867, 0.38797768999042387, 0.4139157288823072, 0.385553466504613]","[0.1827437005623736, 0.17284555841883742, 0.0669595554544134, 0.08876733725958495]","[0.0, 0.0, 0.8045678322868066, 1.1502895824930903]","[0.02274700626730919, 0.7832335233688354, 0.4368768334388733, -0.18829265236854553]",24.819737434387207
7,STGCN,4,1.0403131246566772,0.8343764326119871,0.7707905413284898,0.9318759843707084,"[0.25770039963674196, 0.24743320012108602, 0.24743320012108602, 0.24743320012108602]","[0.6918977402751444, 0.775262491471066, 0.7177457617588071, 0.7372091216732293]","[0.3198773329552731, 0.24558420981283402, 0.32112899570970044, 0.2715587862248923]","[0.12656707739691878, 0.14675180370084495, 0.1358537397851916, 0.053330124762909235]","[1.004225966025125, 0.0, 0.0, 0.0]","[-0.0009298287332057953, 0.24634681642055511, 0.4054470956325531, 0.11145999282598495]",24.863490343093872
8,STGCN,4,0.8830389380455017,0.8806689012870952,0.770426859550178,0.936154593527317,"[0.24620905417225425, 0.25294892969730665, 0.25463296195818486, 0.24620905417225425]","[0.7807341531480869, 0.6779420198502414, 0.7604239932259119, 0.7749223420841858]","[0.2358245613570131, 0.3163426066473502, 0.2530216492766942, 0.21312817538670262]","[0.041689407890893156, 0.07310237473824471, 0.12407454432360107, 0.07731605478487161]","[0.0, 1.1678343131727251, 1.0716267868550458, 0.0]","[0.8398193120956421, -0.11246556043624878, -0.05826986953616142, 1.0834143161773682]",24.97495126724243
9,STGCN,4,0.7926937937736511,0.9038376970255971,0.7714897688135505,0.923649778664112,"[0.24308814176750287, 0.24308814176750287, 0.24308814176750287, 0.2707355746974914]","[0.7922281015340101, 0.7852437274372144, 0.7895527883390285, 0.7776192249300677]","[0.16178386610319073, 0.1739382229932344, 0.1860853282863504, 0.18433739211173175]","[0.14212960631938598, -0.004499852828301633, -0.01498965162261585, 0.15832157312253348]","[0.0, 6.523463607242416, 1.8651529233464381, 3.690938595807818]","[0.09617526084184647, -0.1018076241016388, -0.2987510561943054, -0.1365586221218109]",24.439073085784912
10,STGCN,4,0.8546929359436035,0.8882071101891195,0.617491209051609,0.9192469257116317,"[0.2501262163001809, 0.2496597181167768, 0.2524887260147126, 0.2477253395683297]","[0.8009934437538251, 0.7930383529437028, 0.7990831093541754, 0.8306322973441432]","[0.13480994449914516, 0.14510868588241155, 0.14063793910432246, 0.11710998862723937]","[0.1605980461435212, 0.024717674399996344, 0.14617361292998093, 0.04014252957618918]","[0.44549375399185975, 2.168605029234271, 0.9264709230460829, 0.0]","[1.4618406295776367, -0.08654367178678513, 0.07169285416603088, 0.5699127912521362]",25.137345790863037
11,STGCN,4,0.7854799032211304,0.9055799727055698,0.7710657264128328,0.9286385127902032,"[0.24548638576132956, 0.24548638576132956, 0.2470703039942228, 0.261956924483118]","[0.80830680259784, 0.7872988780763842, 0.7759660535158885, 0.7913650993304804]","[0.1593154658912729, 0.17083706489873082, 0.17251901159314345, 0.16652886646577106]","[0.11366222297918095, 0.0725744326461634, 0.1696368432147717, 0.14960232949357594]","[0.0, 0.0, 0.21976147472807625, 2.606603865830865]","[-0.0036063510924577713, 1.2110928297042847, 0.26811760663986206, -0.35814207792282104]",25.617637157440186
12,STGCN,4,0.7572447061538696,0.9122461058173528,0.7737901368007063,0.8965866258740425,"[0.24923651281403508, 0.24923651281403508, 0.24923651281403508, 0.25229046155789475]","[0.7870212021792496, 0.8081646525675693, 0.7596542169257609, 0.8370480495170751]","[0.17483868677748074, 0.1498948606168759, 0.1830112451409984, 0.09623304400544085]","[0.12340295524345404, 0.038065376675578515, 0.13875743040766342, 0.12714805605861973]","[0.0, 0.0, 0.0, 0.9953348707467298]","[0.07534988224506378, 0.31149768829345703, 1.4268357753753662, 0.001747172325849533]",24.83301305770874
13,STGCN,4,0.7580190896987915,0.9120665253166552,0.7739255593806504,0.8949934190511704,"[0.24492118029613566, 0.2447780818793251, 0.2594973369725231, 0.2508034008520162]","[0.7862342946238794, 0.755363695438044, 0.7723991419684929, 0.8223497211178351]","[0.17198001919453054, 0.21507659297544088, 0.19572087760343823, 0.1327654882011959]","[0.004477542653674543, 0.11294954061941424, 0.1288275681031362, 0.0842015631213152]","[0.7589708452899823, 0.0, 2.3159305108297876, 2.1752601115882158]","[0.10535949468612671, 0.14966127276420593, -0.27168962359428406, -0.09733431786298752]",24.28883194923401
14,STGCN,4,0.7163283228874207,0.9214731466943613,0.7749828231856226,0.8825550213456154,"[0.24849771124228467, 0.24849771124228467, 0.25319731137048573, 0.24980726614494497]","[0.8399848479628891, 0.8281133052415846, 0.800788858050849, 0.7914927694403705]","[0.08409808400501416, 0.1158835254273309, 0.13591992679999912, 0.12639343106324316]","[0.025520559785785553, 0.14183622975076207, 0.10963338285649722, 0.019602725206453463]","[0.0, 0.0, 1.2572976349898926, 2.121384308213421]","[-0.2987958788871765, 0.7868701219558716, -0.09747573733329773, -0.5374630689620972]",24.602710962295532
