round,arch,n_workers,rmse,r2,gamma,U,alphas,betas,consensus,stability,progress,worker_losses,elapsed
1,SpatialMamba,2,2.2455995082855225,0.22828205373774724,0.760163795170188,1.0568965274095534,"[0.5000719943775422, 0.4999280056224577]","[0.6864942809186693, 0.6700870662870805]","[0.0802707019562243, 0.0802707019562243]","[0.1863624545634431, 0.10285987844372474]","[0.869117194029882, 1.5397960471700363]","[0.25443148612976074, -0.2907906472682953]",43.50926923751831
2,SpatialMamba,2,1.6194541454315186,0.598642601504432,0.7824730468511581,0.7944347429275513,"[0.4940088156542204, 0.5059911843457795]","[0.6012139403642967, 0.633204860898961]","[0.23996135672170754, 0.23996135672170754]","[0.025041724081281726, 0.09462479085949027]","[0.0, 1.055473661273156]","[0.2770063877105713, -0.0765717625617981]",44.06122708320618
3,SpatialMamba,2,1.4002875089645386,0.6999260038978881,0.7938806259796023,0.6602279296517373,"[0.5037974015123515, 0.49620259848764847]","[0.688028924964885, 0.6147117029213748]","[0.16047618027965888, 0.16047618027965888]","[0.10717206468532818, 0.04872271532489585]","[0.8832079519560674, 0.0]","[0.034115009009838104, 0.015354536473751068]",43.57045125961304
4,SpatialMamba,2,1.239720106124878,0.7647978660378505,0.7953701655328274,0.6427039349079132,"[0.4996666841941905, 0.5003333158058095]","[0.6548251411609975, 0.6448505453401938]","[0.15558944783031806, 0.15558944783031806]","[0.09137482876355661, 0.08863945723873148]","[2.335536648638542, 2.504283987739473]","[-0.08622343838214874, -0.5471442937850952]",43.97362470626831
5,SpatialMamba,2,0.9026250243186951,0.8753165912923097,0.7961261568039655,0.6338099199533462,"[0.5, 0.5]","[0.7088884114510436, 0.6222838438261824]","[0.1262417508974761, 0.1262417508974761]","[0.09023281384142864, 0.04747191015061938]","[0.0, 0.0]","[9.695756912231445, 0.5288946032524109]",43.6150324344635
6,SpatialMamba,2,1.055721402168274,0.8294339407161888,0.6387916815710069,0.6060046827793122,"[0.4998984039911283, 0.5001015960088717]","[0.7056399198967181, 0.6997281981984259]","[0.01252295775437608, 0.01252295775437608]","[0.11496805104844869, 0.00836632327735778]","[0.0, 3.8788749073197826]","[1.161859393119812, -0.36736220121383667]",44.02243089675903
7,SpatialMamba,2,1.050870418548584,0.8309978501713127,0.638596363965273,0.6088770005106926,"[0.5, 0.5]","[0.7183315075087288, 0.636794108840807]","[0.09240889016936608, 0.09240889016936608]","[0.10232243561943903, 0.07905440792736734]","[0.0, 0.0]","[0.38951045274734497, 0.4103110432624817]",43.69404649734497
8,SpatialMamba,2,0.9880585074424744,0.8505970251860739,0.6387592916023731,0.6064810058474541,"[0.4999039696913054, 0.5000960303086945]","[0.7072113124148715, 0.6169457876159746]","[0.1367150529591451, 0.1367150529591451]","[0.0940076449439287, 0.12097180782727004]","[3.0156118469861544, 2.3666689075186405]","[-0.4060184061527252, -0.38059282302856445]",43.73912262916565
9,SpatialMamba,2,1.0690258741378784,0.8251078339224337,0.6394810854887962,0.5958663898706436,"[0.49987730029779043, 0.5001226997022097]","[0.6552181042850715, 0.6793414004981775]","[0.11041993983486594, 0.11041993983486594]","[0.06759999111281814, 0.07001339231331229]","[0.19167458840158205, 0.24855300634765187]","[-0.25183525681495667, -0.4124101996421814]",43.81404685974121
10,SpatialMamba,2,1.1109802722930908,0.8111110007538476,0.6389178391182423,0.6041494247317314,"[0.5, 0.5]","[0.7088475084956495, 0.6036113268364522]","[0.157204726745797, 0.157204726745797]","[0.07253508297425654, 0.045687264257878245]","[0.0, 0.0]","[0.912907063961029, 0.490884006023407]",43.89324760437012
11,SpatialMamba,2,1.0269466638565063,0.8386051326879698,0.6394953800177574,0.5956561762094498,"[0.5, 0.5]","[0.6804939086716288, 0.6105176907601502]","[0.17498609378449143, 0.17498609378449143]","[0.04779196326449729, 0.11466093222828688]","[0.0, 0.0]","[-0.21214213967323303, 0.10552677512168884]",43.68841052055359
12,SpatialMamba,2,1.1222357749938965,0.807264299405802,0.6404673463594914,0.5813625535368919,"[0.4992632520534517, 0.5007367479465483]","[0.7032698349892412, 0.6255250108732946]","[0.1270440859871929, 0.1270440859871929]","[0.015591383705674219, 0.029669472671316623]","[1.0133960942843483, 1.3143769685512174]","[-0.008130848407745361, -0.14540380239486694]",43.36325192451477
13,SpatialMamba,2,1.0926798582077026,0.8172826200261861,0.6388003465044498,0.6058772572875023,"[0.38991488527422524, 0.6100851147257748]","[0.7577656581859787, 0.6070028944555107]","[0.10477598397851412, 0.10477598397851412]","[0.01148088709397653, 0.0687208988566832]","[0.8445897902095181, 62.31490284636009]","[0.15884357690811157, -0.6910287737846375]",42.879985332489014
14,SpatialMamba,2,1.1500176191329956,0.7976035207523481,0.6384201059949399,0.6114690294861793,"[0.5, 0.5]","[0.6969706293809526, 0.6616289025686587]","[0.07908267017145718, 0.07908267017145718]","[0.04069826731694764, 0.0798126109644502]","[0.0, 0.0]","[0.21222630143165588, 0.3692522346973419]",42.93568539619446
15,SpatialMamba,2,1.0653870105743408,0.8262964387344283,0.6372431038308144,0.6287778848409653,"[0.5022492118866827, 0.4977507881133173]","[0.6808073852148289, 0.6314693289950221]","[0.14301313338223476, 0.14301313338223476]","[0.05416299979093309, 0.10795093539693303]","[1.1614891091871713, 0.0]","[-0.020966164767742157, 0.23083069920539856]",42.86188530921936
16,SpatialMamba,2,1.1835658550262451,0.7856226968456353,0.6366247254180908,0.6378716850280761,"[0.5000610679890479, 0.49993893201095196]","[0.6250016764065, 0.6469915355646042]","[0.19185602579960068, 0.19185602579960068]","[0.11213694094896165, 0.05214484131439584]","[0.011354479818166114, 0.0]","[0.5600557327270508, 0.8155563473701477]",42.86575365066528
17,SpatialMamba,2,1.181421160697937,0.7863989148981934,0.6391084339725972,0.6013465592265129,"[0.4934859206866829, 0.506514079313317]","[0.6552840557246367, 0.6652869144544244]","[0.1282110380220623, 0.1282110380220623]","[0.09845961401692746, 0.004281953263100824]","[0.0, 47.46466654848604]","[2.2664780616760254, -0.23629021644592285]",42.87290048599243
18,SpatialMamba,2,1.077925443649292,0.8221837642725673,0.6397427736568452,0.5920180344581604,"[0.47974991133542094, 0.520250088664579]","[0.6542881748370959, 0.6395476706135724]","[0.16336289540912496, 0.16336289540912496]","[0.010180501419996988, 0.0884178542607192]","[0.0, 5.610882864186987]","[1.192183017730713, -0.3668175935745239]",42.85069561004639
