arch,tier,target,n_subsets,strategy,subset_val_r2s,combined_val_r2,fine_tune_r2,std_R2,space_R2,time_R2,both_R2,train_time_s,eval_time_s,total_time_s,combine_time_s
STGCN,GRAPH,temp,1,baseline,[0.9565],0.9565,0.9565,0.9181,0.9565,0.9181,0.9565,152.9,28.6,181.5,
STGCN,GRAPH,temp,2,fedavg,"[-99.0, 0.9601]",-49.0199,0.9636,0.9307,0.9636,0.9307,0.9636,259.2,28.1,395.8,108.5
STGCN,GRAPH,temp,4,fedavg,"[-99.0, -99.0, -99.0, 0.9636]",-74.0091,0.9574,0.9265,0.9574,0.9265,0.9574,492.7,29.1,620.8,99.0
STGCN,GRAPH,temp,4,weighted,"[-99.0, -99.0, -99.0, 0.9636]",-74.0091,0.9622,0.9321,0.9622,0.9321,0.9622,492.7,27.7,620.7,100.2
STGCN,GRAPH,temp,8,fedavg,"[-99.0, -99.0, -99.0, -99.0, -99.0, -99.0, 0.9432, 0.9358]",-74.0151,0.953,0.9258,0.953,0.9258,0.953,509.2,29.1,634.1,95.7
STGCN,GRAPH,temp,8,weighted,"[-99.0, -99.0, -99.0, -99.0, -99.0, -99.0, 0.9432, 0.9358]",-74.0151,0.9577,0.926,0.9577,0.926,0.9577,509.2,29.9,639.0,100.0
STGCN,GRAPH,temp,8,momentum,"[-99.0, -99.0, -99.0, -99.0, -99.0, -99.0, 0.9432, 0.9358]",-74.0151,0.9549,0.924,0.9549,0.924,0.9549,509.2,29.7,636.7,97.8
STGCN,GRAPH,temp,8,belief,"[-99.0, -99.0, -99.0, -99.0, -99.0, -99.0, 0.9432, 0.9358]",-74.0151,0.9581,0.9237,0.9581,0.9237,0.9581,509.2,28.2,634.0,96.5
SpatialMamba,SSM,temp,1,baseline,[0.9555],0.9555,0.9555,0.9208,0.9555,0.9208,0.9555,276.6,27.6,304.2,
SpatialMamba,SSM,temp,2,fedavg,"[-99.0, 0.9639]",-49.0181,0.9628,0.9287,0.9628,0.9287,0.9628,339.5,27.6,462.7,95.6
