arch,target,ablation,val_r2,elapsed_s,description
BiGRU_NoGCN,temp,no_gcn,0.8951,144.7,Remove GCN — temporal only
BiGRU_NoGCN,temp,no_temporal,,0.0,Remove temporal encoder — GCN only
BiGRU_NoGCN,temp,no_attention,0.9143,93.1,Remove attention — GRU only
BiGRU_NoGCN,temp,no_laplacian,0.8933,143.1,Remove graph Laplacian loss (lam_smooth=0)
BiGRU_NoGCN,temp,no_uncertainty,0.8808,135.4,Remove uncertainty head — point prediction only
GCN_NoTemporal,temp,no_gcn,0.8902,28.3,Remove GCN — temporal only
GCN_NoTemporal,temp,no_temporal,0.9157,16.4,Remove temporal encoder — GCN only
GCN_NoTemporal,temp,no_attention,0.9157,16.7,Remove attention — GRU only
GCN_NoTemporal,temp,no_laplacian,0.9194,16.8,Remove graph Laplacian loss (lam_smooth=0)
GCN_NoTemporal,temp,no_uncertainty,0.9157,16.8,Remove uncertainty head — point prediction only
DeepESN,temp,no_gcn,0.3304,66.8,Remove GCN — temporal only
DeepESN,temp,no_temporal,,0.0,Remove temporal encoder — GCN only
DeepESN,temp,no_attention,0.259,56.4,Remove attention — GRU only
DeepESN,temp,no_laplacian,0.3313,70.0,Remove graph Laplacian loss (lam_smooth=0)
DeepESN,temp,no_uncertainty,0.2959,67.2,Remove uncertainty head — point prediction only
SpatialESN,temp,no_gcn,0.6499,51.5,Remove GCN — temporal only
SpatialESN,temp,no_temporal,,0.0,Remove temporal encoder — GCN only
SpatialESN,temp,no_attention,0.5855,41.7,Remove attention — GRU only
SpatialESN,temp,no_laplacian,0.6365,41.6,Remove graph Laplacian loss (lam_smooth=0)
SpatialESN,temp,no_uncertainty,0.5585,43.7,Remove uncertainty head — point prediction only
GraphSAGE,temp,no_gcn,0.8971,221.5,Remove GCN — temporal only
GraphSAGE,temp,no_temporal,,0.0,Remove temporal encoder — GCN only
GraphSAGE,temp,no_attention,0.9269,92.3,Remove attention — GRU only
GraphSAGE,temp,no_laplacian,0.9091,251.9,Remove graph Laplacian loss (lam_smooth=0)
GraphSAGE,temp,no_uncertainty,0.8919,234.7,Remove uncertainty head — point prediction only
GAT,temp,no_gcn,0.904,179.3,Remove GCN — temporal only
GAT,temp,no_temporal,,0.0,Remove temporal encoder — GCN only
GAT,temp,no_attention,,0.0,Remove attention — GRU only
GAT,temp,no_laplacian,,0.0,Remove graph Laplacian loss (lam_smooth=0)
GAT,temp,no_uncertainty,,0.0,Remove uncertainty head — point prediction only
STGCN,temp,no_gcn,0.9029,119.1,Remove GCN — temporal only
STGCN,temp,no_temporal,0.9004,126.0,Remove temporal encoder — GCN only
STGCN,temp,no_attention,0.9004,131.1,Remove attention — GRU only
STGCN,temp,no_laplacian,0.902,151.7,Remove graph Laplacian loss (lam_smooth=0)
STGCN,temp,no_uncertainty,0.9055,132.9,Remove uncertainty head — point prediction only
SpatialTransformer,temp,no_gcn,0.9173,45.4,Remove GCN — temporal only
SpatialTransformer,temp,no_temporal,,0.0,Remove temporal encoder — GCN only
SpatialTransformer,temp,no_attention,0.9119,53.0,Remove attention — GRU only
SpatialTransformer,temp,no_laplacian,0.9127,51.5,Remove graph Laplacian loss (lam_smooth=0)
