Model,Tier,Target,Type,Predicts,Evaluation_Units,Train_Time_s,Train_Time_min,N_Features,Cyclical_Features,Wavelet_Approx,Uncertainty_Var,Spatial_Holdout,std_test_R2,std_test_KGE,std_test_ubRMSE,std_test_FreezeAcc,std_test_DTW,std_test_KL_Div,std_test_CRPS,std_test_Bias,std_test_N,std_test_inference_s,unseen_time_R2,unseen_time_KGE,unseen_time_ubRMSE,unseen_time_FreezeAcc,unseen_time_DTW,unseen_time_KL_Div,unseen_time_CRPS,unseen_time_Bias,unseen_time_N,unseen_time_inference_s,unseen_space_cheat_R2,unseen_space_cheat_KGE,unseen_space_cheat_ubRMSE,unseen_space_cheat_FreezeAcc,unseen_space_cheat_DTW,unseen_space_cheat_KL_Div,unseen_space_cheat_CRPS,unseen_space_cheat_Bias,unseen_space_cheat_N,unseen_space_cheat_inference_s,unseen_space_honest_R2,unseen_space_honest_KGE,unseen_space_honest_ubRMSE,unseen_space_honest_FreezeAcc,unseen_space_honest_DTW,unseen_space_honest_KL_Div,unseen_space_honest_CRPS,unseen_space_honest_Bias,unseen_space_honest_N,unseen_space_honest_inference_s
Ridge,ML_BASELINE,temp,Single-point (no spatial graph),RESIDUAL,RESIDUAL (per PI instruction),0.27,0.004,28,NO,YES,YES,HONEST (retrained without Wetland),0.1708,-108.3695,1.7213,59.92,5.3113,0.0305,0.9301,0.32,747520,0.031,-0.1108,-19.0375,1.7097,56.19,3.2686,0.0075,0.8828,0.1762,188416,0.014,0.1828,-140.2551,1.4476,58.92,0.9498,0.034,0.7839,0.2789,186880,0.013,0.1828,-140.2551,1.4476,58.92,0.9498,0.034,0.7839,0.2789,186880,0.013
RandomForest,ML_BASELINE,temp,Single-point (no spatial graph),RESIDUAL,RESIDUAL (per PI instruction),163.3,2.722,28,NO,YES,YES,HONEST (retrained without Wetland),0.6039,-13.6692,1.2093,64.44,4.5438,0.3008,0.6106,0.0429,747520,0.441,0.0592,-8.7078,1.5795,53.67,3.0938,0.0025,0.8064,-0.085,188416,0.099,0.7444,-15.0098,0.8239,60.91,0.0959,0.777,0.397,0.0316,186880,0.112,0.7444,-15.0098,0.8239,60.91,0.0959,0.777,0.397,0.0316,186880,0.111
ExtraTrees,ML_BASELINE,temp,Single-point (no spatial graph),RESIDUAL,RESIDUAL (per PI instruction),28.03,0.467,28,NO,YES,YES,HONEST (retrained without Wetland),0.6243,-2.0984,1.1785,65.62,4.3423,0.3414,0.5945,0.009,747520,0.458,0.1373,-18.8555,1.5046,59.94,2.3039,0.0136,0.7664,-0.1746,188416,0.104,0.7839,-4.1241,0.7581,59.08,0.0881,1.0479,0.3695,0.0101,186880,0.116,0.7839,-4.1241,0.7581,59.08,0.0881,1.0479,0.3695,0.0101,186880,0.113
GradientBoosting,ML_BASELINE,temp,Single-point (no spatial graph),RESIDUAL,RESIDUAL (per PI instruction),924.19,15.403,28,NO,YES,YES,HONEST (retrained without Wetland),0.6174,-8.139,1.1889,65.88,4.5134,0.3272,0.6005,0.0267,747520,2.667,0.0891,-11.0758,1.5528,56.84,3.1396,0.0048,0.7905,-0.1059,188416,0.285,0.7757,-10.6744,0.7719,60.22,0.0869,0.9841,0.3759,0.023,186880,0.277,0.7757,-10.6744,0.7719,60.22,0.0869,0.9841,0.3759,0.023,186880,0.264
XGBoost,ML_BASELINE,temp,Single-point (no spatial graph),RESIDUAL,RESIDUAL (per PI instruction),32.75,0.546,28,NO,YES,YES,HONEST (retrained without Wetland),0.6373,-2.8445,1.1578,67.0,4.253,0.3716,0.5831,0.0112,747520,0.238,0.1383,-15.3457,1.5069,60.5,2.5506,0.0111,0.7672,-0.1437,188416,0.113,0.794,-9.9669,0.7399,61.12,0.0863,1.1392,0.3588,0.0216,186880,0.151,0.794,-9.9669,0.7399,61.12,0.0863,1.1392,0.3588,0.0216,186880,0.154
LightGBM,ML_BASELINE,temp,Single-point (no spatial graph),RESIDUAL,RESIDUAL (per PI instruction),9.94,0.166,28,NO,YES,YES,HONEST (retrained without Wetland),0.625,-3.0444,1.1773,66.57,4.4675,0.343,0.5931,0.0118,747520,0.289,0.1081,-17.2638,1.5317,58.48,2.8405,0.0096,0.7802,-0.1606,188416,0.061,0.7826,-10.5349,0.76,60.74,0.0854,1.0391,0.3683,0.0228,186880,0.085,0.7826,-10.5349,0.76,60.74,0.0854,1.0391,0.3683,0.0228,186880,0.065
Ridge,ML_BASELINE,smap,Single-point (no spatial graph),RESIDUAL,RESIDUAL (per PI instruction),0.21,0.003,28,NO,YES,YES,HONEST (retrained without Wetland),0.2805,-306.4478,1.0523,62.9,0.895,0.0867,0.595,0.2957,747520,0.025,-0.9207,-26.3153,1.0439,56.92,0.9957,0.1141,0.5978,0.3251,188416,0.007,0.3058,-243.62,1.0373,63.26,0.5618,0.1338,0.6034,0.3712,186880,0.006,0.3058,-243.62,1.0373,63.26,0.5618,0.1338,0.6034,0.3712,186880,0.006
RandomForest,ML_BASELINE,smap,Single-point (no spatial graph),RESIDUAL,RESIDUAL (per PI instruction),137.53,2.292,28,NO,YES,YES,HONEST (retrained without Wetland),0.7029,-20.621,0.7021,70.36,0.0772,0.5776,0.3716,-0.0208,747520,0.387,0.3188,-11.3335,0.6344,69.86,0.31,0.082,0.354,-0.1467,188416,0.091,0.6939,-36.8523,0.7293,72.63,0.1272,0.5517,0.3848,0.0574,186880,0.101,0.6939,-36.8523,0.7293,72.63,0.1272,0.5517,0.3848,0.0574,186880,0.109
ExtraTrees,ML_BASELINE,smap,Single-point (no spatial graph),RESIDUAL,RESIDUAL (per PI instruction),24.39,0.406,28,NO,YES,YES,HONEST (retrained without Wetland),0.717,-25.573,0.685,72.07,0.051,0.6381,0.3659,-0.0256,747520,0.398,0.2873,-16.6753,0.6319,72.91,0.1718,0.1127,0.3641,-0.2103,188416,0.098,0.7146,-32.0048,0.7046,72.8,0.1275,0.6338,0.3733,0.0501,186880,0.101,0.7146,-32.0048,0.7046,72.8,0.1275,0.6338,0.3733,0.0501,186880,0.102
GradientBoosting,ML_BASELINE,smap,Single-point (no spatial graph),RESIDUAL,RESIDUAL (per PI instruction),869.45,14.491,28,NO,YES,YES,HONEST (retrained without Wetland),0.7199,-11.3808,0.6819,71.66,0.0588,0.6492,0.3658,-0.0119,747520,2.347,0.3048,-12.9714,0.6365,72.79,0.212,0.0875,0.3586,-0.1661,188416,0.26,0.7028,-62.914,0.7143,70.71,0.1419,0.6068,0.3819,0.097,186880,0.186,0.7028,-62.914,0.7143,70.71,0.1419,0.6068,0.3819,0.097,186880,0.196
