arch,target,initial,final
BiGRU_NoGCN,temp,1.5239808559417725,-1.4859535694122314
GCN_NoTemporal,temp,1.4316203594207764,0.4505324363708496
DeepESN,temp,1.39268958568573,0.11076947301626205
SpatialESN,temp,1.3130329847335815,0.6554132699966431
GraphSAGE,temp,1.4476524591445923,-1.339825987815857
GAT,temp,1.3865400552749634,-1.3289096355438232
STGCN,temp,1.444288969039917,-1.484255075454712
SpatialTransformer,temp,1.359297275543213,-1.3626950979232788
SpatialInformer,temp,1.3257819414138794,0.2506311535835266
SpatialBiGRU,temp,1.4193179607391357,-1.4646738767623901
SpatialMamba,temp,1.4856188297271729,-1.4764766693115234
SpatialS4,temp,1.4408808946609497,-0.020937185734510422
SpatialFuseMoE,temp,1.439749813079834,-0.24299528300762177
BiGRU_NoGCN,smap,1.5239808559417725,-0.9483761787414551
GCN_NoTemporal,smap,1.4316203594207764,-1.6676177978515625
DeepESN,smap,1.39268958568573,-2.111469268798828
SpatialESN,smap,1.3130329847335815,-2.186829090118408
GraphSAGE,smap,1.4476524591445923,-2.633063316345215
GAT,smap,1.3865400552749634,-2.338843822479248
STGCN,smap,1.444288969039917,-2.8692328929901123
SpatialTransformer,smap,1.359297275543213,-2.168426513671875
SpatialInformer,smap,1.3257819414138794,-1.8485358953475952
SpatialBiGRU,smap,1.4193179607391357,-2.626265048980713
SpatialMamba,smap,1.4856188297271729,-2.562782049179077
SpatialS4,smap,1.4408808946609497,-2.1037018299102783
SpatialFuseMoE,smap,1.439749813079834,-2.5788848400115967
BiGRU_NoGCN,moist,1.4347597360610962,-1.043091058731079
GCN_NoTemporal,moist,1.439332365989685,-0.44474226236343384
DeepESN,moist,1.3771588802337646,-0.8234792947769165
SpatialESN,moist,1.3656346797943115,-1.4168545007705688
GraphSAGE,moist,1.3678984642028809,-1.7533199787139893
GAT,moist,1.467374324798584,-1.8004481792449951
STGCN,moist,1.4340263605117798,-1.774355173110962
SpatialTransformer,moist,1.4009138345718384,-1.1329777240753174
SpatialInformer,moist,1.4705121517181396,-0.9182581901550293
SpatialBiGRU,moist,1.4335381984710693,-1.9175268411636353
SpatialMamba,moist,1.484865427017212,-0.8041459321975708
SpatialS4,moist,1.4603506326675415,-0.9106844067573547
SpatialFuseMoE,moist,1.4101154804229736,-1.1853691816329956
