Model,Target,lr,hidden_dim,dropout,best_r2,trials
DeepESN,temp,0.004035,163,0.2064,0.725,50
DeepESN,smap,0.004204,71,0.1052,0.904,50
DeepESN,moist,0.003388,145,0.1618,0.6967,50
SpatialESN,temp,0.00188,105,0.2352,0.7257,50
SpatialESN,smap,0.003114,75,0.1488,0.9114,50
SpatialESN,moist,0.007442,151,0.1493,0.7554,50
GraphSAGE,temp,0.000357,139,0.1125,0.9358,50
GraphSAGE,smap,0.006792,93,0.161,0.9772,50
GraphSAGE,moist,0.002039,160,0.1813,0.8265,50
GAT,temp,0.000744,120,0.1044,0.9262,11
GAT,smap,0.000828,136,0.0729,0.9708,11
GAT,moist,0.004175,96,0.106,0.7737,9
STGCN,temp,0.000252,172,0.1763,0.9249,50
STGCN,smap,0.001654,99,0.0515,0.9679,50
STGCN,moist,0.007442,151,0.1493,0.8185,50
SpatialTransformer,temp,0.003965,164,0.1036,0.9365,50
SpatialTransformer,smap,0.002442,105,0.1017,0.9727,50
SpatialTransformer,moist,0.003388,145,0.1618,0.8161,50
SpatialInformer,temp,0.00166,113,0.09,0.8454,50
SpatialInformer,smap,0.003686,172,0.0995,0.9269,50
SpatialInformer,moist,0.003388,145,0.1618,0.7766,50
SpatialBiGRU,temp,0.001027,154,0.119,0.9064,24
SpatialBiGRU,smap,0.002234,116,0.0708,0.9721,24
SpatialBiGRU,moist,0.001797,138,0.0669,0.8149,24
SpatialMamba,temp,0.004317,79,0.1856,0.9224,50
SpatialMamba,smap,0.003375,98,0.0715,0.9693,50
SpatialMamba,moist,0.004191,145,0.075,0.8175,50
SpatialS4,temp,0.005396,164,0.2323,0.9265,50
SpatialS4,smap,0.006332,128,0.0759,0.9694,50
SpatialS4,moist,0.007442,151,0.1493,0.807,50
SpatialFuseMoE,temp,0.002294,122,0.2047,0.9308,50
SpatialFuseMoE,smap,0.003064,139,0.1549,0.9771,50
SpatialFuseMoE,moist,0.003388,145,0.1618,0.8282,50
