Model,Target,Val_R2,Std_R2,Space_R2,Space_KGE,Space_ubRMSE,Space_CRPS,Space_FreezeAcc,Time_R2,Time_All_R2,Both_R2,Both_KGE,Train_s
STGCN,moist,0.8269,0.7611,0.6803,-0.0557,0.0098,0.7299,81.7,0.7852,0.7861,0.9271,-328.7092,244.1
GCN_NoTemporal,moist,0.762,0.6846,0.6655,-0.0062,0.01,2.0511,65.05,0.6379,0.6395,0.8126,-1214.234,25.4
GraphSAGE,moist,0.8571,0.7753,0.6478,-0.0725,0.0103,0.6561,82.67,0.7295,0.7306,0.9242,-408.7814,434.4
SpatialS4,moist,0.6386,0.616,0.5838,-0.5826,0.0112,1.0418,78.87,0.7303,0.7314,0.805,-266.2645,937.2
SpatialFuseMoE,moist,0.6438,0.6013,0.5457,-0.7991,0.0117,0.9311,76.82,0.7592,0.7603,0.761,-252.6776,3661.5
DeepESN,moist,0.6588,0.5865,0.5431,-2.1894,0.0115,0.737,73.12,0.6233,0.6249,0.9501,-198.5372,149.7
SpatialBiGRU,moist,0.6673,0.6174,0.5172,-0.8298,0.012,0.8114,83.52,0.7424,0.7435,0.7118,-40.3912,174.0
SpatialESN,moist,0.8078,0.6855,0.5161,-1.94,0.0119,0.7549,79.18,0.7429,0.744,0.8796,-146.808,101.8
BiGRU_NoGCN,moist,0.5704,0.5124,0.5036,-1.6196,0.0121,0.6914,71.93,0.6816,0.6829,0.6806,-524.6333,128.8
GAT,moist,0.7353,0.6786,0.5027,-0.8866,0.0122,0.8658,77.64,0.6608,0.6623,0.4992,-134.9038,440.5
SpatialTransformer,moist,0.5556,0.5295,0.458,-0.6205,0.0128,1.0538,81.93,0.7197,0.7209,0.6942,-97.7096,89.8
SpatialInformer,moist,0.4846,0.4335,0.3638,-1.1409,0.0138,1.0478,77.6,0.6773,0.6787,0.5876,-106.75,90.0
SpatialMamba,moist,0.2016,0.1877,0.2147,-0.8985,0.0154,1.4356,76.55,0.6157,0.6174,0.6664,-582.2055,1070.4
STGCN,smap,0.9744,0.9679,0.9524,0.8151,0.3171,0.1174,96.34,0.9866,0.9866,0.9984,0.7456,255.1
SpatialBiGRU,smap,0.9723,0.9652,0.9489,0.7893,0.3281,0.1189,96.89,0.9853,0.9853,0.9965,-1.3193,174.2
SpatialMamba,smap,0.9632,0.9582,0.9484,0.8461,0.3315,0.1247,95.8,0.9843,0.9843,0.9905,-1.6589,3584.6
GraphSAGE,smap,0.9746,0.9609,0.94,0.7465,0.3528,0.1328,95.94,0.9825,0.9825,0.9981,-1.2342,439.1
GAT,smap,0.9646,0.954,0.9301,0.8066,0.3861,0.1446,94.72,0.9804,0.9805,0.9895,-1.8547,427.7
SpatialFuseMoE,smap,0.9559,0.9539,0.9237,0.6824,0.3954,0.1726,93.04,0.9799,0.9799,0.9411,-5.1459,3659.9
SpatialTransformer,smap,0.9619,0.9514,0.9178,0.5852,0.4041,0.1601,94.67,0.9848,0.9848,0.9895,-1.8128,96.5
BiGRU_NoGCN,smap,0.9454,0.9404,0.9164,0.7072,0.417,0.1645,92.69,0.9552,0.9551,0.9928,-1.8286,113.6
SpatialS4,smap,0.9265,0.9327,0.9003,0.6202,0.4513,0.1752,94.11,0.9552,0.9552,0.9733,-2.6833,842.7
GCN_NoTemporal,smap,0.9592,0.9382,0.8391,0.3683,0.5598,0.2452,92.12,0.9182,0.918,0.9727,-2.4818,57.4
SpatialInformer,smap,0.9196,0.9142,0.8164,0.2111,0.5842,0.2614,92.45,0.9261,0.9262,0.9604,-6.6579,90.5
SpatialESN,smap,0.942,0.9062,0.7673,0.0467,0.6497,0.2896,91.65,0.9053,0.9054,0.9336,-6.6736,102.6
DeepESN,smap,0.7755,0.7192,0.5477,-0.241,0.9212,0.394,88.56,0.8539,0.8533,0.9444,-1.0454,143.6
SpatialMamba,temp,0.9084,0.8914,0.9207,0.9086,0.5959,0.2323,84.77,0.8275,0.8298,0.9,0.502,2989.3
GAT,temp,0.8949,0.8597,0.9176,0.9448,0.6081,0.2297,87.0,0.8153,0.8178,0.8826,0.5917,410.3
STGCN,temp,0.9111,0.9013,0.9166,0.9429,0.6119,0.2262,83.99,0.8448,0.8468,0.87,0.7546,249.2
GraphSAGE,temp,0.9098,0.8911,0.9161,0.8732,0.6114,0.2314,90.45,0.834,0.8362,0.8538,0.8344,428.0
BiGRU_NoGCN,temp,0.8941,0.8894,0.9138,0.9182,0.6216,0.2301,89.64,0.8226,0.825,0.8471,0.7578,369.2
SpatialBiGRU,temp,0.9151,0.8823,0.9124,0.9337,0.6259,0.2407,87.85,0.8358,0.8379,0.891,0.2954,177.7
SpatialFuseMoE,temp,0.9216,0.8818,0.9115,0.9326,0.6304,0.2484,88.21,0.8179,0.8203,0.8859,0.5612,3662.7
SpatialTransformer,temp,0.9209,0.904,0.9055,0.8767,0.6479,0.2589,87.26,0.8477,0.8496,0.8388,0.4907,92.0
GCN_NoTemporal,temp,0.9429,0.8698,0.8866,0.8117,0.6968,0.2815,88.23,0.8383,0.8394,0.8938,0.8316,64.5
SpatialS4,temp,0.9052,0.8913,0.8671,0.7782,0.7531,0.2913,90.02,0.8252,0.8275,0.8839,0.3709,939.0
SpatialInformer,temp,0.8563,0.801,0.7743,0.5593,0.9516,0.3991,85.43,0.8039,0.8064,0.8586,0.2837,92.8
SpatialESN,temp,0.7273,0.6256,0.6245,0.2493,1.1026,0.553,73.37,0.504,0.5105,0.447,-1.2977,108.4
DeepESN,temp,0.5202,0.4439,0.4858,0.1857,1.3971,0.6155,79.76,0.7441,0.7473,0.7942,-0.2694,196.1
