arch,tier,target,n_gpus,val_r2,elapsed_s,elapsed_min,epochs_run,batch_size,time_1gpu,r2_1gpu,speedup,efficiency,drop_ratio
BiGRU_NoGCN,ABLATION,temp,1,0.8601,90.2,1.5,30,4,90.2,0.8601,0.9999999998891353,99.99999998891353,0.0
GCN_NoTemporal,ABLATION,temp,1,0.7525,29.3,0.49,27,4,29.3,0.7525,0.999999999658703,99.9999999658703,0.0
DeepESN,RESERVOIR,temp,1,0.4616,101.7,1.69,30,4,101.7,0.4616,0.9999999999016717,99.99999999016717,0.0
SpatialESN,RESERVOIR,temp,1,0.5927,103.9,1.73,30,4,103.9,0.5927,0.9999999999037537,99.99999999037537,0.0
GraphSAGE,GRAPH,temp,1,0.8694,91.8,1.53,30,4,91.8,0.8694,0.9999999998910676,99.99999998910675,0.0
GAT,GRAPH,temp,1,0.8762,130.3,2.17,30,4,130.3,0.8762,0.999999999923254,99.9999999923254,0.0
STGCN,GRAPH,temp,1,0.8752,74.7,1.24,24,4,74.7,0.8752,0.9999999998661313,99.99999998661313,0.0
SpatialTransformer,ATTENTION,temp,1,0.8569,117.8,1.96,29,4,117.8,0.8569,0.9999999999151105,99.99999999151105,0.0
SpatialInformer,ATTENTION,temp,1,0.7418,81.7,1.36,25,4,81.7,0.7418,0.999999999877601,99.9999999877601,0.0
SpatialBiGRU,SSM,temp,1,0.8738,145.1,2.42,29,4,145.1,0.8738,0.9999999999310819,99.99999999310819,0.0
SpatialMamba,SSM,temp,1,0.8628,73.6,1.23,24,4,73.6,0.8628,0.9999999998641306,99.99999998641306,0.0
SpatialS4,SSM,temp,1,0.8628,73.5,1.23,24,4,73.5,0.8628,0.9999999998639456,99.99999998639456,0.0
SpatialFuseMoE,SSM,temp,1,0.8501,131.7,2.19,30,4,131.7,0.8501,0.9999999999240698,99.99999999240698,0.0
BiGRU_NoGCN,ABLATION,temp,2,0.8441,71.4,1.19,30,4,90.2,0.8601,1.2633053219519181,63.165266097595904,0.016000000000000014
GCN_NoTemporal,ABLATION,temp,2,0.748,25.1,0.42,23,4,29.3,0.7525,1.1673306768257645,58.36653384128822,0.0044999999999999485
DeepESN,RESERVOIR,temp,2,0.4249,70.5,1.18,30,4,101.7,0.4616,1.4425531912847445,72.12765956423722,0.03670000000000001
SpatialESN,RESERVOIR,temp,2,0.5159,72.3,1.2,30,4,103.9,0.5927,1.437067772968594,71.8533886484297,0.07679999999999998
GraphSAGE,GRAPH,temp,2,0.8608,71.8,1.2,30,4,91.8,0.8694,1.278551531855355,63.92757659276776,0.008599999999999941
GAT,GRAPH,temp,2,0.8578,86.3,1.44,30,4,130.3,0.8762,1.5098493625133433,75.49246812566717,0.018399999999999972
STGCN,GRAPH,temp,2,0.8634,71.0,1.18,30,4,74.7,0.8752,1.0521126759081534,52.60563379540767,0.011800000000000033
SpatialTransformer,ATTENTION,temp,2,0.8478,73.7,1.23,28,4,117.8,0.8569,1.5983717772593797,79.91858886296899,0.009099999999999997
SpatialInformer,ATTENTION,temp,2,0.7274,66.9,1.11,30,4,81.7,0.7418,1.2212257098324029,61.06128549162014,0.014399999999999968
SpatialBiGRU,SSM,temp,2,0.8581,87.0,1.45,27,4,145.1,0.8738,1.6678160917623202,83.39080458811601,0.015700000000000047
SpatialMamba,SSM,temp,2,0.8494,58.6,0.98,24,4,73.6,0.8628,1.255972696031404,62.798634801570195,0.013399999999999967
SpatialS4,SSM,temp,2,0.8494,57.8,0.96,24,4,73.5,0.8628,1.2716262973578503,63.581314867892516,0.013399999999999967
SpatialFuseMoE,SSM,temp,2,0.8367,85.6,1.43,30,4,131.7,0.8501,1.5385514016894217,76.92757008447109,0.013399999999999967
BiGRU_NoGCN,ABLATION,temp,4,0.8268,53.5,0.89,30,8,90.2,0.8601,1.6859813080960784,42.149532702401956,0.033299999999999996
GCN_NoTemporal,ABLATION,temp,4,0.7417,24.5,0.41,25,8,29.3,0.7525,1.195918366858809,29.897959171470223,0.01079999999999992
DeepESN,RESERVOIR,temp,4,0.3922,52.4,0.87,30,8,101.7,0.4616,1.9408396942860995,48.52099235715249,0.06940000000000002
SpatialESN,RESERVOIR,temp,4,0.4496,53.6,0.89,30,8,103.9,0.5927,1.9384328354592477,48.460820886481194,0.1431
