trial,r2,elapsed_s,lr,hidden_dim,n_layers,gcn_layers,dropout,weight_decay,lam_smooth,lam_crps
0,0.969441306790302,0.0,0.0022299734165728566,156.85248271712118,2,4,0.11327867576078106,3.845901510157012e-05,0.04269415400073867,0.1228788545066799
1,0.9625251072461735,0.0,0.002199995301782084,122.24465800916242,1,1,0.22735079937212152,0.0005589629504598763,0.1129083783300948,0.056340692094391256
2,0.9624342299658215,0.0,0.00223383630609773,116.11962764916285,1,4,0.07075793386934119,2.9887303743222608e-05,0.06102792826226867,0.13168917015303952
3,0.9589582834207308,0.0,0.0016444491008388378,130.66862708279896,1,2,0.1872988929894148,0.0007580052017387567,0.18996002260007983,0.09581366162712311
4,0.9582927480073531,0.0,0.0020844459736559322,98.00769758055445,2,3,0.1415884074455168,1.0917713413371351e-05,0.1569726128703783,0.1843090023707012
5,0.957477331534262,0.0,0.0035311169138214082,120.1764402882627,2,4,0.18947360581187278,1.5429601005519722e-05,0.19536824681098364,0.24028492549758823
6,0.9543404696974608,0.0,0.0024463853722533633,138.3829259802755,2,1,0.21082490523645253,0.0002696585899348614,0.15040696074395293,0.08276443788932832
7,0.9539758384378155,0.0,0.005396346436531186,164.152727191643,1,2,0.2323456391126678,0.0005132060884403926,0.16394287196352997,0.12421064983672134
8,0.9536669838152968,0.0,0.0017972880279365502,138.76454002083017,1,3,0.06688886422797782,6.786014828968067e-05,0.017906693033759573,0.17349770481112975
9,0.9522913338585047,0.0,0.0037336070725030326,80.39854498246987,4,2,0.12415960484651625,0.0007137234690401973,0.13233437281532626,0.2556904033177075
10,0.9500185144850698,0.0,0.0009629874327860126,152.82872618964683,2,1,0.24428742761875866,0.00011700978713330529,0.19400058410531557,0.12629578084920456
11,0.950008797245442,0.0,0.0008276210937283382,136.79887308197038,1,1,0.0729060147071947,0.00021717304645704538,0.09950827916719518,0.1913090266202972
12,0.9482639558502113,0.0,0.0006281924947533684,118.38043823500772,2,2,0.06668125169998534,7.995533662798807e-05,0.03306372444242492,0.117154469802079
13,0.9457842810366406,0.0,0.00037401795710592206,182.37547895193947,2,1,0.16103960846536494,0.00018533191931652084,0.030120506712643123,0.08508489926597816
14,0.9452208562236271,0.0,0.0010907286498539606,104.4389186343415,1,4,0.18233225263355224,5.58875997149676e-05,0.027948666931687904,0.2366974028372565
15,0.9382583306746882,0.0,0.0005117430300313625,188.24934712254762,2,4,0.20567669941475236,2.4506281377201807e-05,0.09867699070813649,0.0609509414468072
16,0.9377417491642538,0.0,0.0010998787335882115,120.18066691904598,2,1,0.21525838483887155,0.0006198998677224926,0.036647326909736044,0.18850903588476237
17,0.9344804493595409,0.0,0.0009404087507079719,126.81049527737868,2,4,0.16434561047521506,8.850724084484438e-05,0.060725375987459786,0.13289224933563804
18,0.9245440744384169,0.0,0.007483001940880183,126.77529835794115,1,3,0.17689201015259104,1.9640743953587863e-05,0.18185455413278118,0.28380535768734283
19,0.9194038297607106,0.0,0.0002686391753563501,116.29166639675343,4,4,0.09678789717306815,1.3079931915544414e-05,0.06346293948417935,0.1233984394416709
20,0.9178749999761249,0.0,0.000176810318836683,182.72800652883296,1,2,0.11018973835618795,9.487856132145962e-05,0.13594420042508068,0.2889058142617425
21,0.9098381822544774,0.0,0.00040917891678108557,138.14010482456268,3,1,0.22132285681847513,0.0003288812085346743,0.146697961630678,0.15802325994377592
22,0.9077871602682718,0.0,0.00045679613923184647,82.499096174854,3,1,0.1675289144355424,2.1937439549398588e-05,0.18577282249159147,0.19526528492509876
23,0.8937788083127494,0.0,0.00016487373721882164,150.0467319090959,1,2,0.18188452693838036,0.0002844390559641479,0.15604302346435484,0.07693523648897414
24,0.8834424667151517,0.0,0.00023930001077504737,80.62995268294037,3,2,0.09538186981017682,0.00021858884200540868,0.09305886458574283,0.2581695490144594
