trial,r2,elapsed_s,lr,hidden_dim,n_layers,gcn_layers,dropout,weight_decay,lam_smooth,lam_crps
0,0.9039790608049945,0.0,0.004204231289519051,71.07457233429386,3,3,0.1051930722389237,0.00027960109597349633,0.17232656770163404,0.2108707798611876
1,0.8975329018889552,0.0,0.0029531039035425545,129.10567698896256,2,2,0.18644286017342732,8.403669411721898e-05,0.015617152858300135,0.10499920442748785
2,0.896388392512941,0.0,0.0032360473959895954,72.59119954243013,1,1,0.15265943073778518,2.9813606032983163e-05,0.14950217529992496,0.2300261993554502
3,0.8893663060947357,0.0,0.0038158305767649636,96.19372719957228,2,1,0.19431634925715266,1.9670093947776723e-05,0.1939993786701345,0.20050863911407357
4,0.8884713172871493,0.0,0.004012440148575024,156.80967467524403,4,3,0.14364054184428765,4.096627095560879e-05,0.056686228691767857,0.20307080066086633
5,0.8865730573113086,0.0,0.0023812532079156854,89.91426476076671,4,3,0.13941833890252647,0.0007473863824653882,0.1354429890415716,0.2607920800328948
6,0.8778138929436193,0.0,0.004197485039582774,101.87786793227833,4,3,0.1687623111282493,0.00032910518160191775,0.14089158287436565,0.2033425697745367
7,0.8761437931175651,0.0,0.003345837266232196,109.17196522936118,1,1,0.1804503067601465,0.00012663788131394698,0.13070713496228809,0.2574132045105528
8,0.8748285118104017,0.0,0.003328204168293616,73.44221459969164,1,1,0.11308529551194067,1.9826222552265763e-05,0.1341034172938792,0.1954582155551798
9,0.8727765666466392,0.0,0.007051270016852064,171.01374617144313,2,4,0.19204402017644207,7.715742704928266e-05,0.044279944839125236,0.1940538916303567
10,0.8682431440855423,0.0,0.006792406834214724,93.46739083454474,1,1,0.16097049387829668,5.5187988830511374e-05,0.1676600511951585,0.25206286801607547
11,0.8575608019064065,0.0,0.008159297236761044,101.07142335525072,1,1,0.14838889821901496,4.652931448131568e-05,0.17221019090175146,0.28536604540972504
12,0.8537532515746069,0.0,0.003388423732158626,145.24394496007562,3,3,0.1618414321490827,4.0541535749001684e-05,0.01585538856790849,0.15917934730809058
13,0.8519308354101117,0.0,0.0012955908636296226,72.78425894110411,4,1,0.09909836242973744,0.0005282199050459434,0.12437930325712954,0.19845121600211507
14,0.8518364484633585,0.0,0.0037336070725030326,80.39854498246987,4,2,0.12415960484651625,0.0007137234690401973,0.13233437281532626,0.2556904033177075
15,0.8497661591248686,0.0,0.0022267382057810157,137.52964606259908,2,4,0.14152907960621122,0.00011396149105298049,0.058892104645892875,0.15679315084560042
16,0.8486443869754038,0.0,0.0025149549152136495,103.98293009690126,4,4,0.21095287149936037,5.956028374469396e-05,0.06478233974674638,0.2206238759937439
17,0.8481422738856438,0.0,0.0027150659192692194,121.51827227440495,3,2,0.06927819243069987,0.000638564532552464,0.0965974950683861,0.10059084119880758
18,0.8456057480472728,0.0,0.0024463853722533633,138.3829259802755,2,1,0.21082490523645253,0.0002696585899348614,0.15040696074395293,0.08276443788932832
19,0.8332310463211664,0.0,0.0013250760606877882,159.68974516944695,3,2,0.20543541441914528,1.7591712799484244e-05,0.06116142811057062,0.19678986931872766
20,0.830070929960047,0.0,0.0035311169138214082,120.1764402882627,2,4,0.18947360581187278,1.5429601005519722e-05,0.19536824681098364,0.24028492549758823
21,0.8253926162730993,0.0,0.0015738949979363034,89.944912951476,3,2,0.15991681925877202,0.0004494857148101698,0.12141787494485984,0.26150189837135085
22,0.8157489443464642,0.0,0.002107817614371597,135.3001154996836,3,4,0.1828627080654775,6.49791046489694e-05,0.1646638730865466,0.09174322997692598
23,0.7761406001965672,0.0,0.0024696803719805207,121.10800327347593,1,2,0.11030241782957531,0.00018220705396336788,0.07874439600514417,0.07191247982902525
24,0.7594513644914465,0.0,0.0017972880279365502,138.76454002083017,1,3,0.06688886422797782,6.786014828968067e-05,0.017906693033759573,0.17349770481112975
25,0.7550963221179149,0.0,0.0009404087507079719,126.81049527737868,2,4,0.16434561047521506,8.850724084484438e-05,0.060725375987459786,0.13289224933563804
26,0.7185480887327712,0.0,0.0015803947672362421,175.94394122719547,1,1,0.11206473458001896,0.0003587646765587107,0.19464702095158382,0.17518529655058557
27,0.703829614275407,0.0,0.0010998787335882115,120.18066691904598,2,1,0.21525838483887155,0.0006198998677224926,0.036647326909736044,0.18850903588476237
28,0.6447598754690782,0.0,0.0008276210937283382,136.79887308197038,1,1,0.0729060147071947,0.00021717304645704538,0.09950827916719518,0.1913090266202972
29,0.62905423770014,0.0,0.0010907286498539606,104.4389186343415,1,4,0.18233225263355224,5.58875997149676e-05,0.027948666931687904,0.2366974028372565
30,0.6118594190309941,0.0,0.0007705989229173007,93.08655638845144,1,3,0.06276345122083507,0.00045212897915896766,0.13001623583319233,0.23952193502134345
31,0.6108918016166565,0.0,0.00040917891678108557,138.14010482456268,3,1,0.22132285681847513,0.0003288812085346743,0.146697961630678,0.15802325994377592
32,0.6099560179111733,0.0,0.0006890149396184472,187.67768475432726,1,3,0.23660464432004225,0.0004061830826108325,0.09880250429550538,0.24619086231304688
33,0.6051306006556095,0.0,0.0003349045376293411,183.91208326832373,4,1,0.0745515864822972,0.0004594363407148805,0.03912402015865387,0.09481707703943477
34,0.5959715969462821,0.0,0.00043080207419942236,185.97112256892734,3,2,0.15301142584634292,3.250350392917696e-05,0.18784827830930304,0.09115195439550454
35,0.5898753143658341,0.0,0.00045679613923184647,82.499096174854,3,1,0.1675289144355424,2.1937439549398588e-05,0.18577282249159147,0.19526528492509876
36,0.579351504056793,0.0,0.0005117430300313625,188.24934712254762,2,4,0.20567669941475236,2.4506281377201807e-05,0.09867699070813649,0.0609509414468072
37,0.5649411799011392,0.0,0.0002686391753563501,116.29166639675343,4,4,0.09678789717306815,1.3079931915544414e-05,0.06346293948417935,0.1233984394416709
38,0.5513548076317631,0.0,0.00037401795710592206,182.37547895193947,2,1,0.16103960846536494,0.00018533191931652084,0.030120506712643123,0.08508489926597816
39,0.5497095778907515,0.0,0.0004940144008352761,139.63718290962134,2,1,0.2417118426482891,9.217366875216192e-05,0.15871969317755438,0.07068249998060964
40,0.5233633956024031,0.0,0.00023930001077504737,80.62995268294037,3,2,0.09538186981017682,0.00021858884200540868,0.09305886458574283,0.2581695490144594
41,0.5121159414236844,0.0,0.000190329000622386,89.58824991681387,4,1,0.20738487550042767,0.0002136494175503609,0.14398142193900368,0.24518225775549196
42,0.5074718489737553,0.0,0.00020350682753671442,151.4302660150342,4,3,0.24350194648684204,4.483846290786351e-05,0.08038734414662509,0.167388952818952
43,0.471233819164543,0.0,0.000176810318836683,182.72800652883296,1,2,0.11018973835618795,9.487856132145962e-05,0.13594420042508068,0.2889058142617425
44,0.4678688369700914,0.0,0.0001721915376473834,187.12290106233786,2,4,0.18994142676214992,3.402043974160321e-05,0.19414351169606756,0.24468772599144867
45,0.454058896563431,0.0,0.00011102586009934677,75.52612617928214,4,3,0.14237544605027747,2.1015685377233003e-05,0.10519850726963907,0.08807802567829211
46,0.44943320399721964,0.0,0.00012297624805089323,119.69242368038886,4,4,0.2283354532509828,0.00031420713222214127,0.17925057326691973,0.2733616599244658
47,0.420048144027924,0.0,0.00016487373721882164,150.0467319090959,1,2,0.18188452693838036,0.0002844390559641479,0.15604302346435484,0.07693523648897414
48,0.40734369282864946,0.0,0.0001939969960325716,65.7838448266498,1,1,0.0763644435573042,0.00022662997309479919,0.03314817587942091,0.17658248290515827
49,0.37560121938385194,0.0,0.00010856093321249967,77.97043158601407,2,4,0.20936341766503236,2.919318530128879e-05,0.11084622221382016,0.20150395517500275
