trial,r2,elapsed_s,lr,hidden_dim,n_layers,gcn_layers,dropout,weight_decay,lam_smooth,lam_crps
0,0.9708268411136934,0.0,0.0008276210937283382,136.79887308197038,1,1,0.0729060147071947,0.00021717304645704538,0.09950827916719518,0.1913090266202972
1,0.9690743954412602,0.0,0.0007331828287786801,96.72461973686497,1,4,0.16201990009068076,0.00015709898693333713,0.06997375632426604,0.23431120637476632
2,0.9686496999418271,0.0,0.000980874858235259,88.30065066322842,1,3,0.20693368065789686,0.00011584684781725267,0.01689030998358027,0.18251725995665374
3,0.9609071510352227,0.0,0.0013454282331043972,116.00464834950992,2,3,0.1641313623287572,5.6473108644838277e-05,0.06726790702789372,0.28058885619003227
4,0.9606794047236513,0.0,0.0010907286498539606,104.4389186343415,1,4,0.18233225263355224,5.58875997149676e-05,0.027948666931687904,0.2366974028372565
5,0.9560203225760653,0.0,0.0035311169138214082,120.1764402882627,2,4,0.18947360581187278,1.5429601005519722e-05,0.19536824681098364,0.24028492549758823
6,0.9518327891785255,0.0,0.0037336070725030326,80.39854498246987,4,2,0.12415960484651625,0.0007137234690401973,0.13233437281532626,0.2556904033177075
7,0.9475483380543785,0.0,0.0005117430300313625,188.24934712254762,2,4,0.20567669941475236,2.4506281377201807e-05,0.09867699070813649,0.0609509414468072
8,0.9473169786168522,0.0,0.0010998787335882115,120.18066691904598,2,1,0.21525838483887155,0.0006198998677224926,0.036647326909736044,0.18850903588476237
9,0.9404089881903944,0.0,0.0002686391753563501,116.29166639675343,4,4,0.09678789717306815,1.3079931915544414e-05,0.06346293948417935,0.1233984394416709
10,0.905921649220415,0.0,0.00023930001077504737,80.62995268294037,3,2,0.09538186981017682,0.00021858884200540868,0.09305886458574283,0.2581695490144594
