trial,r2,elapsed_s,lr,hidden_dim,n_layers,gcn_layers,dropout,weight_decay,lam_smooth,lam_crps
0,0.9000810017879479,0.0,0.0011035024344152773,153.7977024086888,1,2,0.09647425770439358,0.00015571622715673786,0.017319381355255327,0.18779517237886972
1,0.8986709119365519,0.0,0.0029531039035425545,129.10567698896256,2,2,0.18644286017342732,8.403669411721898e-05,0.015617152858300135,0.10499920442748785
2,0.8954210575940016,0.0,0.0017972880279365502,138.76454002083017,1,3,0.06688886422797782,6.786014828968067e-05,0.017906693033759573,0.17349770481112975
3,0.8927781556554778,0.0,0.003388423732158626,145.24394496007562,3,3,0.1618414321490827,4.0541535749001684e-05,0.01585538856790849,0.15917934730809058
4,0.885858888976754,0.0,0.007051270016852064,171.01374617144313,2,4,0.19204402017644207,7.715742704928266e-05,0.044279944839125236,0.1940538916303567
5,0.8854290010621458,0.0,0.0010948074996263504,116.59579731312192,1,2,0.0514145667934192,2.437868150174624e-05,0.01967630637110703,0.11767044638952667
6,0.8840830976677152,0.0,0.0010907286498539606,104.4389186343415,1,4,0.18233225263355224,5.58875997149676e-05,0.027948666931687904,0.2366974028372565
7,0.8793708084073761,0.0,0.00047018517233996036,106.74727293499029,1,4,0.218089467045808,5.129969976025477e-05,0.03520359416916356,0.25414281174189524
8,0.8710405060496617,0.0,0.001049738193783857,115.7097183218834,1,3,0.07788525637403067,3.66593486974439e-05,0.03036261404933023,0.15679676103941068
9,0.8681675361851383,0.0,0.00037401795710592206,182.37547895193947,2,1,0.16103960846536494,0.00018533191931652084,0.030120506712643123,0.08508489926597816
10,0.867803744928324,0.0,0.0010998787335882115,120.18066691904598,2,1,0.21525838483887155,0.0006198998677224926,0.036647326909736044,0.18850903588476237
11,0.8668517787270837,0.0,0.0003812341377677736,84.05481684851905,2,3,0.15727101021677342,6.584883707393845e-05,0.03724382085602471,0.18035416782820574
12,0.8652321509721846,0.0,0.0007346456743441745,106.70674518346172,2,4,0.19759098668956243,0.00011264379815165935,0.04486596281331733,0.25331210649570907
13,0.8517278193043486,0.0,0.0001939969960325716,65.7838448266498,1,1,0.0763644435573042,0.00022662997309479919,0.03314817587942091,0.17658248290515827
14,0.8446974827929852,0.0,0.0003349045376293411,183.91208326832373,4,1,0.0745515864822972,0.0004594363407148805,0.03912402015865387,0.09481707703943477
15,0.842601973938481,0.0,0.001353314469390436,122.52686133063253,2,4,0.22693495891528526,3.1673700921683616e-05,0.04861968073972351,0.18607855253280664
16,0.8400995737618672,0.0,0.0022267382057810157,137.52964606259908,2,4,0.14152907960621122,0.00011396149105298049,0.058892104645892875,0.15679315084560042
17,0.8335585083015473,0.0,0.0013250760606877882,159.68974516944695,3,2,0.20543541441914528,1.7591712799484244e-05,0.06116142811057062,0.19678986931872766
18,0.8327821322114162,0.0,0.004191376124553273,145.3633980905086,1,3,0.0750287456757388,5.7213285851315745e-05,0.046121342213493684,0.21943403378017035
19,0.8214952191567847,0.0,0.0013556587593487003,81.7940062626742,1,4,0.16336572002595967,2.4614294401930763e-05,0.07027628970775038,0.19488886817916626
20,0.8210972668327268,0.0,0.0025149549152136495,103.98293009690126,4,4,0.21095287149936037,5.956028374469396e-05,0.06478233974674638,0.2206238759937439
21,0.8187649858036842,0.0,0.0013434819002131472,140.28472873875896,2,2,0.10574909604400973,2.4186702948488476e-05,0.06124242954145224,0.12338684750861419
22,0.8156679382545943,0.0,0.0009404087507079719,126.81049527737868,2,4,0.16434561047521506,8.850724084484438e-05,0.060725375987459786,0.13289224933563804
23,0.811894827977328,0.0,0.004012440148575024,156.80967467524403,4,3,0.14364054184428765,4.096627095560879e-05,0.056686228691767857,0.20307080066086633
24,0.7980951662794584,0.0,0.0002686391753563501,116.29166639675343,4,4,0.09678789717306815,1.3079931915544414e-05,0.06346293948417935,0.1233984394416709
25,0.7839841603921824,0.0,0.0006890149396184472,187.67768475432726,1,3,0.23660464432004225,0.0004061830826108325,0.09880250429550538,0.24619086231304688
26,0.7787874126741491,0.0,0.00020350682753671442,151.4302660150342,4,3,0.24350194648684204,4.483846290786351e-05,0.08038734414662509,0.167388952818952
27,0.7709388982020967,0.0,0.00023930001077504737,80.62995268294037,3,2,0.09538186981017682,0.00021858884200540868,0.09305886458574283,0.2581695490144594
28,0.7640322796492471,0.0,0.0008276210937283382,136.79887308197038,1,1,0.0729060147071947,0.00021717304645704538,0.09950827916719518,0.1913090266202972
29,0.7432699173858541,0.0,0.0024696803719805207,121.10800327347593,1,2,0.11030241782957531,0.00018220705396336788,0.07874439600514417,0.07191247982902525
30,0.7391224819287583,0.0,0.0037336070725030326,80.39854498246987,4,2,0.12415960484651625,0.0007137234690401973,0.13233437281532626,0.2556904033177075
31,0.7338555018754092,0.0,0.000176810318836683,182.72800652883296,1,2,0.11018973835618795,9.487856132145962e-05,0.13594420042508068,0.2889058142617425
32,0.72973924163766,0.0,0.006792406834214724,93.46739083454474,1,1,0.16097049387829668,5.5187988830511374e-05,0.1676600511951585,0.25206286801607547
33,0.721515066699762,0.0,0.0007705989229173007,93.08655638845144,1,3,0.06276345122083507,0.00045212897915896766,0.13001623583319233,0.23952193502134345
34,0.7036486616205714,0.0,0.0005117430300313625,188.24934712254762,2,4,0.20567669941475236,2.4506281377201807e-05,0.09867699070813649,0.0609509414468072
35,0.6880533740526331,0.0,0.0035311169138214082,120.1764402882627,2,4,0.18947360581187278,1.5429601005519722e-05,0.19536824681098364,0.24028492549758823
36,0.683592814024776,0.0,0.0027150659192692194,121.51827227440495,3,2,0.06927819243069987,0.000638564532552464,0.0965974950683861,0.10059084119880758
37,0.6660585798877143,0.0,0.0001721915376473834,187.12290106233786,2,4,0.18994142676214992,3.402043974160321e-05,0.19414351169606756,0.24468772599144867
38,0.6559777639270703,0.0,0.0024463853722533633,138.3829259802755,2,1,0.21082490523645253,0.0002696585899348614,0.15040696074395293,0.08276443788932832
39,0.6508673276134627,0.0,0.00010856093321249967,77.97043158601407,2,4,0.20936341766503236,2.919318530128879e-05,0.11084622221382016,0.20150395517500275
40,0.6468460766848825,0.0,0.000190329000622386,89.58824991681387,4,1,0.20738487550042767,0.0002136494175503609,0.14398142193900368,0.24518225775549196
41,0.6442999087999651,0.0,0.0015803947672362421,175.94394122719547,1,1,0.11206473458001896,0.0003587646765587107,0.19464702095158382,0.17518529655058557
42,0.6370118806331452,0.0,0.002107817614371597,135.3001154996836,3,4,0.1828627080654775,6.49791046489694e-05,0.1646638730865466,0.09174322997692598
43,0.6361732839237944,0.0,0.00040917891678108557,138.14010482456268,3,1,0.22132285681847513,0.0003288812085346743,0.146697961630678,0.15802325994377592
44,0.6171829574775201,0.0,0.00012297624805089323,119.69242368038886,4,4,0.2283354532509828,0.00031420713222214127,0.17925057326691973,0.2733616599244658
45,0.6120120623804084,0.0,0.00011102586009934677,75.52612617928214,4,3,0.14237544605027747,2.1015685377233003e-05,0.10519850726963907,0.08807802567829211
46,0.5959641870355894,0.0,0.00045679613923184647,82.499096174854,3,1,0.1675289144355424,2.1937439549398588e-05,0.18577282249159147,0.19526528492509876
47,0.5922108835008943,0.0,0.00043080207419942236,185.97112256892734,3,2,0.15301142584634292,3.250350392917696e-05,0.18784827830930304,0.09115195439550454
48,0.5617378762335261,0.0,0.0004940144008352761,139.63718290962134,2,1,0.2417118426482891,9.217366875216192e-05,0.15871969317755438,0.07068249998060964
49,0.5357409331483122,0.0,0.00016487373721882164,150.0467319090959,1,2,0.18188452693838036,0.0002844390559641479,0.15604302346435484,0.07693523648897414
