trial,r2,elapsed_s,lr,hidden_dim,n_layers,gcn_layers,dropout,weight_decay,lam_smooth,lam_crps
0,0.9329177940894002,0.0,0.0053529009190574454,112.10586171579999,2,2,0.20557320016002972,3.127720391646536e-05,0.16727168047153693,0.20005982879246137
1,0.9316896693958912,0.0,0.0024696803719805207,121.10800327347593,1,2,0.11030241782957531,0.00018220705396336788,0.07874439600514417,0.07191247982902525
2,0.9300822684653268,0.0,0.0015163392068198562,136.14116566133453,1,1,0.12978223071142514,0.0004181039346304268,0.04379416554879084,0.10186131745585658
3,0.928620098419437,0.0,0.005359093020357508,72.98488793034593,1,2,0.14200396127070414,2.430616829945675e-05,0.19369028656932724,0.20784371672731777
4,0.9209715265282303,0.0,0.0026418087721014464,96.9507034795002,1,2,0.19672770829055244,5.0657521021059446e-05,0.15090557684909295,0.2601944014137587
5,0.9152027547444467,0.0,0.002296487055340869,75.15623367851784,2,1,0.13590925146151786,6.502452965367589e-05,0.15339442195268052,0.19500235175927122
6,0.9140295564632143,0.0,0.003559272148681115,96.91177949289312,2,2,0.1762292279343069,0.00011123370310990923,0.16269257044344584,0.2594604757744563
7,0.9109043926051484,0.0,0.0046495185105259115,161.06991671105112,2,4,0.21306529609283686,0.0001236662705063909,0.1703846992766851,0.13120509614147485
8,0.908280371236834,0.0,0.002107817614371597,135.3001154996836,3,4,0.1828627080654775,6.49791046489694e-05,0.1646638730865466,0.09174322997692598
9,0.907733008886439,0.0,0.0018955267233141293,119.16184752857053,2,3,0.20746413608982212,0.00013469221233264867,0.12588470147054756,0.05693831023257996
10,0.905692059040795,0.0,0.002600020939204273,146.86584521485202,4,3,0.16466181776068245,6.565986113557842e-05,0.1896458935313916,0.13872470991546235
11,0.9054504745193747,0.0,0.0015043913668242174,98.93926056576768,1,1,0.06241721946321931,6.545767800245003e-05,0.047835335744050175,0.054506101311125835
12,0.9044625971635881,0.0,0.006792406834214724,93.46739083454474,1,1,0.16097049387829668,5.5187988830511374e-05,0.1676600511951585,0.25206286801607547
13,0.9038102213201181,0.0,0.0006890149396184472,187.67768475432726,1,3,0.23660464432004225,0.0004061830826108325,0.09880250429550538,0.24619086231304688
14,0.8985164511460488,0.0,0.0010998787335882115,120.18066691904598,2,1,0.21525838483887155,0.0006198998677224926,0.036647326909736044,0.18850903588476237
