trial,r2,elapsed_s,lr,hidden_dim,n_layers,gcn_layers,dropout,weight_decay,lam_smooth,lam_crps
0,0.9249378171375229,0.0,0.0002519147859109595,172.6626956310823,3,2,0.17629834252137516,0.00037354424625537656,0.04602295024467791,0.11176320309574249
1,0.9242264863505723,0.0,0.00033207422937896457,131.9228840121448,1,2,0.20901622531212138,0.0002590984414565141,0.19257335150829422,0.09000333169274627
2,0.9211221655780831,0.0,0.0004731338406417361,108.89209259895497,1,2,0.09360792846642729,0.0007626831511358403,0.095066005376839,0.2525771666752778
3,0.9209492571133758,0.0,0.0004442592623292303,123.49891493850826,1,1,0.23519564040174246,0.00019106257973411963,0.12056631340868153,0.05553653211738351
4,0.919498170834582,0.0,0.0004500820730463082,72.53797091706313,1,3,0.0761654155502898,0.0002247620219868065,0.11742985779412948,0.22208016952376486
5,0.9188099924282292,0.0,0.00046486421693630047,156.45987023150172,1,2,0.1420730758577724,8.16248049191133e-05,0.07227649001698373,0.06615339648844595
6,0.9184666036546089,0.0,0.0007705989229173007,93.08655638845144,1,3,0.06276345122083507,0.00045212897915896766,0.13001623583319233,0.23952193502134345
7,0.9182122076398543,0.0,0.000469405830840839,73.38371332742116,1,2,0.05132732249174958,0.00015924174648886084,0.09910717557209833,0.18358674180065448
8,0.9170614400845257,0.0,0.00016122955754727252,172.68905419743436,1,2,0.1967968228776207,0.00017011773390552369,0.03603994685602231,0.11241171739789287
9,0.9168498254580487,0.0,0.0004940144008352761,139.63718290962134,2,1,0.2417118426482891,9.217366875216192e-05,0.15871969317755438,0.07068249998060964
10,0.9166081984863523,0.0,0.00037401795710592206,182.37547895193947,2,1,0.16103960846536494,0.00018533191931652084,0.030120506712643123,0.08508489926597816
11,0.9163186536429673,0.0,0.0003349045376293411,183.91208326832373,4,1,0.0745515864822972,0.0004594363407148805,0.03912402015865387,0.09481707703943477
12,0.9160212215382786,0.0,0.000576026596277805,95.99426403545766,2,2,0.10231073528529602,0.00015818179128025407,0.17037621338990822,0.18921067738679215
13,0.91540120129527,0.0,0.00019446227279453076,154.08298311899267,2,1,0.2462660503055956,3.9995838302764735e-05,0.19634937561534466,0.11661954796166914
14,0.914926293076163,0.0,0.0001307276685232682,157.9302633223795,3,1,0.13597836604858612,0.00021836492212789536,0.03814787615148382,0.05480645833156867
15,0.914093087546461,0.0,0.000176810318836683,182.72800652883296,1,2,0.11018973835618795,9.487856132145962e-05,0.13594420042508068,0.2889058142617425
16,0.9137040562359524,0.0,0.0005117430300313625,188.24934712254762,2,4,0.20567669941475236,2.4506281377201807e-05,0.09867699070813649,0.0609509414468072
17,0.9131481104397252,0.0,0.0001721915376473834,187.12290106233786,2,4,0.18994142676214992,3.402043974160321e-05,0.19414351169606756,0.24468772599144867
18,0.9128866931492998,0.0,0.0017970797540059428,100.84173937505072,1,3,0.07348508195600155,0.00032735650803498436,0.14444968326328986,0.28370425430135665
19,0.9123429136022096,0.0,0.00043080207419942236,185.97112256892734,3,2,0.15301142584634292,3.250350392917696e-05,0.18784827830930304,0.09115195439550454
20,0.9122046275827088,0.0,0.00040917891678108557,138.14010482456268,3,1,0.22132285681847513,0.0003288812085346743,0.146697961630678,0.15802325994377592
21,0.912120397744824,0.0,0.0008276210937283382,136.79887308197038,1,1,0.0729060147071947,0.00021717304645704538,0.09950827916719518,0.1913090266202972
22,0.9121203552945479,0.0,0.0004640603446430667,182.95183246781158,3,2,0.205642314747098,0.00010503488812565623,0.049901231043045446,0.05927536636963415
23,0.911964834462941,0.0,0.0010907286498539606,104.4389186343415,1,4,0.18233225263355224,5.58875997149676e-05,0.027948666931687904,0.2366974028372565
24,0.9117944645247458,0.0,0.0002686391753563501,116.29166639675343,4,4,0.09678789717306815,1.3079931915544414e-05,0.06346293948417935,0.1233984394416709
25,0.9115044187681026,0.0,0.00045679613923184647,82.499096174854,3,1,0.1675289144355424,2.1937439549398588e-05,0.18577282249159147,0.19526528492509876
26,0.9101798343121575,0.0,0.00020350682753671442,151.4302660150342,4,3,0.24350194648684204,4.483846290786351e-05,0.08038734414662509,0.167388952818952
27,0.9083748485713751,0.0,0.00016487373721882164,150.0467319090959,1,2,0.18188452693838036,0.0002844390559641479,0.15604302346435484,0.07693523648897414
28,0.9082575499683899,0.0,0.0024696803719805207,121.10800327347593,1,2,0.11030241782957531,0.00018220705396336788,0.07874439600514417,0.07191247982902525
29,0.9071777932349611,0.0,0.0006093733052055847,151.20291262478975,3,1,0.2102469577438733,9.313933030192568e-05,0.18890290042029922,0.12079925653163442
30,0.9062432504060964,0.0,0.0035311169138214082,120.1764402882627,2,4,0.18947360581187278,1.5429601005519722e-05,0.19536824681098364,0.24028492549758823
31,0.9039522939042491,0.0,0.0025149549152136495,103.98293009690126,4,4,0.21095287149936037,5.956028374469396e-05,0.06478233974674638,0.2206238759937439
32,0.9036911992359222,0.0,0.0010998787335882115,120.18066691904598,2,1,0.21525838483887155,0.0006198998677224926,0.036647326909736044,0.18850903588476237
33,0.903197808166591,0.0,0.0009404087507079719,126.81049527737868,2,4,0.16434561047521506,8.850724084484438e-05,0.060725375987459786,0.13289224933563804
34,0.9023302603635048,0.0,0.0006890149396184472,187.67768475432726,1,3,0.23660464432004225,0.0004061830826108325,0.09880250429550538,0.24619086231304688
