trial,r2,elapsed_s,lr,hidden_dim,n_layers,gcn_layers,dropout,weight_decay,lam_smooth,lam_crps
0,0.7257017675887458,0.0,0.0018799415318649807,105.50311881483005,4,3,0.2351699624385275,2.122846658558899e-05,0.10514231730346228,0.1705130186912283
1,0.7145442049328175,0.0,0.004174784328960021,96.9455926455266,4,2,0.1059587145417212,0.00047828974073139957,0.16795984232761407,0.2840994291021308
2,0.7108569399884863,0.0,0.0015441369598222822,119.01609248475987,3,3,0.22282264975826516,0.00013667082826753678,0.029832109290393052,0.23492134356148386
3,0.7066154781993044,0.0,0.0031137700797897222,75.99507423593698,3,1,0.1487610328708609,0.0007610570342817954,0.09483579040146813,0.20029952798472447
4,0.7005032497214585,0.0,0.002376853284430317,82.36550933189531,3,3,0.10384725230364478,0.0009266979082795452,0.17188743467145318,0.24455625220474742
5,0.6929068577096632,0.0,0.0022299734165728566,156.85248271712118,2,4,0.11327867576078106,3.845901510157012e-05,0.04269415400073867,0.1228788545066799
6,0.684656052241144,0.0,0.0025149549152136495,103.98293009690126,4,4,0.21095287149936037,5.956028374469396e-05,0.06478233974674638,0.2206238759937439
7,0.681731092375333,0.0,0.001446655873369146,99.12358047937605,4,1,0.16775358711657887,0.00027692367428484903,0.17592799617668892,0.2787325191545868
8,0.6763118901253733,0.0,0.0014689043654150526,80.9281083979545,3,3,0.19807567267517961,3.2175603286258456e-05,0.05219596170768354,0.20392293222202482
9,0.6716888852543909,0.0,0.00223383630609773,116.11962764916285,1,4,0.07075793386934119,2.9887303743222608e-05,0.06102792826226867,0.13168917015303952
10,0.6524901535735528,0.0,0.0037336070725030326,80.39854498246987,4,2,0.12415960484651625,0.0007137234690401973,0.13233437281532626,0.2556904033177075
11,0.651717354786775,0.0,0.0058650154132816185,110.58178816657971,3,3,0.1942728860955287,5.021562176263093e-05,0.07921578717684394,0.2665602049627845
12,0.6501633350784362,0.0,0.0015319700902693928,81.81418738919301,3,3,0.16283604162760498,2.139696455373544e-05,0.033873279485652386,0.1647966175721408
13,0.610125898689326,0.0,0.0017972880279365502,138.76454002083017,1,3,0.06688886422797782,6.786014828968067e-05,0.017906693033759573,0.17349770481112975
14,0.6064562930598625,0.0,0.0007747648154956234,141.07289432147894,1,3,0.10736202671390958,6.228940320753588e-05,0.031336535500957434,0.1909431137157685
15,0.5992144457542528,0.0,0.007159087541184102,107.68709878994864,3,3,0.15436219287387562,0.0007201763259035957,0.1458702840349033,0.2763946897671736
16,0.5816719880068804,0.0,0.0024696803719805207,121.10800327347593,1,2,0.11030241782957531,0.00018220705396336788,0.07874439600514417,0.07191247982902525
17,0.577917957268262,0.0,0.0035311169138214082,120.1764402882627,2,4,0.18947360581187278,1.5429601005519722e-05,0.19536824681098364,0.24028492549758823
18,0.5758487610088852,0.0,0.0012105392807376472,141.03236656995037,2,4,0.0936508260196218,0.00013677497129004927,0.03951637962222019,0.19011240846958233
19,0.5728146529931049,0.0,0.0010907286498539606,104.4389186343415,1,4,0.18233225263355224,5.58875997149676e-05,0.027948666931687904,0.2366974028372565
20,0.572583248047899,0.0,0.0024463853722533633,138.3829259802755,2,1,0.21082490523645253,0.0002696585899348614,0.15040696074395293,0.08276443788932832
21,0.5585993120474295,0.0,0.0015803947672362421,175.94394122719547,1,1,0.11206473458001896,0.0003587646765587107,0.19464702095158382,0.17518529655058557
22,0.5580955121703927,0.0,0.0006281924947533684,118.38043823500772,2,2,0.06668125169998534,7.995533662798807e-05,0.03306372444242492,0.117154469802079
23,0.5276822325829578,0.0,0.003388423732158626,145.24394496007562,3,3,0.1618414321490827,4.0541535749001684e-05,0.01585538856790849,0.15917934730809058
24,0.527067790306232,0.0,0.006792406834214724,93.46739083454474,1,1,0.16097049387829668,5.5187988830511374e-05,0.1676600511951585,0.25206286801607547
25,0.5150353444395033,0.0,0.0007705989229173007,93.08655638845144,1,3,0.06276345122083507,0.00045212897915896766,0.13001623583319233,0.23952193502134345
26,0.5111254362869584,0.0,0.0006890149396184472,187.67768475432726,1,3,0.23660464432004225,0.0004061830826108325,0.09880250429550538,0.24619086231304688
27,0.501256494213043,0.0,0.0010998787335882115,120.18066691904598,2,1,0.21525838483887155,0.0006198998677224926,0.036647326909736044,0.18850903588476237
28,0.4761041962063993,0.0,0.0009404087507079719,126.81049527737868,2,4,0.16434561047521506,8.850724084484438e-05,0.060725375987459786,0.13289224933563804
29,0.4649735979658648,0.0,0.002107817614371597,135.3001154996836,3,4,0.1828627080654775,6.49791046489694e-05,0.1646638730865466,0.09174322997692598
30,0.44843717780240466,0.0,0.0027150659192692194,121.51827227440495,3,2,0.06927819243069987,0.000638564532552464,0.0965974950683861,0.10059084119880758
31,0.43557240088166216,0.0,0.0008276210937283382,136.79887308197038,1,1,0.0729060147071947,0.00021717304645704538,0.09950827916719518,0.1913090266202972
32,0.42977841363386093,0.0,0.0002686391753563501,116.29166639675343,4,4,0.09678789717306815,1.3079931915544414e-05,0.06346293948417935,0.1233984394416709
33,0.3925089050491247,0.0,0.00045679613923184647,82.499096174854,3,1,0.1675289144355424,2.1937439549398588e-05,0.18577282249159147,0.19526528492509876
34,0.3716238446393253,0.0,0.0004940144008352761,139.63718290962134,2,1,0.2417118426482891,9.217366875216192e-05,0.15871969317755438,0.07068249998060964
35,0.3440693364471692,0.0,0.0003349045376293411,183.91208326832373,4,1,0.0745515864822972,0.0004594363407148805,0.03912402015865387,0.09481707703943477
36,0.3266926385380049,0.0,0.00020350682753671442,151.4302660150342,4,3,0.24350194648684204,4.483846290786351e-05,0.08038734414662509,0.167388952818952
37,0.32381518902123174,0.0,0.00040917891678108557,138.14010482456268,3,1,0.22132285681847513,0.0003288812085346743,0.146697961630678,0.15802325994377592
38,0.3225937077959361,0.0,0.0005117430300313625,188.24934712254762,2,4,0.20567669941475236,2.4506281377201807e-05,0.09867699070813649,0.0609509414468072
39,0.3121060444574616,0.0,0.00037401795710592206,182.37547895193947,2,1,0.16103960846536494,0.00018533191931652084,0.030120506712643123,0.08508489926597816
40,0.3120174082809152,0.0,0.000190329000622386,89.58824991681387,4,1,0.20738487550042767,0.0002136494175503609,0.14398142193900368,0.24518225775549196
41,0.29011374500547094,0.0,0.00012297624805089323,119.69242368038886,4,4,0.2283354532509828,0.00031420713222214127,0.17925057326691973,0.2733616599244658
42,0.288798193968285,0.0,0.0001939969960325716,65.7838448266498,1,1,0.0763644435573042,0.00022662997309479919,0.03314817587942091,0.17658248290515827
43,0.2799084269435509,0.0,0.00043080207419942236,185.97112256892734,3,2,0.15301142584634292,3.250350392917696e-05,0.18784827830930304,0.09115195439550454
44,0.2777842151263177,0.0,0.000176810318836683,182.72800652883296,1,2,0.11018973835618795,9.487856132145962e-05,0.13594420042508068,0.2889058142617425
45,0.2371692851808198,0.0,0.00016487373721882164,150.0467319090959,1,2,0.18188452693838036,0.0002844390559641479,0.15604302346435484,0.07693523648897414
46,0.23558830105708728,0.0,0.0001721915376473834,187.12290106233786,2,4,0.18994142676214992,3.402043974160321e-05,0.19414351169606756,0.24468772599144867
47,0.2343698762516725,0.0,0.00023930001077504737,80.62995268294037,3,2,0.09538186981017682,0.00021858884200540868,0.09305886458574283,0.2581695490144594
48,0.22363158648296344,0.0,0.00011102586009934677,75.52612617928214,4,3,0.14237544605027747,2.1015685377233003e-05,0.10519850726963907,0.08807802567829211
49,0.09564434357202378,0.0,0.00010856093321249967,77.97043158601407,2,4,0.20936341766503236,2.919318530128879e-05,0.11084622221382016,0.20150395517500275
