trial,r2,elapsed_s,lr,hidden_dim,n_layers,gcn_layers,dropout,weight_decay,lam_smooth,lam_crps
0,0.9307739957147636,0.0,0.002293722253935428,122.44426683738291,3,4,0.20473233986788297,3.578548371753318e-05,0.17563999302513386,0.2551370007124203
1,0.9247313474845121,0.0,0.0024696803719805207,121.10800327347593,1,2,0.11030241782957531,0.00018220705396336788,0.07874439600514417,0.07191247982902525
2,0.9238105840152773,0.0,0.0027150659192692194,121.51827227440495,3,2,0.06927819243069987,0.000638564532552464,0.0965974950683861,0.10059084119880758
3,0.922855164140615,0.0,0.0018250549403620447,113.80397337692841,2,3,0.07056706553349729,0.000921439302863444,0.136150556924513,0.10438656487773472
4,0.9176561429828539,0.0,0.0035311169138214082,120.1764402882627,2,4,0.18947360581187278,1.5429601005519722e-05,0.19536824681098364,0.24028492549758823
5,0.9166532636994853,0.0,0.0024416154274659887,105.38000430329187,2,1,0.10168252086275553,0.0007456806199413045,0.05909891265452796,0.057527197122292206
6,0.9166034780156473,0.0,0.0018460985815817366,122.62819199140472,2,1,0.1436482732084313,6.494220835649635e-05,0.11910437356186007,0.058366386064402566
7,0.9165783729223477,0.0,0.0015043913668242174,98.93926056576768,1,1,0.06241721946321931,6.545767800245003e-05,0.047835335744050175,0.054506101311125835
8,0.916217859707339,0.0,0.004110221223555214,97.5315279165954,1,4,0.1705070732042802,1.2561309623242015e-05,0.1958800521770712,0.19801539732419282
9,0.9152127560295015,0.0,0.001068749997075718,135.96407248377628,3,1,0.11484021914060909,0.00025157945053923747,0.14019111842974874,0.1405726651762775
10,0.915204274464332,0.0,0.0014424609592947222,98.05318157452916,1,2,0.10199135468906381,9.843173194764179e-05,0.06615801796608134,0.08092809528046527
11,0.9151482910401799,0.0,0.0014997457056160773,122.48479458891148,1,4,0.22523082022412855,2.0824285845654156e-05,0.16794363737736995,0.25594919834083785
12,0.9140409670974363,0.0,0.0024463853722533633,138.3829259802755,2,1,0.21082490523645253,0.0002696585899348614,0.15040696074395293,0.08276443788932832
13,0.9125655313402579,0.0,0.0025149549152136495,103.98293009690126,4,4,0.21095287149936037,5.956028374469396e-05,0.06478233974674638,0.2206238759937439
14,0.9125527622971998,0.0,0.0010907286498539606,104.4389186343415,1,4,0.18233225263355224,5.58875997149676e-05,0.027948666931687904,0.2366974028372565
15,0.912189676595458,0.0,0.0015803947672362421,175.94394122719547,1,1,0.11206473458001896,0.0003587646765587107,0.19464702095158382,0.17518529655058557
16,0.9119603347336718,0.0,0.003349069764522503,133.08400198957335,4,2,0.07202984840589342,0.00045263403238956503,0.1322229645806739,0.14625519164823286
17,0.9109444911359749,0.0,0.00410345383380922,138.26438298455372,3,4,0.2340763120936058,1.4942305844034169e-05,0.17862993775059088,0.18940137025931597
18,0.9100909689041201,0.0,0.0015163392068198562,136.14116566133453,1,1,0.12978223071142514,0.0004181039346304268,0.04379416554879084,0.10186131745585658
19,0.9077085490373364,0.0,0.0017972880279365502,138.76454002083017,1,3,0.06688886422797782,6.786014828968067e-05,0.017906693033759573,0.17349770481112975
20,0.9064679736778404,0.0,0.003388423732158626,145.24394496007562,3,3,0.1618414321490827,4.0541535749001684e-05,0.01585538856790849,0.15917934730809058
21,0.9018615838449329,0.0,0.0012282992247267565,99.79233850244024,3,3,0.16441236339509396,2.4729234803985737e-05,0.16956873684960372,0.18380452143408985
22,0.901334818368513,0.0,0.0037336070725030326,80.39854498246987,4,2,0.12415960484651625,0.0007137234690401973,0.13233437281532626,0.2556904033177075
23,0.9012163820981277,0.0,0.00040917891678108557,138.14010482456268,3,1,0.22132285681847513,0.0003288812085346743,0.146697961630678,0.15802325994377592
24,0.900442572994778,0.0,0.002107817614371597,135.3001154996836,3,4,0.1828627080654775,6.49791046489694e-05,0.1646638730865466,0.09174322997692598
25,0.8986494478611446,0.0,0.0008276210937283382,136.79887308197038,1,1,0.0729060147071947,0.00021717304645704538,0.09950827916719518,0.1913090266202972
26,0.8976709605064366,0.0,0.00043080207419942236,185.97112256892734,3,2,0.15301142584634292,3.250350392917696e-05,0.18784827830930304,0.09115195439550454
27,0.8962527986618044,0.0,0.0006890149396184472,187.67768475432726,1,3,0.23660464432004225,0.0004061830826108325,0.09880250429550538,0.24619086231304688
28,0.895178271802394,0.0,0.00037401795710592206,182.37547895193947,2,1,0.16103960846536494,0.00018533191931652084,0.030120506712643123,0.08508489926597816
29,0.8945286042865407,0.0,0.0007705989229173007,93.08655638845144,1,3,0.06276345122083507,0.00045212897915896766,0.13001623583319233,0.23952193502134345
30,0.8942633155309329,0.0,0.0009404087507079719,126.81049527737868,2,4,0.16434561047521506,8.850724084484438e-05,0.060725375987459786,0.13289224933563804
31,0.89243886209352,0.0,0.0010998787335882115,120.18066691904598,2,1,0.21525838483887155,0.0006198998677224926,0.036647326909736044,0.18850903588476237
32,0.8917394258739392,0.0,0.00045679613923184647,82.499096174854,3,1,0.1675289144355424,2.1937439549398588e-05,0.18577282249159147,0.19526528492509876
33,0.8888551248825997,0.0,0.0004940144008352761,139.63718290962134,2,1,0.2417118426482891,9.217366875216192e-05,0.15871969317755438,0.07068249998060964
34,0.8857136940787231,0.0,0.0002686391753563501,116.29166639675343,4,4,0.09678789717306815,1.3079931915544414e-05,0.06346293948417935,0.1233984394416709
35,0.8839735638698026,0.0,0.0005117430300313625,188.24934712254762,2,4,0.20567669941475236,2.4506281377201807e-05,0.09867699070813649,0.0609509414468072
36,0.8823334125512087,0.0,0.0003349045376293411,183.91208326832373,4,1,0.0745515864822972,0.0004594363407148805,0.03912402015865387,0.09481707703943477
37,0.8807126100684721,0.0,0.00020350682753671442,151.4302660150342,4,3,0.24350194648684204,4.483846290786351e-05,0.08038734414662509,0.167388952818952
38,0.8787614170866641,0.0,0.00023930001077504737,80.62995268294037,3,2,0.09538186981017682,0.00021858884200540868,0.09305886458574283,0.2581695490144594
39,0.8780487958113193,0.0,0.000190329000622386,89.58824991681387,4,1,0.20738487550042767,0.0002136494175503609,0.14398142193900368,0.24518225775549196
40,0.8762492267257702,0.0,0.0001721915376473834,187.12290106233786,2,4,0.18994142676214992,3.402043974160321e-05,0.19414351169606756,0.24468772599144867
41,0.8730192276657891,0.0,0.0001939969960325716,65.7838448266498,1,1,0.0763644435573042,0.00022662997309479919,0.03314817587942091,0.17658248290515827
42,0.8689140991834062,0.0,0.000176810318836683,182.72800652883296,1,2,0.11018973835618795,9.487856132145962e-05,0.13594420042508068,0.2889058142617425
43,0.8258165327592518,0.0,0.00016487373721882164,150.0467319090959,1,2,0.18188452693838036,0.0002844390559641479,0.15604302346435484,0.07693523648897414
44,0.8238639219382213,0.0,0.00011102586009934677,75.52612617928214,4,3,0.14237544605027747,2.1015685377233003e-05,0.10519850726963907,0.08807802567829211
45,0.8191641330077863,0.0,0.00012297624805089323,119.69242368038886,4,4,0.2283354532509828,0.00031420713222214127,0.17925057326691973,0.2733616599244658
46,0.8162405824911426,0.0,0.005759432648244645,127.70686134315437,1,2,0.09772082217029358,0.0001536198273253334,0.09317784343524171,0.12322703545466152
47,0.7910304841885288,0.0,0.00010856093321249967,77.97043158601407,2,4,0.20936341766503236,2.919318530128879e-05,0.11084622221382016,0.20150395517500275
48,0.6937576970840671,0.0,0.005989014022308471,147.28807348577243,2,3,0.10556290326799547,0.0007027195764104726,0.11013340628796311,0.13809735303004517
49,0.6507922783694859,0.0,0.006792406834214724,93.46739083454474,1,1,0.16097049387829668,5.5187988830511374e-05,0.1676600511951585,0.25206286801607547
