trial,r2,elapsed_s,lr,hidden_dim,n_layers,gcn_layers,dropout,weight_decay,lam_smooth,lam_crps
0,0.926855591664178,0.0,0.003685568919283293,172.92689422656434,1,1,0.09948313892073724,0.0002866482557752569,0.18160351778757466,0.22112162551962616
1,0.9244460425319998,0.0,0.003964538439028525,164.53434123219768,1,4,0.1036466002129448,0.0001291493857961084,0.04559787365240953,0.20837224913339586
2,0.9244431934150574,0.0,0.003069547893066918,98.46309090180861,1,3,0.09133588522198276,8.024853619114522e-05,0.11873659089145194,0.06397294320645547
3,0.9193651518044526,0.0,0.0012081288234511945,131.05024112335363,1,4,0.06985773020007942,0.0001907535947835623,0.06077181343064534,0.17111150834863958
4,0.9190895833037547,0.0,0.0016162724247192292,122.62627204971709,1,2,0.09990004790333648,0.00014066419584782112,0.015833110253661128,0.11931756193052702
5,0.9173894802071052,0.0,0.002216978582280868,150.33026973599857,2,3,0.07127006330973137,6.857108815842788e-05,0.058481130237415475,0.2173891581639055
6,0.9119869257684388,0.0,0.0015803947672362421,175.94394122719547,1,1,0.11206473458001896,0.0003587646765587107,0.19464702095158382,0.17518529655058557
7,0.9115887656549427,0.0,0.0017972880279365502,138.76454002083017,1,3,0.06688886422797782,6.786014828968067e-05,0.017906693033759573,0.17349770481112975
8,0.9110462237549376,0.0,0.0024696803719805207,121.10800327347593,1,2,0.11030241782957531,0.00018220705396336788,0.07874439600514417,0.07191247982902525
9,0.9100879813678577,0.0,0.0030642398387704336,139.19594596976694,2,3,0.15490512411130836,0.0001032639040232597,0.08730160606418355,0.05802333847217006
10,0.9096809794417273,0.0,0.0016634201389420973,123.37582982259613,2,3,0.12556115188558553,0.00036724594924697165,0.0818530122313895,0.10342614661398752
11,0.9073391008161464,0.0,0.0011813530897499627,169.11344371319993,2,1,0.14541058995887493,0.0001270350403471699,0.19602766887789352,0.12507443924807
12,0.9059420227940818,0.0,0.0009626882373032536,151.32599557483508,1,1,0.06417953621366296,0.00012798789053551594,0.15637734295594102,0.11935803812898249
13,0.9034952998483889,0.0,0.001064615925766463,123.41635757412472,1,2,0.14605963224183108,0.0001672493936077554,0.06782789813467775,0.10398712173268798
14,0.9029852044561336,0.0,0.0009703338840934661,179.260010226911,1,1,0.13154454746186878,0.0007385042706866939,0.15412904944371866,0.18948276411832554
15,0.898599084424333,0.0,0.0008632087066751667,100.72390148765348,2,1,0.0852411754127965,0.00021468309019080688,0.07078932644694744,0.05415766240488442
16,0.8975136982040888,0.0,0.0007074787985694369,153.2103402302015,2,2,0.11260395172617982,2.9445757719522753e-05,0.0631283834412203,0.21110822682176683
17,0.8974455661087132,0.0,0.0035311169138214082,120.1764402882627,2,4,0.18947360581187278,1.5429601005519722e-05,0.19536824681098364,0.24028492549758823
18,0.8969138397112913,0.0,0.0007705989229173007,93.08655638845144,1,3,0.06276345122083507,0.00045212897915896766,0.13001623583319233,0.23952193502134345
19,0.89660669217141,0.0,0.006792406834214724,93.46739083454474,1,1,0.16097049387829668,5.5187988830511374e-05,0.1676600511951585,0.25206286801607547
20,0.8952706234523646,0.0,0.0024463853722533633,138.3829259802755,2,1,0.21082490523645253,0.0002696585899348614,0.15040696074395293,0.08276443788932832
21,0.8938306733829002,0.0,0.0027150659192692194,121.51827227440495,3,2,0.06927819243069987,0.000638564532552464,0.0965974950683861,0.10059084119880758
22,0.8928081428207889,0.0,0.0009230578085632248,150.6606601985803,1,1,0.10375367143950746,0.0001882055966321474,0.1665711149516442,0.1584843527788665
23,0.892157628938777,0.0,0.0010907286498539606,104.4389186343415,1,4,0.18233225263355224,5.58875997149676e-05,0.027948666931687904,0.2366974028372565
24,0.8901741023737698,0.0,0.0008276210937283382,136.79887308197038,1,1,0.0729060147071947,0.00021717304645704538,0.09950827916719518,0.1913090266202972
25,0.8866788725595405,0.0,0.003388423732158626,145.24394496007562,3,3,0.1618414321490827,4.0541535749001684e-05,0.01585538856790849,0.15917934730809058
26,0.8860288361831614,0.0,0.0009404087507079719,126.81049527737868,2,4,0.16434561047521506,8.850724084484438e-05,0.060725375987459786,0.13289224933563804
27,0.8816683502454158,0.0,0.0010998787335882115,120.18066691904598,2,1,0.21525838483887155,0.0006198998677224926,0.036647326909736044,0.18850903588476237
28,0.8789190240217806,0.0,0.00037401795710592206,182.37547895193947,2,1,0.16103960846536494,0.00018533191931652084,0.030120506712643123,0.08508489926597816
29,0.87780046707691,0.0,0.0005117430300313625,188.24934712254762,2,4,0.20567669941475236,2.4506281377201807e-05,0.09867699070813649,0.0609509414468072
30,0.8774386928926344,0.0,0.002107817614371597,135.3001154996836,3,4,0.1828627080654775,6.49791046489694e-05,0.1646638730865466,0.09174322997692598
31,0.877227078313025,0.0,0.00023930001077504737,80.62995268294037,3,2,0.09538186981017682,0.00021858884200540868,0.09305886458574283,0.2581695490144594
32,0.8746534582454115,0.0,0.0003349045376293411,183.91208326832373,4,1,0.0745515864822972,0.0004594363407148805,0.03912402015865387,0.09481707703943477
33,0.8737296917650208,0.0,0.00040917891678108557,138.14010482456268,3,1,0.22132285681847513,0.0003288812085346743,0.146697961630678,0.15802325994377592
34,0.8734752290132934,0.0,0.0006890149396184472,187.67768475432726,1,3,0.23660464432004225,0.0004061830826108325,0.09880250429550538,0.24619086231304688
35,0.8726942924261051,0.0,0.00043080207419942236,185.97112256892734,3,2,0.15301142584634292,3.250350392917696e-05,0.18784827830930304,0.09115195439550454
