trial,r2,elapsed_s,lr,hidden_dim,n_layers,gcn_layers,dropout,weight_decay,lam_smooth,lam_crps
0,0.9693888428485032,0.0,0.006331685458161319,128.1171303440834,2,2,0.07592279416366016,0.0003991219616073052,0.11103094249848364,0.14810524527695543
1,0.9685123514153682,0.0,0.0020295255205208204,123.03846099233374,4,1,0.10774050207237665,0.0002194358841616719,0.136957472625102,0.061208788555124634
2,0.9656344687377381,0.0,0.0016538665390257582,99.3495295666967,3,1,0.05146509634528348,0.00022064457701554682,0.0656884348072921,0.05603700766562534
3,0.9637450545537453,0.0,0.00404203181047631,122.5990325884083,2,4,0.14287489954149013,1.7855504647215578e-05,0.05913873741913818,0.11737081265000035
4,0.9634608790140159,0.0,0.004035251576234647,163.33188765636663,4,4,0.20644413843081572,2.2976482882941222e-05,0.041483728681399094,0.10856049700364073
5,0.9628001385530345,0.0,0.004080684076279574,131.7421700034311,3,3,0.17127271550707773,2.2248103918113136e-05,0.19348378849872777,0.28180604068102305
6,0.9618352707752992,0.0,0.0027150659192692194,121.51827227440495,3,2,0.06927819243069987,0.000638564532552464,0.0965974950683861,0.10059084119880758
7,0.9586971475277847,0.0,0.0015857827737104334,98.46345057545818,3,2,0.07888134189982941,0.00029294984532444985,0.08401111702932326,0.09143563035974223
8,0.9576384896853373,0.0,0.0022893735568271316,112.46214139078616,1,4,0.1691612532690013,4.499360688140261e-05,0.19563907560079188,0.23655942932126908
9,0.957366952128023,0.0,0.0035311169138214082,120.1764402882627,2,4,0.18947360581187278,1.5429601005519722e-05,0.19536824681098364,0.24028492549758823
10,0.9571974137530919,0.0,0.002231047589083275,147.51177150919582,4,4,0.1771001662050929,8.17131634380386e-05,0.03842360403826818,0.17579405096654316
11,0.957045551045002,0.0,0.0070969150001266934,145.94624149963022,1,4,0.21967619383923215,3.439988775081999e-05,0.18136202638325422,0.2729900230094614
12,0.9551388272818196,0.0,0.003388423732158626,145.24394496007562,3,3,0.1618414321490827,4.0541535749001684e-05,0.01585538856790849,0.15917934730809058
13,0.9543595500267054,0.0,0.006792406834214724,93.46739083454474,1,1,0.16097049387829668,5.5187988830511374e-05,0.1676600511951585,0.25206286801607547
14,0.9543169565242582,0.0,0.0037336070725030326,80.39854498246987,4,2,0.12415960484651625,0.0007137234690401973,0.13233437281532626,0.2556904033177075
15,0.952650418094382,0.0,0.0030203816819932435,104.03817231714962,1,3,0.2140750338362174,3.648286555256295e-05,0.15335657768615246,0.18591942115916069
16,0.9513716898434107,0.0,0.0024463853722533633,138.3829259802755,2,1,0.21082490523645253,0.0002696585899348614,0.15040696074395293,0.08276443788932832
17,0.9509472987538186,0.0,0.0016670015072382752,136.55143466226355,2,1,0.09813435846877812,0.0008002547788045839,0.061647264612032765,0.11948072167339086
18,0.9500953411621762,0.0,0.001180779009937803,124.85984317425317,4,2,0.13678018973230388,4.7767536911203186e-05,0.03220984346961396,0.10283611229903983
19,0.9491211262116785,0.0,0.0025149549152136495,103.98293009690126,4,4,0.21095287149936037,5.956028374469396e-05,0.06478233974674638,0.2206238759937439
20,0.9464585349070307,0.0,0.002107817614371597,135.3001154996836,3,4,0.1828627080654775,6.49791046489694e-05,0.1646638730865466,0.09174322997692598
21,0.9448927581241059,0.0,0.0024696803719805207,121.10800327347593,1,2,0.11030241782957531,0.00018220705396336788,0.07874439600514417,0.07191247982902525
22,0.9434310218601443,0.0,0.001447150384937267,147.5522992607244,2,3,0.19759864656133844,3.7213418045334777e-05,0.030546599697854435,0.17662475621272933
23,0.9413381067130863,0.0,0.0017972880279365502,138.76454002083017,1,3,0.06688886422797782,6.786014828968067e-05,0.017906693033759573,0.17349770481112975
24,0.9388864177088122,0.0,0.0013754715394412177,134.62224049763404,2,3,0.2330675880819354,1.2433270830769343e-05,0.19785635512853914,0.27566504474563097
25,0.9199736770244855,0.0,0.0015803947672362421,175.94394122719547,1,1,0.11206473458001896,0.0003587646765587107,0.19464702095158382,0.17518529655058557
26,0.9115110675300564,0.0,0.0010998787335882115,120.18066691904598,2,1,0.21525838483887155,0.0006198998677224926,0.036647326909736044,0.18850903588476237
27,0.902831630686193,0.0,0.0008276210937283382,136.79887308197038,1,1,0.0729060147071947,0.00021717304645704538,0.09950827916719518,0.1913090266202972
28,0.899424978166851,0.0,0.0007705989229173007,93.08655638845144,1,3,0.06276345122083507,0.00045212897915896766,0.13001623583319233,0.23952193502134345
29,0.8923006577926598,0.0,0.0005117430300313625,188.24934712254762,2,4,0.20567669941475236,2.4506281377201807e-05,0.09867699070813649,0.0609509414468072
30,0.8919380798072356,0.0,0.0010907286498539606,104.4389186343415,1,4,0.18233225263355224,5.58875997149676e-05,0.027948666931687904,0.2366974028372565
31,0.8914044035951465,0.0,0.0009404087507079719,126.81049527737868,2,4,0.16434561047521506,8.850724084484438e-05,0.060725375987459786,0.13289224933563804
32,0.883606195438217,0.0,0.00040917891678108557,138.14010482456268,3,1,0.22132285681847513,0.0003288812085346743,0.146697961630678,0.15802325994377592
33,0.8822616907863252,0.0,0.0003349045376293411,183.91208326832373,4,1,0.0745515864822972,0.0004594363407148805,0.03912402015865387,0.09481707703943477
34,0.8805970265660579,0.0,0.00045679613923184647,82.499096174854,3,1,0.1675289144355424,2.1937439549398588e-05,0.18577282249159147,0.19526528492509876
35,0.880327196091381,0.0,0.00043080207419942236,185.97112256892734,3,2,0.15301142584634292,3.250350392917696e-05,0.18784827830930304,0.09115195439550454
36,0.8784834593003806,0.0,0.00023930001077504737,80.62995268294037,3,2,0.09538186981017682,0.00021858884200540868,0.09305886458574283,0.2581695490144594
37,0.8765910089764057,0.0,0.0006890149396184472,187.67768475432726,1,3,0.23660464432004225,0.0004061830826108325,0.09880250429550538,0.24619086231304688
38,0.8743429442908187,0.0,0.0002686391753563501,116.29166639675343,4,4,0.09678789717306815,1.3079931915544414e-05,0.06346293948417935,0.1233984394416709
39,0.8709374457434227,0.0,0.00037401795710592206,182.37547895193947,2,1,0.16103960846536494,0.00018533191931652084,0.030120506712643123,0.08508489926597816
40,0.8629922852279942,0.0,0.00020350682753671442,151.4302660150342,4,3,0.24350194648684204,4.483846290786351e-05,0.08038734414662509,0.167388952818952
41,0.8611373986804676,0.0,0.0001721915376473834,187.12290106233786,2,4,0.18994142676214992,3.402043974160321e-05,0.19414351169606756,0.24468772599144867
42,0.8581134350921185,0.0,0.0004940144008352761,139.63718290962134,2,1,0.2417118426482891,9.217366875216192e-05,0.15871969317755438,0.07068249998060964
43,0.8504212968530918,0.0,0.00011102586009934677,75.52612617928214,4,3,0.14237544605027747,2.1015685377233003e-05,0.10519850726963907,0.08807802567829211
44,0.8438230603514278,0.0,0.000190329000622386,89.58824991681387,4,1,0.20738487550042767,0.0002136494175503609,0.14398142193900368,0.24518225775549196
45,0.8405047622910111,0.0,0.00012297624805089323,119.69242368038886,4,4,0.2283354532509828,0.00031420713222214127,0.17925057326691973,0.2733616599244658
46,0.8368280644194575,0.0,0.00016487373721882164,150.0467319090959,1,2,0.18188452693838036,0.0002844390559641479,0.15604302346435484,0.07693523648897414
47,0.8353803787587416,0.0,0.000176810318836683,182.72800652883296,1,2,0.11018973835618795,9.487856132145962e-05,0.13594420042508068,0.2889058142617425
48,0.8243936426555403,0.0,0.00010856093321249967,77.97043158601407,2,4,0.20936341766503236,2.919318530128879e-05,0.11084622221382016,0.20150395517500275
49,0.7974893517835571,0.0,0.0001939969960325716,65.7838448266498,1,1,0.0763644435573042,0.00022662997309479919,0.03314817587942091,0.17658248290515827
