Model,Tier,Phase1_R2,Phase1_time,N1_R2,N2_R2,N4_R2,N8_R2,N1_time,N2_time,N4_time,N8_time
STGCN,Graph,0.9166,249.2,0.9294765400037884,0.9107718659633748,0.9064056724989684,0.917449091018008,158.3493151664734,2187.680596590042,2187.0893938541412,4407.556173801422
SpatialMamba,SSM,0.9207,2989.3,0.8987916958975037,0.8463080160762652,0.9085359871508444,0.8702204467987144,426.52366638183594,24181.015474796295,1446.576979637146,2815.2145018577576
GAT,Graph,0.9176,410.3,0.9173571952444723,0.9266416495744368,0.9306057620564828,0.8976403600134853,155.41326117515564,241.21623349189758,408.3590769767761,764.9551117420197
GraphSAGE,Graph,0.9161,428.0,0.918443590722036,0.931358371784364,0.9284209762354384,0.9168461096532192,155.77425241470337,243.65709519386292,420.5497760772705,772.4042792320251
SpatialTransformer,Attention,0.9055,92.0,0.9245012003895148,0.9068386785963768,0.9027486861846667,0.90786756721515,148.0610544681549,227.26072239875793,377.94369649887085,693.2889559268951
SpatialESN,Reservoir,0.6245,108.4,0.2925769013349194,0.1908002227293266,0.2464380307708714,0.1820046934563739,141.42284154891968,224.56523966789246,374.74508571624756,707.038232088089
DeepESN,Reservoir,0.4858,196.1,0.3035849034750338,0.2587059530776419,0.2035054711533522,0.2356921254024396,143.93215227127075,219.58002543449402,366.70053029060364,682.6063179969788
SpatialBiGRU,SSM,0.9124,177.7,0.9157924840559356,0.8929023879762032,0.9026017354554974,0.9155689794615516,158.56413173675537,249.62606048583984,418.00104570388794,774.9992485046387
SpatialS4,SSM,0.8671,939.0,0.8837148188481019,0.8739460007793785,0.8949911837346318,0.8939556243825096,278.8811728954315,443.8068428039551,773.2911920547485,1446.2928941249847
SpatialInformer,Attention,0.7743,92.8,0.8103732347698364,0.8404977061395158,0.8719934529982465,0.8489776793681583,143.11787176132202,220.24463081359863,363.60635447502136,680.9769585132599
