arch,n_workers,round,global_rmse,global_r2,uncertainty_U,gamma,round_time_s,ideal_worker_time_s,worker_1_loss,worker_1_alpha,worker_1_beta,worker_1_stability,worker_1_progress,worker_1_consensus,worker_2_loss,worker_2_alpha,worker_2_beta,worker_2_stability,worker_2_progress,worker_2_consensus,worker_3_loss,worker_3_alpha,worker_3_beta,worker_3_stability,worker_3_progress,worker_3_consensus,worker_4_loss,worker_4_alpha,worker_4_beta,worker_4_stability,worker_4_progress,worker_4_consensus,worker_5_loss,worker_5_alpha,worker_5_beta,worker_5_stability,worker_5_progress,worker_5_consensus,worker_6_loss,worker_6_alpha,worker_6_beta,worker_6_stability,worker_6_progress,worker_6_consensus,worker_7_loss,worker_7_alpha,worker_7_beta,worker_7_stability,worker_7_progress,worker_7_consensus,worker_8_loss,worker_8_alpha,worker_8_beta,worker_8_stability,worker_8_progress,worker_8_consensus
STGCN,1,1,2.5683,-0.0094,1.1678,0.7507,9.04,9.04,0.045,1.0,0.0,0.1197,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STGCN,1,2,2.5124,0.034,1.1618,0.7512,9.23,9.23,0.5262,1.0,0.0,0.0534,0.49,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STGCN,1,3,2.3612,0.1468,1.132,0.7538,9.72,9.72,0.2684,1.0,0.0,0.2308,0.5776,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STGCN,1,4,1.7877,0.5109,1.1135,0.7554,9.48,9.48,-0.067,1.0,0.0,0.0858,1.1087,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STGCN,1,5,1.0906,0.818,0.8901,0.7743,8.92,8.92,-0.1869,1.0,0.0,-0.0122,1.8924,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STGCN,1,6,0.9135,0.8723,0.7973,0.7822,9.41,9.41,0.3673,1.0,0.0,0.1525,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STGCN,1,7,1.1343,0.8031,0.7899,0.6263,9.41,9.41,-0.0196,1.0,0.0,0.0275,1.0511,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STGCN,1,8,1.0049,0.8455,0.7372,0.6299,9.0,9.0,1.2129,1.0,0.0,0.0612,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STGCN,1,9,0.8927,0.8781,0.8103,0.7811,8.75,8.75,0.0919,1.0,0.0,0.1711,0.5969,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STGCN,1,10,0.9677,0.8567,0.7343,0.6301,10.16,10.16,0.9344,1.0,0.0,0.1455,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
