round,arch,n_workers,rmse,r2,gamma,mean_uncertainty,worker_uncertainties,worker_angle_scales,alphas,betas,worker_losses,time_r2,time_rmse,elapsed
1,STGCN,2,1.579464316368103,0.9517550045641973,0.7823896883164511,0.7954154315711633,"[0.7129970163450733, 0.8778338467972534]","[1.5070098842249964, 1.9462340660431248]","[0.4999740508861861, 0.5000259491138138]","[0.8448723958752107, 0.6197438086483235]","[0.5828194618225098, 1.2596744298934937]",0.9517550045641973,1.579464316368103,29.046085357666016
2,STGCN,2,1.5764174461364746,0.9519409606655617,0.7859766681609647,0.7532156686945324,"[0.7708309237383859, 0.7356004136506789]","[1.9859531286154337, 2.3937827889561025]","[0.5, 0.5]","[0.7739747258377868, 0.6542625265206282]","[0.4783087372779846, 0.9808914661407471]",0.9519409606655617,1.5764174461364746,28.547865629196167
3,STGCN,2,1.5742084980010986,0.9520755536125336,0.7823053351563157,0.7964078216904027,"[0.7541659852864533, 0.8386496580943521]","[1.6953861197531217, 1.946234066043125]","[0.5001095318748461, 0.49989046812515386]","[0.7668595578391004, 0.6583215446049931]","[0.008416198194026947, 0.4731346070766449]",0.9520755536125336,1.5742084980010986,27.564797401428223
4,STGCN,2,1.571437120437622,0.9522441378369643,0.7816803482119047,0.8037606092717093,"[0.7553946153378829, 0.8521266032055357]","[1.946234066043125, 1.9462340660431243]","[0.5000770984762513, 0.4999229015237488]","[0.7422187523463133, 0.6760170465010605]","[0.6181411743164062, 1.6686980724334717]",0.9522441378369643,1.571437120437622,27.676148653030396
5,STGCN,2,1.5688068866729736,0.9524038723486509,0.7849791329785588,0.764951376722838,"[0.7519654035158628, 0.7779373499298132]","[1.8164851283069159, 2.5647672738815386]","[0.4999934602206113, 0.5000065397793887]","[0.8028390067518621, 0.6389016811134354]","[1.101975440979004, 0.5687256455421448]",0.9524038723486509,1.5688068866729736,27.76702308654785
6,STGCN,2,1.5666518211364746,0.9525345494674096,0.7783519678811737,0.8429180249273684,"[0.8122713617621646, 0.8735646880925724]","[2.7479649363016514, 2.1278069235165367]","[0.4997776929966224, 0.5002223070033777]","[0.6571191219207074, 0.7693376241824089]","[0.4370173215866089, 0.2555336356163025]",0.9525345494674096,1.5666518211364746,27.689876794815063
7,STGCN,2,1.5647389888763428,0.9526503865710334,0.77918641617865,0.8331009861335288,"[0.8319858059460283, 0.8342161663210292]","[1.8164851283069157, 1.9462340660431248]","[0.5003987048896464, 0.49960129511035345]","[0.705278197828715, 0.7076626333403652]","[0.627018928527832, 0.13133001327514648]",0.9526503865710334,1.5647389888763428,29.118769645690918
8,STGCN,2,1.5622694492340088,0.9527997280556161,0.7855955763472903,0.7576991017965848,"[0.7020597275403886, 0.8133384760527811]","[2.279793132339145, 2.2341972696923618]","[0.5000099798460571, 0.49999002015394284]","[0.722291613845198, 0.6928104215927189]","[0.058068372309207916, 0.8995356559753418]",0.9527997280556161,1.5622694492340088,29.056061267852783
9,STGCN,2,1.5602188110351562,0.9529235561636116,0.7842901860437919,0.7730566347789197,"[0.7444275817460031, 0.8016856878118364]","[1.6953861197531217, 1.8535562533744045]","[0.4998885771484955, 0.5001114228515046]","[0.7551170583357125, 0.6664180660997053]","[0.939374566078186, 0.5409903526306152]",0.9529235561636116,1.5602188110351562,28.26396870613098
10,STGCN,2,1.5580500364303589,0.9530543454161097,0.7858309772862551,0.7549296789852339,"[0.7498754208700091, 0.7599839371004586]","[2.085250785046206, 1.853556253374404]","[0.5000742959539629, 0.49992570404603714]","[0.6972812613008199, 0.7170310434658266]","[0.1552840769290924, 2.4368326663970947]",0.9530543454161097,1.5580500364303589,28.18177032470703
11,STGCN,2,1.556318759918213,0.9531586120883665,0.7826294449267858,0.7925947655672263,"[0.7582190737030878, 0.8269704574313649]","[1.9462340660431252, 1.816485128306916]","[0.49996625806494505, 0.500033741935055]","[0.7295216994486702, 0.6865582235748604]","[2.2328312397003174, -0.05439703166484833]",0.9531586120883665,1.556318759918213,29.489805698394775
12,STGCN,2,1.5545049905776978,0.9532677300202936,0.7850261932703628,0.7643977262310259,"[0.7766562149678882, 0.7521392374941636]","[2.0852507850462056, 2.0852507850462048]","[0.500070806647383, 0.499929193352617]","[0.7073439830763587, 0.7060745640581046]","[0.10619018971920013, 0.17286106944084167]",0.9532677300202936,1.5545049905776978,28.964854955673218
13,STGCN,2,1.552814245223999,0.9533693320407972,0.7818052255319394,0.8022914643301237,"[0.768711499322974, 0.8358714293372733]","[1.8164851283069163, 1.4768696865404973]","[0.5001708986155533, 0.49982910138444664]","[0.6974048927388132, 0.7164490688310662]","[1.0585441589355469, 0.48109447956085205]",0.9533693320407972,1.552814245223999,27.595252990722656
14,STGCN,2,1.5509905815124512,0.953478795226606,0.7809989103518016,0.8117775252729216,"[0.7530655627374863, 0.870489487808357]","[1.729985836482777, 1.9462340660431243]","[0.49946472045322493, 0.500535279546775]","[0.7948611105792612, 0.6423331790992427]","[1.0484014749526978, -0.017567379400134087]",0.953478795226606,1.5509905815124512,28.594427824020386
15,STGCN,2,1.5494835376739502,0.9535691514134091,0.7828944037277822,0.7894776032025623,"[0.7754907133886974, 0.8034644930164273]","[2.2341972696923618, 2.3937827889561016]","[0.5, 0.5]","[0.7057648119533176, 0.7081093028278549]","[0.6882761716842651, 1.1730859279632568]",0.9535691514134091,1.5494835376739502,27.895013570785522
16,STGCN,2,1.5479789972305298,0.9536592862836216,0.7827667904597484,0.7909789357676659,"[0.7721500531239797, 0.8098078184113521]","[1.8164851283069159, 2.085250785046205]","[0.5000065391409595, 0.49999346085904056]","[0.7320884586315833, 0.6840459584661759]","[0.08433674275875092, 0.17253941297531128]",0.9536592862836216,1.5479789972305298,29.467291355133057
17,STGCN,2,1.546242594718933,0.9537631840948938,0.7826043383194893,0.7928901374177733,"[0.7413405404280863, 0.8444397344074603]","[1.8380796229491727, 2.3937827889561016]","[0.5003331138322609, 0.4996668861677392]","[0.7814954080896798, 0.6496209600648601]","[0.29777687788009644, 2.5126166343688965]",0.9537631840948938,1.546242594718933,28.903915643692017
18,STGCN,2,1.5448086261749268,0.9538489014859538,0.7826628203238524,0.79220211383703,"[0.7534547403777582, 0.8309494872963018]","[2.0264827843014626, 2.0852507850462056]","[0.5, 0.5]","[0.7118765332012172, 0.7028703514370025]","[1.5975805521011353, 0.5704622268676758]",0.9538489014859538,1.5448086261749268,28.00595259666443
19,STGCN,2,1.5432637929916382,0.9539411639463258,0.7870936205658492,0.7400750521664796,"[0.7009950789004007, 0.7791550254325584]","[2.2155424026619475, 1.8164851283069163]","[0.49997593553797987, 0.5000240644620201]","[0.7125230576708267, 0.7008736979599308]","[0.27870994806289673, 0.3495558500289917]",0.9539411639463258,1.5432637929916382,28.63305926322937
20,STGCN,2,1.54190993309021,0.9540219386001914,0.783375659174016,0.783815774423341,"[0.7842001183567915, 0.7834314304898906]","[2.234197269692361, 2.0852507850462065]","[0.4999970974385292, 0.5000029025614707]","[0.703775942206952, 0.7104205440612742]","[0.947016179561615, 0.36961451172828674]",0.9540219386001914,1.54190993309021,28.81314253807068
