round,arch,n_workers,rmse,r2,gamma,mean_uncertainty,worker_uncertainties,worker_angle_scales,alphas,betas,worker_losses,elapsed
1,SpatialMamba,4,1.5864789485931396,0.9513255264407581,0.0009200362473174464,0.7996375268255359,"[0.7990563895883873, 0.7854401479070984, 0.8737228550613891, 0.7403307147452688]","[2.234197269692362, 1.614653447383925, 1.614653447383925, 1.312773054702664]","[0.25, 0.25, 0.25, 0.25]","[0.8324387402253696, 0.884842398544974, 0.8426124519281306, 0.9501107370811119]","[1.0872523784637451, 0.2341102957725525, 0.18066003918647766, 0.35962820053100586]",142.81093835830688
2,SpatialMamba,4,1.586474061012268,0.9513258215295457,0.0009193220775317256,0.8067792246827439,"[0.7538999968392888, 0.7994550919377346, 0.8511570204636648, 0.8226047894902875]","[2.617109463144427, 1.6146534473839251, 2.279793132339144, 2.279793132339145]","[0.2500914449424624, 0.2504611231011725, 0.24972371597818252, 0.24972371597818252]","[0.8303462402758347, 0.9111514380686322, 0.8716705277781134, 0.868821175914413]","[0.11804239451885223, 0.3689381182193756, 2.9020767211914062, 2.8858883380889893]",142.29874777793884
3,SpatialMamba,4,1.5864695310592651,0.9513261018638941,0.0009254289310205167,0.7457106897948332,"[0.7227966841884522, 0.7457274928812707, 0.7975404500743164, 0.7167781320352938]","[2.2341972696923627, 2.393782788956101, 1.8164851283069159, 1.9462340660431239]","[0.24985997130922655, 0.24985997130922655, 0.25017901788464014, 0.2501010394969068]","[0.8544115559895029, 0.8393419727608911, 0.8855400011646914, 0.8955701550958872]","[0.9648038148880005, 1.041229486465454, 1.442344069480896, 0.42835792899131775]",142.20135521888733
4,SpatialMamba,4,1.5864654779434204,0.9513263556402516,0.0009234410508510492,0.7655894914895083,"[0.819244416922174, 0.7406789135849791, 0.7953966871229475, 0.7070379483279323]","[2.56476727388154, 2.0852507850462048, 2.0852507850462056, 1.8164851283069166]","[0.24994377294883255, 0.24994377294883255, 0.24994377294883255, 0.2501686811535023]","[0.8229183737696576, 0.9027746815982, 0.8639674475028191, 0.9056911910861817]","[0.05035916343331337, 0.16339656710624695, 0.3403518795967102, 0.14924444258213043]",142.19934463500977
5,SpatialMamba,4,1.5864609479904175,0.9513266300728241,0.0009233653093587799,0.7663469064122005,"[0.7026440027823803, 0.8121145298031286, 0.8415499263932089, 0.7090791666700845]","[2.0852507850462043, 1.8164851283069159, 1.946234066043125, 2.234197269692363]","[0.2501832589006255, 0.24993891369979154, 0.24993891369979154, 0.24993891369979154]","[0.8650117801910578, 0.871880459122945, 0.8587044985374627, 0.8675466484760223]","[0.5038526058197021, 1.8024394512176514, 2.243541955947876, 0.6676313281059265]",142.14952754974365
6,SpatialMamba,4,1.586456060409546,0.9513269310633876,0.0009261429371295125,0.7385706287048752,"[0.7141080211378206, 0.6795802251246512, 0.8022958269441994, 0.7582984416128297]","[2.085250785046204, 2.2797931323391447, 1.9462340660431245, 2.0264827843014612]","[0.24991335058187186, 0.24991335058187186, 0.24991335058187186, 0.2502599482543844]","[0.8852964739463625, 0.8609280102292541, 0.8788969705460837, 0.8435938441764705]","[2.9337894916534424, 0.6866533756256104, 0.26081493496894836, 0.42696401476860046]",143.20628762245178
7,SpatialMamba,4,1.5864506959915161,0.9513272615628299,0.0009210398737821798,0.7896012621782023,"[0.8078379169730258, 0.781860234199121, 0.7969750333849172, 0.7717318641557449]","[1.8164851283069159, 1.7299858364827767, 2.0852507850462056, 2.2341972696923613]","[0.24996119639234465, 0.25011641082296604, 0.24996119639234465, 0.24996119639234465]","[0.8816959206847065, 0.8775686074548271, 0.8789712907331496, 0.834876382067304]","[0.472109854221344, 0.07260154187679291, 2.612553119659424, 4.415743350982666]",142.735769033432
8,SpatialMamba,4,1.5864458084106445,0.9513275625533933,0.0009191111106562662,0.8088888934373384,"[0.8058703711021881, 0.8371238911677138, 0.852900192954489, 0.7396611185249626]","[2.2341972696923627, 2.8040458533690287, 2.279793132339147, 2.0852507850462043]","[0.25, 0.25, 0.25, 0.25]","[0.889755258911271, 0.828168460992984, 0.870499672819217, 0.897836801962192]","[1.4991991519927979, 1.134736180305481, 3.560903787612915, 0.9182527661323547]",142.73248553276062
9,SpatialMamba,4,1.5864403247833252,0.9513278930528356,0.0009223901204981601,0.7760987950183998,"[0.7476324590132868, 0.7990480224507901, 0.8029350679149613, 0.7547796306945611]","[1.582360378436247, 2.5647672738815377, 2.3937827889561025, 2.0852507850462043]","[0.2501687604845417, 0.24994374650515278, 0.24994374650515278, 0.24994374650515278]","[0.9405703752450393, 0.8324040247559515, 0.8408631197722208, 0.8915287871424972]","[0.11260698735713959, 1.9737977981567383, 1.7622073888778687, 1.1539226770401]",143.01710152626038
10,SpatialMamba,4,1.5864362716674805,0.951328149780081,0.000921705562939091,0.78294437060909,"[0.7457556863812117, 0.7919803021304191, 0.7953451260556679, 0.7986963678690608]","[1.946234066043125, 1.6953861197531221, 2.234197269692362, 1.6953861197531215]","[0.24984889586264272, 0.24985976751593042, 0.2504424407587841, 0.24984889586264272]","[0.8802410597044383, 0.8657988021509667, 0.8388396046852241, 0.8864864427870179]","[1.6240818500518799, 2.808420181274414, 0.12962192296981812, 0.8924378752708435]",143.58359956741333
