round,arch,n_workers,rmse,r2,gamma,mean_uncertainty,worker_uncertainties,worker_angle_scales,alphas,betas,worker_losses,time_r2,time_rmse,elapsed
1,SpatialMamba,8,1.5826746225357056,0.9515586878954957,0.7824574307661446,0.7946184615747693,"[0.7785472890066788, 0.7877943788352079, 0.7506511839151372, 0.7771988149867525, 0.758141311945385, 0.8475009339061418, 0.8227615215264902, 0.8343522584763621]","[2.1278069235165358, 1.8535562533744052, 2.0852507850462056, 1.695386119753121, 1.9462340660431252, 2.085250785046205, 1.695386119753122, 1.946234066043125]","[0.12480083060132825, 0.12474920249964842, 0.12474920249964842, 0.12474920249964842, 0.12562573800588134, 0.12474920249964842, 0.12524883852878735, 0.1253277828654093]","[0.9294254699409539, 0.939138051310606, 0.9273318022424941, 0.9407228116703361, 0.9388099674049145, 0.9252521312742876, 0.9339854441186065, 0.926370355285413]","[0.9428353309631348, 0.35518375039100647, 0.3377000391483307, 0.5515981912612915, 0.6271228790283203, 2.2332277297973633, 0.05330723151564598, 0.337100625038147]",0.9515586878954957,1.5826746225357056,285.2900912761688
2,SpatialMamba,8,1.5789616107940674,0.9517857056016729,0.7847614129978872,0.7675127882601505,"[0.7297363086211506, 0.7246819527122011, 0.6968366520144376, 0.791396249725147, 0.8178840411769123, 0.7289161034533247, 0.8335774904207662, 0.8170735079572643]","[2.3937827889561025, 2.2341972696923627, 2.0852507850462056, 1.9462340660431248, 2.393782788956101, 1.9859531286154335, 1.8164851283069168, 2.2797931323391456]","[0.12481261896771688, 0.12481261896771688, 0.12481261896771688, 0.12495829031420554, 0.1253967576753888, 0.12481261896771688, 0.12558185717182116, 0.12481261896771688]","[0.9252067237876939, 0.9431864781493572, 0.9464541219218405, 0.9389943524172588, 0.9258172823588935, 0.938828604755102, 0.9285402695190397, 0.9219281245956842]","[0.8377578258514404, 1.256019949913025, 1.4465457201004028, 0.5803651809692383, 2.9986495971679688, 2.477849245071411, 0.0581660121679306, 2.3777382373809814]",0.9517857056016729,1.5789616107940674,285.66903042793274
3,SpatialMamba,8,1.5753024816513062,0.9520089196133761,0.7835769381668211,0.7814477862726937,"[0.7231384630942447, 0.7650510356736653, 0.7147963216169522, 0.742783599411608, 0.8010148861552102, 0.8729485788980937, 0.7965365999999198, 0.8353128053318565]","[2.127806923516534, 1.5823603784362466, 2.085250785046206, 1.8535562533744039, 2.0852507850462048, 2.234197269692363, 2.0852507850462043, 1.9462340660431259]","[0.12496121216758514, 0.12475296993245573, 0.12475296993245573, 0.12475296993245573, 0.12475296993245573, 0.12552441429858086, 0.12574952387155536, 0.12475296993245573]","[0.9337418635437845, 0.9594943503023328, 0.9399662251792522, 0.9391966848115846, 0.9337351722269324, 0.9198416446813545, 0.9204562993224065, 0.9252387421976194]","[0.8554604649543762, 1.2960315942764282, 3.5229148864746094, 0.6929489970207214, 2.3647990226745605, 0.2003210186958313, -0.015005462802946568, 1.4013596773147583]",0.9520089196133761,1.5753024816513062,286.70738077163696
4,SpatialMamba,8,1.571937918663025,0.9522136994285098,0.7843723937371643,0.7720894854451255,"[0.822182022442538, 0.7067769324170221, 0.754062887059159, 0.7901059550641986, 0.7660819556752742, 0.7698803395183126, 0.8040833384432798, 0.7635424529412189]","[2.2341972696923627, 2.1278069235165353, 2.0852507850462056, 2.393782788956101, 1.8164851283069163, 2.1278069235165358, 1.8164851283069159, 2.5647672738815377]","[0.12477021657623164, 0.12522365516850073, 0.1253876538459455, 0.12477021657623164, 0.1253148896286971, 0.12477021657623164, 0.12499293505193013, 0.12477021657623164]","[0.9276134671815843, 0.9284480454125096, 0.9348098782540122, 0.9234264050660044, 0.9452204703434393, 0.9301986265045113, 0.9530228077682351, 0.9266578132489954]","[0.4030723571777344, 0.09804289788007736, 0.2688949704170227, 5.165779113769531, 0.3634151220321655, 0.538536548614502, 2.349383592605591, 1.983953833580017]",0.9522136994285098,1.571937918663025,286.8222632408142
5,SpatialMamba,8,1.568490982055664,0.9524230354145261,0.7862357592019639,0.7501675388004243,"[0.733690924682866, 0.7167815924271025, 0.7293899974377783, 0.7712875608324774, 0.797535505789312, 0.74576789444374, 0.7554766607172515, 0.7514101740728666]","[1.6146534473839254, 2.2341972696923627, 1.695386119753121, 1.8164851283069154, 1.8164851283069172, 1.9462340660431243, 1.582360378436246, 2.234197269692362]","[0.1256378622911654, 0.12523480339947754, 0.12464891739662955, 0.12536169917454767, 0.12502311627038726, 0.12474485353647227, 0.12469983053469078, 0.12464891739662955]","[0.9538150504776544, 0.9263206625982728, 0.9419049502384417, 0.9277270677829474, 0.9286799331250518, 0.9278570435017596, 0.9390747230311242, 0.9196936407973811]","[0.07261740416288376, 1.056231141090393, 1.8248085975646973, 0.624870777130127, 0.9169731140136719, 0.9970359206199646, 0.7045567631721497, 0.1471071094274521]",0.9524230354145261,1.568490982055664,286.6380617618561
6,SpatialMamba,8,1.5649694204330444,0.9526364377240373,0.783396803382065,0.7835670190345303,"[0.788575364459289, 0.721676608985557, 0.7405964343673144, 0.7554681507904702, 0.8102780114056854, 0.8522249111175618, 0.809930431915507, 0.7897862392348578]","[1.8164851283069166, 2.6171094631444265, 2.7479649363016474, 2.3937827889561025, 1.816485128306915, 2.2341972696923618, 1.9859531286154335, 1.8164851283069166]","[0.12490206948474397, 0.12490206948474397, 0.12490206948474397, 0.1256855136067921, 0.12490206948474397, 0.12490206948474397, 0.12490206948474397, 0.12490206948474397]","[0.9610077443489387, 0.9264766493409781, 0.928812922461856, 0.9293100101413779, 0.9449717759935189, 0.9145419701665833, 0.9328781074865548, 0.9389646096933569]","[1.9938329458236694, 1.679412841796875, 0.3542402684688568, 0.529697597026825, 0.8359513878822327, 0.8426508903503418, 2.3725526332855225, 0.2966881990432739]",0.9526364377240373,1.5649694204330444,286.35444021224976
7,SpatialMamba,8,1.561646819114685,0.9528373371216123,0.784659881866578,0.7687072721579057,"[0.7708854747544965, 0.7198117543177689, 0.7151539042644285, 0.7265904164531757, 0.8081279671430945, 0.8109429988893256, 0.778490796246559, 0.8196548651943969]","[2.2341972696923613, 1.476869686540497, 1.8164851283069163, 1.9859531286154335, 2.026482784301463, 1.9462340660431245, 1.5823603784362463, 2.3937827889561025]","[0.12507764832422488, 0.12485544009725509, 0.12485544009725509, 0.12485544009725509, 0.12485544009725509, 0.12485544009725509, 0.12578971109224454, 0.12485544009725509]","[0.9203111681267218, 0.9681486219639814, 0.9440254340218015, 0.9300789442695545, 0.9282735566624998, 0.9252146503025573, 0.9486097394763525, 0.9183157070527809]","[0.09993493556976318, 1.171039342880249, 1.5137052536010742, 0.6027621030807495, 0.7829537391662598, 0.46609339118003845, -0.03515106812119484, 1.614925742149353]",0.9528373371216123,1.561646819114685,285.4100453853607
8,SpatialMamba,8,1.5584654808044434,0.9530293041815828,0.7823499581233332,0.7958828456078446,"[0.8372238179999849, 0.7990292719069625, 0.7627856025251031, 0.7428375680652715, 0.8161261586578347, 0.817517893809531, 0.806352244055585, 0.7851902078424838]","[2.747964936301649, 2.085250785046205, 2.0852507850462048, 1.8164851283069168, 2.2341972696923618, 1.946234066043124, 2.085250785046206, 2.234197269692362]","[0.12482051447645252, 0.12482051447645252, 0.12542783741338476, 0.12482051447645252, 0.1252874912996378, 0.12482051447645252, 0.12518209890471488, 0.12482051447645252]","[0.9174704430519522, 0.9447072895059834, 0.9390455852404415, 0.9628486436117671, 0.9156978921499622, 0.9443922676284217, 0.935197586113929, 0.9307762970044902]","[2.529428243637085, 1.7428398132324219, 0.2603682577610016, 1.0723763704299927, 0.1387401670217514, 0.6537047028541565, 0.413464218378067, 0.7231619954109192]",0.9530293041815828,1.5584654808044434,287.01555848121643
9,SpatialMamba,8,1.5551731586456299,0.9532275477800682,0.7858600329238136,0.7545878479551336,"[0.7385902238413942, 0.7068564502912588, 0.737919550993191, 0.7248424774007901, 0.7917057524298075, 0.7620390378693591, 0.8104430892915779, 0.7643062015236894]","[2.234197269692362, 2.5647672738815386, 1.9859531286154333, 2.3937827889561016, 2.234197269692362, 1.3784117074377968, 1.8164851283069159, 2.0852507850462048]","[0.1253175429512783, 0.12473173310689889, 0.12486969100044551, 0.12453514688840897, 0.1250609670953134, 0.12551021894578884, 0.1254395531234571, 0.12453514688840897]","[0.9246054913906979, 0.9238609736779682, 0.9477161619395901, 0.9252043011659244, 0.918510501626971, 0.9638084043376933, 0.9370679943568105, 0.9404332704536508]","[0.0992795005440712, 0.8254544734954834, 0.31674787402153015, 0.434777170419693, 0.03617515042424202, 0.10789614170789719, -0.0031735810916870832, 0.6673385500907898]",0.9532275477800682,1.5551731586456299,286.44429564476013
10,SpatialMamba,8,1.5519378185272217,0.9534219552243133,0.7856801713645778,0.7567038662990844,"[0.7812946348016776, 0.6918067690364894, 0.6597094314722507, 0.7533952838008494, 0.7589766482641211, 0.8035781178621559, 0.8159950460575698, 0.788874999097561]","[2.0852507850462043, 1.8164851283069166, 1.5823603784362468, 2.2341972696923627, 1.8164851283069163, 1.9462340660431243, 1.9462340660431248, 1.6953861197531208]","[0.12482513344324586, 0.12474004265586323, 0.12536466309316494, 0.12474004265586323, 0.12538067312612985, 0.12474004265586323, 0.12546935971400647, 0.12474004265586323]","[0.9235220286758289, 0.9428704408728855, 0.9706940459605264, 0.9268934365947029, 0.9305085935256049, 0.9271483514471428, 0.9208196533280756, 0.9420490146250211]","[0.9568706154823303, 0.7560998797416687, 0.5363463759422302, 4.34236478805542, 0.15581457316875458, 4.146655082702637, -0.13546301424503326, 1.9978532791137695]",0.9534219552243133,1.5519378185272217,286.4799931049347
