round,arch,n_workers,rmse,r2,gamma,mean_uncertainty,compression_ratio,compute_time,agg_time,elapsed
1,SpatialMamba,8,1.5835002660751343,0.9515081273826059,0.792630081744941,0.674940214765401,0.09999789245181619,489.0271987915039,0.04438638687133789,490.0942096710205
2,SpatialMamba,8,1.5800751447677612,0.9517176817343251,0.7892567514939814,0.714626453011983,0.09999789245181619,486.27980613708496,0.07243537902832031,487.33517599105835
3,SpatialMamba,8,1.5774370431900024,0.9518787707035474,0.784859394952089,0.7663600593871871,0.09999789245181619,477.42070722579956,0.04829740524291992,478.45528388023376
4,SpatialMamba,8,1.574558138847351,0.9520542541038352,0.7876873119618721,0.7330904475073858,0.09999789245181619,480.857782125473,0.04479074478149414,481.87766790390015
5,SpatialMamba,8,1.5715384483337402,0.9522379822848521,0.7850237058259976,0.7644269902823821,0.09999789245181619,475.14414858818054,0.03956866264343262,476.1113362312317
6,SpatialMamba,8,1.5681252479553223,0.9524452231404755,0.7937919141192983,0.6612715985964908,0.09999789245181619,481.74860858917236,0.04112386703491211,482.7613732814789
7,SpatialMamba,8,1.565251350402832,0.9526193727394429,0.7839403613079154,0.7771722199068765,0.09999789245181619,478.7115559577942,0.04866814613342285,479.73472571372986
8,SpatialMamba,8,1.5619972944259644,0.9528161674519806,0.7942000901987825,0.6564695270731464,0.09999789245181619,479.6395733356476,0.05106806755065918,480.69902062416077
9,SpatialMamba,8,1.5591027736663818,0.9529908806705324,0.788200905207533,0.7270481740290224,0.09999789245181619,476.09918689727783,0.04761648178100586,477.1219048500061
10,SpatialMamba,8,1.556218147277832,0.9531646702611786,0.785368148757513,0.7603747204998468,0.09999789245181619,476.319367647171,0.05534052848815918,477.40222907066345
11,SpatialMamba,8,1.5533115863800049,0.9533394543010395,0.7888502829883095,0.7194084354316534,0.09999789245181619,474.6084485054016,0.04906058311462402,475.6159279346466
12,SpatialMamba,8,1.5500643253326416,0.9535343486417842,0.7842226112719223,0.7738516320950318,0.09999789245181619,473.3045997619629,0.043631553649902344,474.3560264110565
13,SpatialMamba,8,1.5472875833511353,0.9537006724861008,0.7846250063386299,0.7691175724867068,0.09999789245181619,472.36544585227966,0.0472259521484375,473.3745150566101
14,SpatialMamba,8,1.5440659523010254,0.9538932651343013,0.7946707179715345,0.6509327297466523,0.09999789245181619,473.3955707550049,0.0472111701965332,474.3792004585266
15,SpatialMamba,8,1.5410104990005493,0.9540755680364735,0.7931057732073709,0.6693438446191662,0.09999789245181619,473.7430348396301,0.05587935447692871,474.7879729270935
16,SpatialMamba,8,1.5384283065795898,0.9542293388037602,0.7898604951891512,0.707523586009985,0.09999789245181619,474.13749170303345,0.0426630973815918,475.0901572704315
17,SpatialMamba,8,1.5355621576309204,0.9543997289715717,0.7872379801859621,0.7383767036945632,0.09999789245181619,479.1441822052002,0.048766136169433594,480.1156792640686
18,SpatialMamba,8,1.532823920249939,0.954562210759872,0.7901986385338051,0.703545429014057,0.09999789245181619,476.2787752151489,0.08286619186401367,477.3248944282532
19,SpatialMamba,8,1.529918909072876,0.9547342799828857,0.7833979183781017,0.7835539014340971,0.09999789245181619,479.64155101776123,0.050101518630981445,480.6199462413788
20,SpatialMamba,8,1.5267032384872437,0.9549243643763905,0.7866159233458155,0.7456950194609931,0.09999789245181619,481.05760765075684,0.05282759666442871,482.1158289909363
21,SpatialMamba,8,1.5221890211105347,0.9551905285611481,0.7884638464754257,0.7239547473479339,0.09999789245181619,482.29696702957153,0.04164910316467285,483.2847707271576
22,SpatialMamba,8,1.519553780555725,0.9553455446031188,0.789704684846606,0.709356648863458,0.09999789245181619,475.74350476264954,0.05775785446166992,476.77329778671265
23,SpatialMamba,8,1.516574740409851,0.9555204584820463,0.7930263037626024,0.6702787792635013,0.09999789245181619,479.5579528808594,0.047812700271606445,480.53146409988403
24,SpatialMamba,8,1.5133919715881348,0.9557069604976679,0.7823082336884006,0.796373721312934,0.09999789245181619,478.27431988716125,0.03614616394042969,479.33232045173645
