round,rmse,r2,gamma,U,alphas,betas,consensus,stability,progress,worker_losses,elapsed
1,1.9963431358337402,0.017414350101646714,0.7585167443662881,1.0762735956907272,"[0.5001560440881612, 0.4998439559118389]","[0.6223452608896018, 0.5942263397102118]","[0.26144116410723045, 0.26144116410723045]","[0.057394995465622344, 0.1338752857121348]","[0.7984297429254285, 0.32446934732978133]","[2.4650816917419434, 1.1276546716690063]",67.85309314727783
2,1.9807695150375366,0.03268495570946628,0.763030265571177,1.023173346221447,"[0.5013785924339159, 0.4986214075660841]","[0.6162377032923363, 0.644718362374907]","[0.20642119352467692, 0.20642119352467692]","[0.1304984910736965, 0.16531747771008762]","[0.20470949889787043, 0.0]","[2.4265832901000977, 1.2323607206344604]",62.32442498207092
3,1.8722124099731445,0.13580800440125307,0.768140049944818,0.9630582359433173,"[0.5, 0.5]","[0.613660205215121, 0.5827296982936956]","[0.2861415336584906, 0.2861415336584906]","[0.10192412693906051, 0.19147500606341042]","[0.0, 0.0]","[2.446711301803589, 0.8959892392158508]",61.99671506881714
4,1.6610864400863647,0.3197250601790137,0.7735989077553153,0.8988363793492318,"[0.49980822435373373, 0.5001917756462663]","[0.551346541918484, 0.6238324328822099]","[0.3197423737564689, 0.3197423737564689]","[0.08662788369236912, 0.20097317216744412]","[0.0, 0.011937705114210911]","[2.375598430633545, 0.7983818650245667]",62.156938314437866
5,1.3412011861801147,0.5565058604987543,0.779367870092392,0.8309662342071533,"[0.4983062892510485, 0.5016937107489515]","[0.5400075820807582, 0.6486825864233232]","[0.31627044060097215, 0.31627044060097215]","[0.09003321597443409, 0.17084907196121293]","[0.0, 0.1253805901126748]","[2.2022547721862793, 0.7420769929885864]",61.804171323776245
6,1.0943193435668945,0.704751149350869,0.7841167417511344,0.7750971558690072,"[0.49933328781928077, 0.5006667121807192]","[0.5898394244021947, 0.6570248925554041]","[0.23074547933651732, 0.23074547933651732]","[0.11571034669713574, 0.10400156966067754]","[0.0, 0.1111289399360257]","[1.804891586303711, 0.6147438287734985]",60.894120931625366
7,0.9794783592224121,0.7634681131549786,0.7862993683442473,0.7494191959500313,"[0.5, 0.5]","[0.5967199560412072, 0.6789645487919318]","[0.19804420974939418, 0.19804420974939418]","[0.08852337794902533, 0.11939921826829193]","[0.0, 0.0]","[1.7080963850021362, 0.5951275825500488]",61.68441820144653
8,0.9037425518035889,0.7986324600024847,0.7879531959325075,0.7299624007940293,"[0.5, 0.5]","[0.6536482757876523, 0.6536877457484868]","[0.1454364682571447, 0.1454364682571447]","[0.17663689836970714, -0.010643821256530234]","[0.0, 0.0]","[1.5918147563934326, 0.6567906737327576]",61.83371114730835
9,0.8792917132377625,0.8093810904610971,0.7889371946528554,0.7183859452605248,"[0.4999615491405872, 0.5000384508594128]","[0.6103349403400309, 0.6879020846491645]","[0.16746392205541472, 0.16746392205541472]","[0.15021758770029936, 0.09172942398619933]","[0.0, 0.010013003194355394]","[1.585098147392273, 0.6721986532211304]",61.69876718521118
10,0.8296898603439331,0.8302805677898253,0.7900932727128267,0.7047850269079208,"[0.5, 0.5]","[0.6288862804385877, 0.6674758866980082]","[0.16224113338057566, 0.16224113338057566]","[0.219125423665403, 0.1288678301291774]","[0.0, 0.0]","[1.6228699684143066, 0.6750491857528687]",61.20987558364868
