round,arch,n_workers,rmse,r2,gamma,U,alphas,betas,consensus,stability,progress,worker_losses,elapsed
1,DeepESN,4,2.4921963214874268,0.04948616205015677,0.7748023506790399,0.8846782273054122,"[0.251577907970937, 0.2483230942089994, 0.2529990781899903, 0.24709991963007324]","[0.6338292938881812, 0.6228150182818015, 0.631518589170312, 0.6255769340893563]","[0.4754127540095989, 0.49341135699186567, 0.47998678435355097, 0.46268755531039013]","[0.08360408739435084, 0.015327046780883627, 0.07751824685023448, 0.28497765845075756]","[0.45186267774497735, 0.6529447026303856, 0.634090413551951, 0.0]","[0.4459518790245056, 1.147528886795044, 0.8825315833091736, 1.3166470527648926]",19.965285539627075
2,DeepESN,4,2.4900035858154297,0.05115800194707654,0.7800065497770905,0.8234523555636406,"[0.24942743519890037, 0.25006859351031485, 0.24610831046721063, 0.2543956608235741]","[0.7214692292786529, 0.7397203085950342, 0.7753230565656383, 0.7599171409007306]","[0.28196996678388125, 0.24809011396501832, 0.24141780549102243, 0.24162390097058595]","[0.0987654697168565, 0.06789462917299435, 0.07446715787470784, 0.14474744656173086]","[0.481035816017554, 0.9477292672296024, 0.0, 0.9469503091893091]","[0.4486231505870819, 0.1212816834449768, 0.8439667224884033, 0.1114751398563385]",20.085373878479004
3,DeepESN,4,2.4774487018585205,0.060702272389597245,0.7842129426330329,0.7739653807878494,"[0.2480811608361227, 0.24753418661829887, 0.24753418661829887, 0.2568504659272796]","[0.7791492427185764, 0.8074410664533216, 0.7964102390695853, 0.8045582858890757]","[0.15500710987448663, 0.16914045638045413, 0.17430414266111613, 0.1336972631013107]","[0.06818040453265563, 0.0029681878860632186, 0.04891315965537751, 0.2019288002643653]","[0.2088541245984192, 0.0, 0.0, 1.3684828655254875]","[0.5256019830703735, 0.988479495048523, 0.7906989455223083, -0.18797564506530762]",20.65782928466797
4,DeepESN,4,2.4602105617523193,0.07372808963771937,0.7880368465945125,0.7289782753586769,"[0.24964272489914124, 0.24964272489914124, 0.2510718253025762, 0.24964272489914124]","[0.7911226341625089, 0.7497727732892677, 0.8127486175603397, 0.8164211282695539]","[0.16879390278800152, 0.201391393636422, 0.13665393392489822, 0.14404780544192322]","[0.07572125870144145, 0.041850378970019655, 0.08208764334763585, 0.07426372571622382]","[0.0, 0.0, 0.5088672951653804, 0.0]","[0.8830971121788025, 0.9560258984565735, 0.4299720525741577, 1.0382251739501953]",20.205896377563477
5,DeepESN,4,2.4282588958740234,0.09763145221040004,0.7929954443767667,0.6706418308615685,"[0.24970008418676318, 0.2506622416780401, 0.2499375899484336, 0.24970008418676318]","[0.8185387995890345, 0.8087931303578674, 0.8573281028149254, 0.8465144797570485]","[0.0755532947078662, 0.1128295954743432, 0.062472957135951794, 0.05391131060815361]","[0.14797062325595303, 0.03481494142463465, 0.10956725985331375, 0.12743094390820806]","[0.0, 0.9790492144315288, 0.1388931104667454, 0.0]","[0.1956581175327301, 0.028150780126452446, 0.6910344362258911, 1.5615241527557373]",20.456313371658325
6,DeepESN,4,2.415754556655884,0.10690104722885507,0.7927972151190043,0.6729739397764206,"[0.2500491232317899, 0.24921079912595098, 0.24921079912595098, 0.2515292785163082]","[0.804201154324858, 0.8456572974465862, 0.814372647930989, 0.8440172412361246]","[0.10467348234538533, 0.06677310380800895, 0.11078574242944461, 0.07000122767241548]","[0.0664986489060752, 0.04292795857252512, 0.10268030325433176, 0.11167071425880143]","[0.48246682067728053, 0.0, 0.0, 1.1846212118057662]","[0.34356850385665894, 0.9647605419158936, 1.0479764938354492, -0.592708945274353]",20.1612331867218
7,DeepESN,4,2.3940420150756836,0.1228830345986427,0.7961983783505856,0.6329602546989918,"[0.24982087439273729, 0.25048111062581674, 0.24987714058870855, 0.24982087439273729]","[0.8372305646830076, 0.8106552675298141, 0.8175306919120547, 0.8800517796490533]","[0.06228543997210393, 0.08558557687919366, 0.09531102228244243, 0.027410747628172052]","[-0.03352363946601943, 0.09476213221738242, 0.08059869556734309, 0.06814990809640038]","[0.0, 0.3254345176512106, 0.029316901730084194, 0.0]","[0.6832175254821777, 0.32534340023994446, 0.8292021155357361, 2.3566837310791016]",20.068460702896118
8,DeepESN,4,2.3797101974487305,0.13335320594355093,0.7987764324605465,0.6026302063465119,"[0.25, 0.25, 0.25, 0.25]","[0.8607713911195864, 0.7948822393930719, 0.8513493348468261, 0.8447080485996389]","[0.07347299547934069, 0.08896309499962966, 0.06979250659805795, 0.05257266052647819]","[-0.04312054795606477, 0.09746110126086377, 0.07643178302154702, 0.0369970814700534]","[0.42570076134962415, 0.0, 0.0, 0.0]","[0.7818137407302856, 2.263537645339966, 0.7397863864898682, -0.26693373918533325]",19.956111431121826
9,DeepESN,4,2.3627424240112305,0.14566789343814124,0.8049635035634041,0.5298411345481873,"[0.25, 0.25, 0.25, 0.25]","[0.8212388546710946, 0.8006713519392327, 0.8455181108659422, 0.8824239007546038]","[0.07763358391350429, 0.0939642562632248, 0.06476258941624322, 0.02869494771422126]","[-0.00809605812622989, 0.04137526765638671, 0.05157104250938663, 0.08503767847905568]","[0.3753015046831954, 0.0, 0.0, 0.0]","[0.6541868448257446, 0.6147472858428955, 1.2546236515045166, 0.38944345712661743]",20.29578924179077
10,DeepESN,4,2.3527743816375732,0.15286138810784378,0.7998477497607469,0.590026473402977,"[0.24977016517269454, 0.24977016517269454, 0.24977016517269454, 0.25068950448191635]","[0.8293333720843774, 0.8230189021280453, 0.8199207213062392, 0.8695719640744276]","[0.09055800963797717, 0.09695509589168427, 0.0649555647981832, 0.03059611289914087]","[0.07497721538406263, -0.017756545525076533, 0.09585285647908191, 0.05574897020575857]","[0.0, 0.08658213253835548, 0.0, 2.1539484597576335]","[1.4427528381347656, 0.09802041947841644, 0.8221359252929688, -0.27831077575683594]",19.922770500183105
11,DeepESN,4,2.366894006729126,0.1426630900119653,0.8006952172346413,0.5800562678277492,"[0.2498754318241416, 0.2498754318241416, 0.2501033144497381, 0.25014582190197865]","[0.8646454198629914, 0.8365192310093692, 0.8295446255941175, 0.8622073522903705]","[0.013714621296169937, 0.0693891122591815, 0.0507781359459003, 0.0314287039023859]","[0.12591693008067292, 0.0704656256747658, 0.12919230253753972, 0.05572306844312286]","[0.0, 0.0, 0.1389572046149772, 0.617553866348922]","[3.115492820739746, 1.5697836875915527, -0.18886765837669373, 0.508492112159729]",20.306432962417603
