round,arch,n_workers,rmse,r2,gamma,U,alphas,betas,consensus,stability,progress,worker_losses,elapsed
1,GAT,8,2.525519609451294,0.023897446869828087,0.7572419793583453,1.091270831078291,"[0.12523422696328276, 0.12401420799821758, 0.1266165590898208, 0.12401420799821758, 0.12671802086086717, 0.12537436109315897, 0.12401420799821758, 0.12401420799821758]","[0.8322326967324384, 0.8039791336674944, 0.7826730426165502, 0.8785412036939407, 0.8519767253240073, 0.7701516945464303, 0.8142604820953726, 0.8572694876320524]","[0.22425874979777366, 0.246870337456038, 0.2585927256790624, 0.17268286151260206, 0.19362800764989277, 0.27287825995469855, 0.23412389800842817, 0.1888331153181768]","[0.04571720693009225, 0.11439002266824848, 0.12590715967940194, -0.022358136680344847, 0.12490076701812397, 0.04562947504653249, 0.18801400963831433, 0.1380289000514756]","[0.9548583785848878, 0.0, 0.6378382903257033, 0.4734907898031429, 0.8918261827799501, 0.8760553399925898, 0.0, 0.0]","[0.1417047679424286, 0.3532772660255432, 0.601925253868103, 1.729454755783081, 0.05196934565901756, 0.4160292148590088, 3.9598708152770996, 0.32975679636001587]",42.4205904006958
2,GAT,8,2.4925804138183594,0.049193116811967474,0.7657710449106991,0.9909288834035396,"[0.12451084165056471, 0.12360929108287208, 0.12539683087764986, 0.12360929108287208, 0.12360929108287208, 0.12360929108287208, 0.12846661564489245, 0.12718854749540473]","[0.8423089057317984, 0.7612256085877697, 0.8142295622745407, 0.822985223272591, 0.7840909734663991, 0.8368289797898704, 0.7957551970555612, 0.8529877859732566]","[0.21522204972539233, 0.2914265973950469, 0.2435857317378223, 0.23500924991286323, 0.27351188627921547, 0.20881743178108653, 0.2585520697956839, 0.2145708361167043]","[0.036301145968914164, 0.10214436516425125, 0.0796117828398499, -0.008043951495820724, -0.009189913689604295, 0.05568771434523993, 0.1195791288854815, 0.07742739560989088]","[0.9301510753283643, 0.0, 0.7403792826024272, 0.0, 0.5813908844631791, 0.0, 1.246654905914318, 1.7181588478675351]","[0.10437003523111343, 0.9085703492164612, 0.37134280800819397, 0.9784377217292786, 0.2504870295524597, 2.290578842163086, -0.2581428289413452, -0.2135627567768097]",43.16138982772827
3,GAT,8,2.39047908782959,0.12549198409809326,0.7799047642651945,0.824649832174182,"[0.124164469747548, 0.12450021094500574, 0.124164469747548, 0.1250861139852154, 0.12481063379057375, 0.12457111110214567, 0.12669124989137, 0.12601174079059344]","[0.798707016879862, 0.7671655431591495, 0.8605300303316781, 0.7950934786457444, 0.7239590835864879, 0.794127413011387, 0.7825577586265133, 0.797226990139712]","[0.28130184219802784, 0.303462846207013, 0.223776697593486, 0.2790635815087557, 0.34411548295480504, 0.28548964864473925, 0.29689803434357215, 0.2810761688078266]","[-0.010707084640187502, 0.054720627341724365, 0.0902846331188817, 0.0866416777691926, 0.0416141170587685, 0.0087027120678385, 0.13802633188630398, 0.11216093237820134]","[0.0, 0.16261694733388168, 0.0, 0.3058649220677107, 0.3624714249060826, 1.3160135441115703, 0.49160815485837556, 0.46844343746281886]","[1.4209150075912476, 0.39430204033851624, 2.064178943634033, 0.31459400057792664, 1.0288610458374023, -0.451889306306839, 0.473482221364975, 0.5932048559188843]",41.66925096511841
4,GAT,8,2.0592517852783203,0.3510476460671105,0.7875802623156458,0.7343498551100494,"[0.12498203173971659, 0.12512453094519366, 0.12498203173971659, 0.12498203173971659, 0.12498327861650681, 0.12498203173971659, 0.12498203173971659, 0.12498203173971659]","[0.7846609851243662, 0.7061410646836, 0.7539625548986647, 0.7205398131175675, 0.7540559754787194, 0.7563827829145281, 0.7720467219789608, 0.8022392436361148]","[0.3318348935848507, 0.3871276008189044, 0.35570983857590505, 0.38127730754270317, 0.3471887281084189, 0.3416135688658092, 0.3293494224340906, 0.30245637694226085]","[0.0538150542340383, 0.03994850578927005, 0.0663939229852352, -0.00579611320975945, 0.056909321072870826, 0.07273848521911774, 0.024681855531846125, 0.06460839125937269]","[0.0, 0.07368286994477197, 0.0, 0.7137021718224056, 0.0005054286739836424, 0.0, 0.0, 0.0]","[0.6136528849601746, 0.49950653314590454, 3.2651073932647705, 0.6513635516166687, 0.2601964473724365, 0.6312775611877441, 0.8547499775886536, 1.5308200120925903]",42.25778317451477
5,GAT,8,1.572195053100586,0.6217257051735752,0.7950678757619113,0.6462602851539849,"[0.12493723400577073, 0.12493723400577073, 0.12493723400577073, 0.12493723400577073, 0.1254393619596049, 0.12493723400577073, 0.12493723400577073, 0.12493723400577073]","[0.7015481979776532, 0.6928674881513909, 0.655787644005586, 0.6775893826364945, 0.670790877345611, 0.6851124248957273, 0.7414801114885103, 0.7715086971636302]","[0.43958188939352605, 0.4452769510559915, 0.47489328444032664, 0.45935596991995226, 0.4616743332109139, 0.45475307908797646, 0.41566539979387535, 0.39901137136575543]","[0.004145172940921283, 0.12237920651682987, 0.14936892407277402, -0.003228741665752529, 0.027914265212757246, -0.05154695442010769, -0.019880883562610068, -0.02159425216688137]","[0.0, 0.0, 0.0, 0.0, 0.31123641095623283, 0.19575811156905015, 1.245671740798015, 0.0]","[0.5101383328437805, 0.8912751078605652, 3.975278854370117, 0.45562008023262024, 0.3597448766231537, 0.8176485896110535, -0.24169085919857025, 1.1743422746658325]",42.389482736587524
6,GAT,8,1.2109500169754028,0.7755878433925399,0.8000635893445461,0.5874871841818095,"[0.12656731818142444, 0.12350246666316252, 0.12350246666316252, 0.12350246666316252, 0.12505127113142195, 0.12350246666316252, 0.130869077371341, 0.12350246666316252]","[0.7441286234295234, 0.82322390068303, 0.8114982146280851, 0.7599056012510627, 0.7391819332744402, 0.8432675474747515, 0.7898815901585675, 0.7348915507084574]","[0.33711131505235, 0.2656406750476546, 0.2959528371748991, 0.32377875159367153, 0.3376059317206109, 0.24739289821418092, 0.291997869589264, 0.34181320964421963]","[0.0715697721099162, 0.08954328169601315, -0.11940076511724675, 0.12963500607239237, 0.04497098241333592, 0.11753375326670512, 0.13310952105166984, 0.07397626556246258]","[1.0160081085296808, 0.0, 0.0, 0.0, 0.8208613660716302, 0.0, 1.490602745825932, 0.0]","[-0.01686539687216282, 1.1750386953353882, 0.6361954808235168, 0.409424364566803, 0.16750110685825348, 0.49965694546699524, -0.24954700469970703, 1.0577539205551147]",43.2140908241272
7,GAT,8,1.0065184831619263,0.8449622403800399,0.7998544145587831,0.5899480640143155,"[0.1248613775322023, 0.1248613775322023, 0.12597035727458386, 0.1248613775322023, 0.1248613775322023, 0.1248613775322023, 0.1248613775322023, 0.1248613775322023]","[0.8378943577887694, 0.7992344373724185, 0.8574826725448558, 0.8071859800284601, 0.8014681677112727, 0.8135286337144613, 0.8257851942049512, 0.8358445072095657]","[0.2161674236909004, 0.25544685943957157, 0.20482920232147037, 0.2343916740667889, 0.2496940089701926, 0.23645593183428684, 0.217577614839273, 0.21479847444824252]","[0.16216828687421803, 0.0774672532769754, 0.03363591596114844, -0.05438700150166961, 0.1827311511651408, 0.04444192728821646, -0.04330220448693506, -0.03150695758274551]","[0.0, 0.0, 1.2834510668169887, 0.6978404275811335, 0.0, 0.0, 10.248379650742791, 3.5764368684875207]","[0.6202098727226257, 1.4517011642456055, -0.013100300915539265, 0.07242784649133682, 0.8310784697532654, -0.0665387287735939, -0.6963835954666138, -0.5388731360435486]",42.513237714767456
8,GAT,8,0.9040150046348572,0.8749322807699681,0.8019728412028402,0.5650253976136447,"[0.12488073726156086, 0.12544399532125827, 0.12527158110937658, 0.12488073726156086, 0.12488073726156086, 0.12488073726156086, 0.12488073726156086, 0.12488073726156086]","[0.8566498320265559, 0.8799070021301592, 0.8920951777848148, 0.8552582488931108, 0.8597000177791299, 0.868139059049091, 0.8980937433320221, 0.9124954795885927]","[0.14665106929732044, 0.113978048289623, 0.11483969340870649, 0.13737351601202394, 0.13744389603799317, 0.12272909039509725, 0.0966795882735806, 0.0948412879951254]","[-0.07624216573537514, 0.05285417310367019, 0.03028213422731085, 0.09713073916292654, 0.05367140954803077, 0.03585551583602028, 0.23016958781382613, 0.06360785542100221]","[0.0, 0.7470245056373757, 0.89857013937651, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0086629390716553, 0.025255952030420303, 0.10899106413125992, 0.48045748472213745, 0.23361821472644806, -0.22908128798007965, 0.07318862527608871, -0.09387695044279099]",42.85718512535095
9,GAT,8,0.8758318424224854,0.8826088314967464,0.8004862682960927,0.582514490634203,"[0.12280817663862727, 0.12280817663862727, 0.12286980886212881, 0.12280817663862727, 0.12830178027270955, 0.13180176650743872, 0.1256889693946675, 0.12291314504717367]","[0.8862269119818063, 0.8567809032239185, 0.8715356067059471, 0.8610034123025522, 0.8238505133339239, 0.8508617981491128, 0.8642156408771402, 0.9188875236515616]","[0.11447453398337903, 0.14973540634544763, 0.14188534787118764, 0.14133443949280675, 0.18220277469565058, 0.16287230272616374, 0.15339273794642336, 0.08209536536182856]","[0.18932422240956248, 0.10490549480948072, 0.003859390447148248, 0.2040776430192344, 0.11639209140954448, 0.14087409835498035, 0.07155947322876682, 0.03722133153602994]","[0.0, 0.0, 0.9162710972138769, 0.0, 2.0635468138945425, 3.0802794105655447, 2.112361855159937, 0.2796020363905072]","[0.5411792397499084, 0.473113477230072, 0.026136115193367004, 0.6184247136116028, -0.47969019412994385, -0.2581430673599243, -0.29705512523651123, 0.24350152909755707]",42.549501180648804
10,GAT,8,0.928907573223114,0.8679498365833791,0.6418707664674521,0.5607240225374699,"[0.06205045508626857, 0.06205045508626857, 0.06246362442249174, 0.0632777407356204, 0.5632650985354983, 0.06205045508626857, 0.06205045508626857, 0.0627917159613152]","[0.868968212434117, 0.8891287721930873, 0.8796506650500954, 0.851134174700811, 0.8479982910322824, 0.8432489694415012, 0.9184563486852919, 0.8736515033997521]","[0.13222449477817655, 0.12352368429552643, 0.12498958598444275, 0.15562173198283583, 0.1561659712876507, 0.16273672794763736, 0.09278000712805953, 0.11530812068673736]","[0.10352351742954093, 0.15705061735699108, 0.06697604244244446, 0.06272100142867937, 0.10885250258316019, -0.02642484691937573, 0.042134865956487695, 0.06903515801637784]","[0.0, 0.0, 0.792772456228248, 2.006585825597621, 129.76029059164404, 0.0, 0.0, 1.4918151499218448]","[0.16228580474853516, 0.5809081196784973, 0.14709874987602234, -0.13196511566638947, -0.4180196225643158, -0.2805411219596863, 0.7412930130958557, -0.5365711450576782]",42.2173228263855
