round,arch,n_workers,rmse,r2,gamma,U,alphas,betas,consensus,stability,progress,worker_losses,elapsed
1,GraphSAGE,4,2.562098741531372,-0.004582677053560635,0.7621774590164423,1.0332063645124436,"[0.25, 0.25, 0.25, 0.25]","[0.743430350297066, 0.7128861063350727, 0.7077747045375689, 0.7283611833647914]","[0.284857092400523, 0.3084990256495406, 0.3186009779383001, 0.29919430719145373]","[0.014243550570433607, 0.10651995322697184, 0.24232462192744286, 0.07880885262935243]","[0.0, 0.0, 0.0, 0.0]","[2.285132884979248, 1.4643633365631104, 0.7934711575508118, 4.787191390991211]",23.182384729385376
2,GraphSAGE,4,2.545294761657715,0.00855155323316903,0.7611941068947315,1.0447752130031585,"[0.25035841746262993, 0.2491326015942414, 0.2491326015942414, 0.25137637934888735]","[0.7243792867547103, 0.7662029025209681, 0.7999206545261895, 0.7282630168834655]","[0.2783927659784536, 0.23086387182064552, 0.19144612486441046, 0.25870282134446243]","[0.10868089642289186, -0.024157057821490777, 0.2140142981682453, 0.0355481345036401]","[0.16222513701037738, 0.0, 0.0, 0.9749523107798344]","[0.6335588693618774, 0.9608017206192017, 2.018787145614624, 0.05618763715028763]",23.797761917114258
3,GraphSAGE,4,2.523761749267578,0.025255816786075358,0.7703658019691706,0.936872918009758,"[0.2493441916714987, 0.2493441916714987, 0.2493441916714987, 0.2519674249855039]","[0.7790236454391346, 0.7654369221034973, 0.7880040744704299, 0.7849196385114324]","[0.15211804509142127, 0.23105740631533292, 0.2334210336427811, 0.18897656921428893]","[0.18013289923410175, 0.008239539899318398, 0.030708576742883645, 0.1267929429766578]","[0.0, 0.0, 0.0, 0.4367777256843985]","[1.2067503929138184, 0.7879370450973511, 0.5381958484649658, 0.751802921295166]",23.285046815872192
4,GraphSAGE,4,2.331153154373169,0.16835972006645084,0.7741994744464754,0.891770888864994,"[0.2550286241808494, 0.2489283568900344, 0.24831642977847915, 0.24772658915063708]","[0.720558313747754, 0.7097363746149739, 0.6907937932799919, 0.7433541647527332]","[0.3021786304766373, 0.34339182972115534, 0.3461990981587724, 0.2774615854080957]","[0.14971215779874525, 0.04269921191756915, 0.14516701202300097, 0.09626598254028763]","[0.642136263543009, 0.33005605162351886, 0.04732095467253262, 0.0]","[0.27031445503234863, 0.932790994644165, 0.8942762613296509, 0.08514857292175293]",23.06511640548706
5,GraphSAGE,4,1.8082729578018188,0.499594712083988,0.7810254060029983,0.8114658117294311,"[0.25196915915850526, 0.245637578880138, 0.2458768787100031, 0.2565163832513536]","[0.629756217335601, 0.7019189802297221, 0.6438039490747561, 0.6240178941824194]","[0.4576884838324349, 0.4045847151472512, 0.43755175518178663, 0.45344679678972555]","[0.04277505112543887, 0.06460063984307785, 0.059318509887683904, 0.09440095505778881]","[1.299926952825675, 0.0, 0.03751637946935588, 1.0123707778154294]","[-0.30819645524024963, -0.122273288667202, 0.8623720407485962, -0.0070921387523412704]",23.422155141830444
6,GraphSAGE,4,1.1909635066986084,0.7829344613603104,0.7838323437571525,0.7784430146217347,"[0.24566869523437798, 0.24798598628776802, 0.24566869523437798, 0.260676623243476]","[0.6391086208416491, 0.6509907277346675, 0.602789017837904, 0.6981125371948081]","[0.4516200576511021, 0.43574780545055436, 0.47550897002419706, 0.3959508851274802]","[0.07700808219391561, 0.16724612212110163, -0.0035893089878705265, 0.13157721403033584]","[0.0, 0.12882486851291916, 0.0, 1.1381754901981564]","[0.5783084630966187, 0.8611249923706055, 0.49561089277267456, -0.035968929529190063]",23.07590627670288
7,GraphSAGE,4,0.9157296419143677,0.8716699107550842,0.7893614547565578,0.7133946499228478,"[0.2494503930290334, 0.2494503930290334, 0.25164882091289975, 0.2494503930290334]","[0.7362044253712984, 0.7276512716191009, 0.7256581320416223, 0.7838233352356979]","[0.2732314233131206, 0.2896735586970081, 0.26390232884216985, 0.24599416967196586]","[0.07407343900152784, 0.050466609214799944, 0.04092914750008714, 0.14712655501469188]","[0.0, 0.0, 0.8123549995986814, 0.0]","[0.29291272163391113, 0.08360612392425537, 0.10689462721347809, 0.39457082748413086]",23.015944957733154
8,GraphSAGE,4,0.9908170700073242,0.8497616189697039,0.6333274633121491,0.686360833644867,"[0.25, 0.25, 0.25, 0.25]","[0.7693191519888027, 0.7699166083840928, 0.7791184514675255, 0.8299861252391142]","[0.19579019143331308, 0.18178658949151796, 0.1957620092439448, 0.12154587749366236]","[0.20336000462396872, 0.04137349264878937, 0.06625083089910012, -0.009641908931880244]","[0.0, 0.0, 0.0, 1.4103687077088283]","[0.14767330884933472, 1.1424050331115723, 0.07272153347730637, -0.16251540184020996]",23.373209238052368
9,GraphSAGE,4,0.8840212225914001,0.8804032706613396,0.7903063328787684,0.7022784367203713,"[0.25826000522063175, 0.2505768133733144, 0.24558159070302701, 0.24558159070302701]","[0.736956742613034, 0.7412452624802518, 0.7592390595686375, 0.8508805491266085]","[0.2377543102570746, 0.2321352111164052, 0.21592039062074886, 0.1306108588485253]","[0.12963125196560907, 0.047135764154450734, 0.09481612544697554, 0.15775728025259464]","[1.6332572166963597, 1.8402965538994225, 0.0, 0.0]","[-0.26799625158309937, -0.1985175609588623, 0.28109318017959595, 0.4342713952064514]",23.462177991867065
10,GraphSAGE,4,0.8109762668609619,0.8993508154391625,0.7913945465296507,0.6894759231805802,"[0.2503306410793166, 0.24988978630689448, 0.24988978630689448, 0.24988978630689448]","[0.771993565566163, 0.8233913674659861, 0.7555851377578853, 0.7476987671022107]","[0.19379938848073294, 0.1614634671244239, 0.21657393714531858, 0.22950610446351574]","[0.05749807679929948, -0.02528891170488838, 0.03286420612407707, 0.18122291843886976]","[0.1581834249887327, 15.070807149150658, 0.0, 0.0]","[0.4055798649787903, -0.16881819069385529, -0.037734247744083405, 0.12034017592668533]",24.197359561920166
11,GraphSAGE,4,0.8278547525405884,0.8951176863698596,0.6348205260109901,0.664404029250145,"[0.25, 0.25, 0.25, 0.25]","[0.7562822138344111, 0.7425427116470739, 0.7755254086304811, 0.7830180440587009]","[0.2278154111843449, 0.24209454260824326, 0.21706541069380728, 0.19692430512629325]","[0.03425633992974225, -0.004913507271247557, 0.06216265492630052, 0.09513344846756559]","[0.0, 0.0, 0.0, 0.0]","[0.2497112900018692, 0.6468031406402588, 0.037457242608070374, 0.23358483612537384]",23.643357276916504
12,GraphSAGE,4,0.7222514748573303,0.9201691311899891,0.7918560810245573,0.6840461055934429,"[0.24529406751098984, 0.26411779746703057, 0.24529406751098984, 0.24529406751098984]","[0.7978696664037669, 0.7729850030621329, 0.7691374130456408, 0.8214788180288256]","[0.1655699173107526, 0.18544636570312198, 0.1919159938608496, 0.12212821818014692]","[0.04594502291234759, 0.1130252135668565, 0.0008200550150841072, 0.08517015649995491]","[0.0, 3.5275307170796166, 0.0, 0.0]","[0.7574871778488159, -0.1706715077161789, 0.3745800256729126, 0.19326412677764893]",23.979350090026855
13,GraphSAGE,4,0.7751051783561707,0.9080577337104273,0.6367341490584613,0.636262513846159,"[0.2488452140613625, 0.2488452140613625, 0.2534643578159125, 0.2488452140613625]","[0.794873187110617, 0.8217238679347149, 0.7738327049358802, 0.8473174400808877]","[0.1471301613425463, 0.12891986480641093, 0.14602870150354025, 0.096199826084868]","[0.05880900488781812, 0.09541129609441751, 0.1067355386811233, 0.03947652647051599]","[0.0, 0.0, 1.1800087523719773, 0.0]","[0.16623441874980927, 0.6275069713592529, -0.017094328999519348, 0.4865569770336151]",23.026662588119507
14,GraphSAGE,4,0.7016700506210327,0.9246540668215377,0.7937133506208658,0.6621958750486374,"[0.25, 0.25, 0.25, 0.25]","[0.8235292276337367, 0.7733171435260219, 0.768339869661341, 0.8490597818473488]","[0.11692891757188728, 0.17330459386103395, 0.16372240998223436, 0.11068010823519354]","[0.1963408994185099, 0.05610976106704552, 0.06489082194933957, 0.04226204731089608]","[0.0, 0.0, 0.0, 0.0]","[0.05437036603689194, 0.22736437618732452, 1.005350112915039, 0.3180922567844391]",23.257715702056885
15,GraphSAGE,4,0.7199326753616333,0.9206809095411819,0.6380358851331472,0.6171193362772465,"[0.2506046912386304, 0.2486065123174399, 0.2496902355827042, 0.25109856086122556]","[0.8332426797427265, 0.7970876780901313, 0.8030812815922168, 0.8037586140472166]","[0.12235100641344183, 0.11826764426120727, 0.14341712775934481, 0.1349686943881331]","[0.03706029479640654, 0.13729137074293418, 0.08262841901638018, 0.0467239844538003]","[1.7654949990330657, 0.0, 0.3670553505638546, 1.5816262099502867]","[-0.2796279489994049, 2.1443123817443848, 0.7447896599769592, -0.1630096435546875]",23.15484309196472
16,GraphSAGE,4,0.6839052438735962,0.9284209762354385,0.7967208976730704,0.6268129685521127,"[0.2495873738696919, 0.2495873738696919, 0.2512378783909243, 0.2495873738696919]","[0.7730111109867221, 0.7970883828722485, 0.8308751460651015, 0.8024978200553915]","[0.1552539470877176, 0.16960122659196578, 0.1280342880383616, 0.14261924158319975]","[0.14855189078521988, 0.07470765533370655, 0.16645799345991438, -0.018753174529433803]","[0.0, 0.0, 0.3092657175816413, 2.8091166094869426]","[-0.016568109393119812, 0.3604823052883148, -0.23165351152420044, -0.2034032791852951]",23.007800579071045
17,GraphSAGE,4,0.6872831583023071,0.9277121427086721,0.7989823532402516,0.6002076089382172,"[0.25, 0.25, 0.25, 0.25]","[0.8169077230348073, 0.7858915573712604, 0.7941482284216458, 0.8881705674119492]","[0.10709511288229995, 0.13063004495490746, 0.12552534889525357, 0.04341939915179468]","[0.0931411066027908, 0.06000545520843635, -0.0022512649710186463, 0.041407993780497816]","[0.0, 0.0, 0.0, 0.0]","[1.5165762901306152, 0.29942983388900757, 0.7640934586524963, -0.28980880975723267]",23.058279752731323
18,GraphSAGE,4,0.7575768828392029,0.9121690927067854,0.6386389722138643,0.6082504086196423,"[0.25, 0.25, 0.25, 0.25]","[0.8128530758467545, 0.82689022835913, 0.8269419438888673, 0.8535836923578871]","[0.11146415516751133, 0.08069970003076839, 0.0904996632476005, 0.04062683975092253]","[0.05384360449749415, 0.10091351541087344, 0.20960889102797925, 0.10127885211586361]","[0.0, 0.0, 0.0, 0.0]","[0.21049019694328308, 0.4408312439918518, 0.2824486494064331, 0.37134677171707153]",23.5447039604187
