round,arch,n_workers,rmse,r2,gamma,U,alphas,betas,consensus,stability,progress,worker_losses,elapsed
1,STGCN,8,2.5280308723449707,0.021955352758343594,0.7616123695649206,1.0398544757068158,"[0.12322268706760253, 0.12329458569152031, 0.12470775664206474, 0.12722987574796787, 0.12819493795003195, 0.12692395247323573, 0.12335156521290737, 0.12307463921466953]","[0.7147091447359251, 0.6534107744111456, 0.6604955321690226, 0.6789350206527677, 0.6506215612482174, 0.6606734105787908, 0.782284103724694, 0.7662737540727506]","[0.4378878217424704, 0.48112755428651577, 0.4745597030064555, 0.45987731517685937, 0.4786183840143258, 0.4705616096678518, 0.37689700155132255, 0.38731759574291136]","[0.015785906630434048, 0.016199859500524272, 0.04645067753167351, 0.10347730675548673, 0.10792471738175766, 0.08306484705342354, 0.023137195556190388, 0.015603977063855917]","[0.6786901641098183, 0.6767509201179951, 0.7562862647901076, 0.7710894263948783, 0.8566547803504935, 0.8771772953207835, 0.6578603582548886, 0.5773335582885187]","[2.332458972930908, 2.3556606769561768, 2.0746047496795654, 1.9634305238723755, 1.6024433374404907, 1.775630235671997, 1.6676225662231445, 1.931518793106079]",244.92197036743164
2,STGCN,8,2.494173526763916,0.04797740874032097,0.7629846187852323,1.0237103672325611,"[0.12405475799472158, 0.12405475799472158, 0.1244362300329666, 0.12518691731173268, 0.12681440568890415, 0.12667187322253678, 0.12469471602269336, 0.12408634173172325]","[0.7482431794182275, 0.6938034618383953, 0.7093826621164854, 0.6912042935135817, 0.7731385896396739, 0.7951566421843368, 0.8218408224394789, 0.8127705552307447]","[0.35168904926194927, 0.3966215225649976, 0.3833520448502818, 0.39889076717727046, 0.3271075265468656, 0.3135398108497541, 0.2969160108506295, 0.31162652820914183]","[0.0038900176996511824, 0.05467510614181268, 0.045577906540371596, 0.11391515168372543, 0.14068573300168366, 0.1294328530109819, 0.17095010430123003, 0.02567431490817185]","[0.0, 0.0, 0.1757242346931497, 0.19993317693194226, 0.47809420205112063, 0.5144357479690292, 0.10137202711399743, 0.03181841815931331]","[2.7553508281707764, 2.3958163261413574, 2.1353564262390137, 2.02276873588562, 1.6569706201553345, 1.9285461902618408, 1.5823856592178345, 1.6568530797958374]",243.05573964118958
3,STGCN,8,2.3570451736450195,0.14978310542517348,0.763854610196501,1.0134751741588115,"[0.12461748600588274, 0.12461748600588274, 0.1247207018504731, 0.12461748600588274, 0.12655692946617852, 0.12563493865393469, 0.12461748600588274, 0.12461748600588274]","[0.7066334784322352, 0.6662228984416878, 0.6882979865177576, 0.7003316584323805, 0.7176692461376544, 0.7419123267825769, 0.8584505435328623, 0.8554233645587971]","[0.395436901852542, 0.4288761519077779, 0.41156512462537087, 0.40170647714597907, 0.39278837553376345, 0.37746207227813067, 0.2695725002609731, 0.2907463796912332]","[-0.021747687347886305, 0.06212883631734759, 0.07791342345218355, 0.12085498477385273, 0.13617286661806788, 0.11555053312535121, 0.17494762918043844, 0.07633535519339957]","[0.0, 0.0, 0.025819152601311467, 0.0, 0.28872967685031314, 0.18643333210382898, 0.0, 0.0]","[2.8030223846435547, 2.3707544803619385, 1.8415977954864502, 2.012861967086792, 1.5234670639038086, 2.0539987087249756, 1.5949641466140747, 1.5266313552856445]",244.24243688583374
4,STGCN,8,2.035377025604248,0.36600808495995496,0.7658543224073946,0.9899491481482983,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[0.6335693315690298, 0.6025458108250922, 0.6709529165210496, 0.6843901745495595, 0.7146833523778242, 0.7403964193674032, 0.8618087105409671, 0.803762502194027]","[0.47341279486816124, 0.4980499354974441, 0.4464092587804524, 0.43866629468589874, 0.42161511931257273, 0.4094571252709066, 0.3103508929332324, 0.3513031963416747]","[0.0026909996738594933, 0.07246778014757074, 0.0953642440074926, 0.12165064392095666, 0.12933296872377925, 0.06850207132508633, 0.2272794461186829, 0.103486059385901]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.958811044692993, 2.1603736877441406, 1.9910972118377686, 1.9775227308273315, 1.8151261806488037, 2.309483766555786, 1.5605398416519165, 1.7791948318481445]",243.50911903381348
5,STGCN,8,1.6273996829986572,0.5946945548259248,0.7672296061068773,0.9737693399190903,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[0.6333516105670132, 0.553541756495894, 0.5745434208246581, 0.6016596401612951, 0.6612552739957935, 0.7396049684686534, 0.8660980007856357, 0.8439053422905292]","[0.49416684298173585, 0.5567752769712936, 0.5373130845283127, 0.5218807987365802, 0.48263118673277894, 0.4302432219405706, 0.3319850645731445, 0.34143650007715115]","[0.02125378134415681, 0.05039708253082641, 0.06080563060308049, 0.09739879806536, 0.09141791935107478, 0.09809172190613198, 0.1962428533463979, 0.10234449473271291]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.1354823112487793, 2.136603593826294, 2.126793384552002, 1.7812906503677368, 1.6749294996261597, 2.0521109104156494, 1.4989686012268066, 1.356818437576294]",243.079491853714
6,STGCN,8,1.3398971557617188,0.7252505051076181,0.7681465778045357,0.9629814375936985,"[0.12474214948629377, 0.12474214948629377, 0.12474214948629377, 0.12474214948629377, 0.12474214948629377, 0.12680495359594363, 0.12474214948629377, 0.12474214948629377]","[0.666731905144568, 0.604026990015433, 0.6357596701267286, 0.6258698324108757, 0.6767860268143864, 0.6803753503632166, 0.7971177739713353, 0.8449769731868928]","[0.4659512255861142, 0.5135088514176063, 0.4906714101218511, 0.5010539294055752, 0.46713172520248764, 0.46265766394086244, 0.3785810306664214, 0.3278431463168552]","[0.0040768327317011474, 0.09873992653162302, 0.05509378916414051, 0.11942367929372295, 0.1397167124346883, 0.1057349993359333, 0.14839304931184902, 0.09860929180834502]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.3352742008873059, 0.0, 0.0]","[2.1390228271484375, 2.0609309673309326, 1.8715054988861084, 1.7889814376831055, 1.4511301517486572, 1.1766172647476196, 1.121000051498413, 1.1368074417114258]",245.08335256576538
7,STGCN,8,1.1873409748077393,0.7842529625528538,0.7688619976013898,0.9545647341012955,"[0.12496765216657388, 0.12496765216657388, 0.12496765216657388, 0.12496765216657388, 0.12496765216657388, 0.12522643483398285, 0.12496765216657388, 0.12496765216657388]","[0.7336835858439129, 0.6325916901502716, 0.6622627192780542, 0.6482335065188374, 0.6798575754986949, 0.7436180699198868, 0.79717497757989, 0.8563156058953386]","[0.39124543315722743, 0.47192879421962913, 0.45136762233407624, 0.46193909762554297, 0.43810832592171484, 0.3836809211422927, 0.3428860015934289, 0.27991801212625284]","[0.06767700740331653, 0.10611828573194397, 0.04717723958667713, 0.12576045854151438, 0.13715015179087717, 0.0933680322087463, 0.17868837869687426, 0.15418645614046178]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.05774601024011727, 0.0, 0.0]","[2.1781117916107178, 1.9497644901275635, 2.0824649333953857, 1.2858071327209473, 1.427633285522461, 1.5540649890899658, 0.9147869348526001, 1.04853093624115]",244.48972415924072
8,STGCN,8,1.0511037111282349,0.8309227830156312,0.7695163992211222,0.9468658915162087,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[0.7832121088616485, 0.6684451355350935, 0.6758327959901449, 0.6746785794122511, 0.68480930752085, 0.7337176938528724, 0.8012189291540011, 0.8027557337998118]","[0.34599142051912707, 0.44162772379801357, 0.4353241044521483, 0.4353603303247122, 0.426382455225325, 0.38344241222000736, 0.33278638828241264, 0.3237655557023881]","[0.05826457989167351, 0.08152244025056354, 0.07436775051485861, 0.09948316586713779, 0.14526247940443318, 0.10142761421639694, 0.1899760546208776, 0.12938770209527276]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.2321736812591553, 1.9948484897613525, 2.1740541458129883, 1.8700841665267944, 1.6466379165649414, 1.9387719631195068, 0.8807722926139832, 1.0081835985183716]",244.5456759929657
9,STGCN,8,0.9527608156204224,0.8610809738915749,0.7702559720292688,0.9381650349497794,"[0.12493271481939718, 0.12493271481939718, 0.12493271481939718, 0.12493271481939718, 0.12493271481939718, 0.12547099626421973, 0.12493271481939718, 0.12493271481939718]","[0.849995638881418, 0.7168390896992751, 0.7296141921874639, 0.7733677896571733, 0.711851319075297, 0.7584040126230963, 0.8351621943638894, 0.8029249864657723]","[0.24876606774163598, 0.37320513742005756, 0.3632262854290188, 0.31967937587952894, 0.36255159573213624, 0.3210218166149185, 0.2574315840126146, 0.28441100971600913]","[0.11781807077315751, 0.07559727556000602, 0.11659904935717762, 0.11990726589816289, 0.1029713832219143, 0.13107626978973963, 0.2034574418097106, 0.063544128942583]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.10217430719179495, 0.0, 0.0]","[2.360353469848633, 2.349177122116089, 2.3979969024658203, 2.0121967792510986, 1.6334037780761719, 1.4303697347640991, 0.9457628130912781, 0.9741488695144653]",245.73750734329224
10,STGCN,8,0.9274137020111084,0.8683742104249133,0.7706192914716898,0.9338906885683537,"[0.12496871432128608, 0.12496871432128608, 0.12496871432128608, 0.12496871432128608, 0.12496871432128608, 0.12521899975099746, 0.12496871432128608, 0.12496871432128608]","[0.8881445151146155, 0.7410499784461934, 0.7353681086396273, 0.7750210329596777, 0.7823323358988256, 0.857836186926392, 0.868752866975964, 0.8795359544270184]","[0.16550430379463074, 0.3064909294269257, 0.3105065954724071, 0.2730102355483913, 0.26607340214207453, 0.1984696273208137, 0.18464488662663422, 0.1672921675225712]","[0.1167220894305799, 0.03460278949981561, 0.10697120062442658, 0.14994415451233467, 0.11352308036203124, 0.09712782659150475, 0.13899865755561347, 0.11019802357288033]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.10379207041279388, 0.0, 0.0]","[2.1669442653656006, 1.9954092502593994, 1.6474827527999878, 2.848149538040161, 1.901547908782959, 1.434619665145874, 0.9192090630531311, 0.955145537853241]",244.20100498199463
11,STGCN,8,0.8933793902397156,0.8778577826426305,0.7702439932100474,0.9383059622347355,"[0.12499942690022327, 0.12499942690022327, 0.12499942690022327, 0.12499942690022327, 0.12499942690022327, 0.1250040116984371, 0.12499942690022327, 0.12499942690022327]","[0.8732284992089517, 0.7753048219266194, 0.7659160974963752, 0.8035134980644371, 0.7995673018920125, 0.8399977422768167, 0.8924161075850879, 0.9375715763654849]","[0.17019767612503606, 0.26295816734239696, 0.2672894112596863, 0.22818146886102822, 0.22761625230995455, 0.18580071717913246, 0.1410342014279418, 0.09525793417231765]","[0.07108334306563958, 0.06215829078814566, 0.09476714987185265, 0.155152182642869, 0.09547435317221106, 0.08776107169364404, 0.10181827811916394, 0.13222710540650218]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0022499523855533153, 0.0, 0.0]","[2.597132444381714, 2.180925130844116, 1.8400049209594727, 2.9711859226226807, 1.5612620115280151, 1.5898264646530151, 0.8786194324493408, 0.694709837436676]",246.06169271469116
12,STGCN,8,0.8431013822555542,0.8912188801337871,0.7701189693041146,0.9397768317162991,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[0.9230748354036553, 0.8287854121026208, 0.8027788065200442, 0.8466651199803714, 0.825651752544476, 0.8676175923424789, 0.895100662534394, 0.9241091250133665]","[0.08722354130748501, 0.18579195674937932, 0.20811289092809165, 0.1599713186088493, 0.1797926800062888, 0.13791176545548084, 0.1104779102575849, 0.07551004685948759]","[0.045086210760999404, 0.020554104152693733, 0.09344335813712341, 0.10446253463299754, 0.08659373026697492, 0.05793047709551045, 0.08316307639046673, 0.12059499468377012]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.4469144344329834, 1.948236346244812, 1.970461130142212, 3.006105422973633, 1.388091802597046, 1.6773854494094849, 0.9853760004043579, 0.7988354563713074]",246.6650905609131
13,STGCN,8,0.8019776940345764,0.9015720295356722,0.7701361659020185,0.9395745187997818,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[0.9246205764456772, 0.8169280205514433, 0.8371326458798456, 0.8540882192625885, 0.850476308083826, 0.8641136221459074, 0.8951888275474688, 0.9179359099056784]","[0.07049947619306796, 0.18707047724701556, 0.17489143204300825, 0.14722203636266892, 0.15462659324373113, 0.14136025122316306, 0.10541269308521505, 0.07645656364002397]","[0.019164244562436684, 0.0297448853231777, 0.06260811009104364, 0.13060670009104902, 0.06496770949268196, 0.06957176618733525, 0.07627098544236843, 0.12213725618691436]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.276232957839966, 1.820738673210144, 2.2342302799224854, 2.742905378341675, 1.3955854177474976, 1.9452625513076782, 0.8010635375976562, 0.8193596601486206]",244.86270451545715
14,STGCN,8,0.7822307348251343,0.9063595144490731,0.7700617347486317,0.9404501794278621,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[0.9017368990859286, 0.8135873174918518, 0.8350607257252408, 0.8901215217372166, 0.873362510832882, 0.9114327429448786, 0.9063510917846116, 0.9260294127890095]","[0.07668225446778473, 0.1735293671804715, 0.15806612668971942, 0.09897566844951221, 0.1255243954837606, 0.0879498205606989, 0.08537403459186595, 0.06607013016022824]","[0.0035717307705157796, 0.015187955499037842, 0.08426486054860263, 0.11615523254242331, 0.0828226436213961, 0.07894270887182188, 0.050237569263995634, 0.11145682302850773]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.2152154445648193, 1.4531636238098145, 1.9553031921386719, 2.830219268798828, 1.5369577407836914, 1.7229365110397339, 0.7520276308059692, 0.8845566511154175]",245.20715260505676
15,STGCN,8,0.7667862176895142,0.9100207195935677,0.7698612646497786,0.9428086511790752,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[0.906877266329098, 0.823450613883483, 0.8563346540804971, 0.8801963394233792, 0.8810057613840749, 0.8995330155646524, 0.9160825457093964, 0.9341963246836602]","[0.06711291263322272, 0.16084394019346585, 0.13565440544507154, 0.10177071280005574, 0.11088187249221289, 0.09068963216287539, 0.07268611051167302, 0.05519735587937007]","[0.057269318318937217, 0.038117854162849206, 0.07738164223767897, 0.11263332297415848, 0.0666583266763748, 0.06136516732055677, 0.03200757728796695, 0.09975437049943603]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.8580338954925537, 1.5899896621704102, 2.134314775466919, 3.022454261779785, 1.626460075378418, 1.4398244619369507, 0.6450352668762207, 0.8874988555908203]",247.2362871170044
