round,arch,n_workers,rmse,r2,gamma,U,alphas,betas,consensus,stability,progress,worker_losses,elapsed
1,SpatialBiGRU,4,2.5542359352111816,0.0015737015001109356,0.7588607190087437,1.0722268351912498,"[0.2504721945903657, 0.24866920895329822, 0.24866920895329822, 0.2521893875030379]","[0.7588684552167769, 0.8002607887602148, 0.7762099115253605, 0.8119012975394713]","[0.20200588401906658, 0.173088254956305, 0.18418810904811714, 0.13906325371860692]","[0.14911551926976424, -0.04826897173238344, 0.03305514174250135, 0.11965983894172685]","[0.239835955565597, 0.5806781280588895, 0.0, 0.8447461386324377]","[1.2308530807495117, 0.7336620092391968, 0.5927037000656128, 0.6061995029449463]",23.599995136260986
2,SpatialBiGRU,4,2.5632052421569824,-0.005450604067985143,0.7688230851560831,0.9550225275754929,"[0.24988545366740014, 0.25199378546705914, 0.2490603804327704, 0.2490603804327704]","[0.7973789165065714, 0.8028455715276345, 0.7762376361788988, 0.7636149388961398]","[0.1683916311753756, 0.16416910578433416, 0.1735301465470862, 0.20977929626632028]","[0.039716135856700197, 0.1986347549141489, 0.0860472514132141, 0.09138480521847571]","[0.49451937436895743, 0.3590674294389301, 0.0, 0.0]","[0.6374087929725647, 0.6196784973144531, 0.8592103719711304, 0.5546512007713318]",23.02779197692871
3,SpatialBiGRU,4,2.4659857749938965,0.06937425687874887,0.7724115907609462,0.9128048145771027,"[0.25130766058731224, 0.24919185992367499, 0.2493057255286816, 0.25019475396033114]","[0.7879936142649613, 0.7997747926818944, 0.8058367730093514, 0.8119430280620611]","[0.16555243390799523, 0.1432088995302826, 0.138112328632107, 0.12725003106518037]","[0.05622649370230175, 0.005628490985688161, 0.0141131108205864, 0.09688932286482647]","[0.9082964316241526, 0.0, 0.23437636218711322, 0.32577368101541326]","[0.1581774652004242, 0.4591018557548523, 0.5258010625839233, 1.0086345672607422]",22.998281478881836
4,SpatialBiGRU,4,2.2885470390319824,0.19848129585525998,0.7817727413892746,0.8026736307144166,"[0.24945375193405675, 0.24996559816440075, 0.24939778749919161, 0.25118286240235094]","[0.7284716986588777, 0.7438708404857193, 0.7410460661517693, 0.7796438680392674]","[0.2815701879053088, 0.2604781198686574, 0.2514010027188119, 0.22020865605838388]","[0.0009053298631047964, 0.201324705944664, 0.0494295882528343, 0.02790910932485971]","[0.8802309643465799, 0.043366125312518725, 0.0, 1.160471471863366]","[0.09828285127878189, 0.457567423582077, 0.8641357421875, -0.04874960705637932]",23.130117416381836
5,SpatialBiGRU,4,1.9316308498382568,0.42899201280481947,0.7868502840749919,0.7429378344118595,"[0.2459886144257469, 0.2577005534750861, 0.2459886144257469, 0.2503222176734201]","[0.7035488997521857, 0.7365055576170437, 0.7311473345412719, 0.7716659785448593]","[0.31201513566650546, 0.27216824993116323, 0.2772410105837962, 0.25244730321478687]","[0.058793994226753084, 0.16475226064280357, 0.07896696761542571, 0.08582357418075828]","[0.0, 1.037303221210692, 0.0, 0.8060451018493032]","[0.5282881259918213, -0.03448660671710968, 0.6954344511032104, 0.23688101768493652]",22.951390266418457
6,SpatialBiGRU,4,1.2932957410812378,0.744029654733428,0.788452222534269,0.7240914995968342,"[0.24871663556797355, 0.25018019025097915, 0.2523865386130738, 0.24871663556797355]","[0.7425121663964792, 0.7046584625213876, 0.7255706162798943, 0.720731613430204]","[0.2999927268624953, 0.3175600131150016, 0.30103739208765395, 0.29712014252567887]","[0.1294376175776859, 0.021298594969083488, 0.0528093846345906, 0.03640862226966032]","[0.0, 0.8674679312231981, 0.9213697384045049, 0.0]","[0.5885227918624878, 0.40668362379074097, 0.05935872346162796, 0.4329102635383606]",22.911851167678833
7,SpatialBiGRU,4,1.0625512599945068,0.8272199110851182,0.79198114028126,0.6825748202204704,"[0.25190656310219384, 0.24897172241401008, 0.250149992069786, 0.24897172241401008]","[0.7769086772945856, 0.7957132890489865, 0.8034534023204103, 0.8410991084891034]","[0.1716303590919693, 0.15140366821886764, 0.13009082414943018, 0.09270032566338014]","[0.09559114717386379, 0.05979867388089224, 0.033074570339358934, 0.003955430196218507]","[0.7142921528288275, 0.0, 1.0973093380188574, 0.0]","[0.4493216276168823, 1.031390905380249, -0.07451099902391434, 0.67021244764328]",23.061920642852783
8,SpatialBiGRU,4,0.9406800270080566,0.8645815599197807,0.7921323775365948,0.6807955583930015,"[0.24825794077369984, 0.24825794077369984, 0.2510466513919094, 0.252437467060691]","[0.8450245425117956, 0.7794849479646475, 0.8076078478138111, 0.8135303630580644]","[0.09709648852096063, 0.1569173104426487, 0.12562360859893476, 0.10987275737492053]","[-0.025563310037280188, 0.13823735364379566, 0.11295403608599686, 0.07215332157127832]","[0.0, 0.0, 0.7872266211779542, 2.1059470319026485]","[1.6355650424957275, 1.2654951810836792, 0.0518331304192543, -0.14907586574554443]",22.8803653717041
9,SpatialBiGRU,4,0.9203828573226929,0.8703624080995562,0.7951168418154121,0.6456842139363288,"[0.24925576938109212, 0.24925576938109212, 0.24925576938109212, 0.2522326918567237]","[0.864502475000208, 0.8129713782752537, 0.8383650335923666, 0.837967048373109]","[0.06458478151632054, 0.08861288440763725, 0.05748270906348763, 0.051151758085420995]","[0.1163340458695487, 0.023674673416305792, 0.0368108106442036, 0.07895268319744955]","[0.0, 0.0, 0.0, 2.9397783279530865]","[1.5126948356628418, 0.4007968306541443, -0.08805041760206223, -0.7854757308959961]",23.208377838134766
10,SpatialBiGRU,4,0.8893423676490784,0.8789591697566356,0.7988510120846332,0.6017527990043163,"[0.24997535310549643, 0.24997535310549643, 0.25007394068351063, 0.24997535310549643]","[0.835022572606505, 0.8252296107895534, 0.8370657220423203, 0.796547893797628]","[0.0987911686209177, 0.10683942366387074, 0.08228080243887868, 0.106596924696422]","[0.09596868397916543, 0.027803592680706583, 0.0035351442844926725, 0.04319707106320018]","[0.0, 0.0, 1.3556411149148169, 0.0]","[-0.042616888880729675, -0.04924736171960831, -0.04544925317168236, -0.038801491260528564]",24.576637983322144
11,SpatialBiGRU,4,0.8616169691085815,0.8863884596717819,0.7974404459483921,0.6183476947247982,"[0.2520157586228018, 0.24932808045906604, 0.24932808045906604, 0.24932808045906604]","[0.8686908331432713, 0.843809854077433, 0.805029802506773, 0.8066200087015206]","[0.07203104491198896, 0.09409120352018126, 0.09288933487432267, 0.08816627340835358]","[0.06026481517182856, 0.016144536472438256, 0.0712667432107675, 0.02112491296614643]","[2.4699752298721807, 0.0, 0.0, 0.0]","[-0.19819706678390503, 1.3429205417633057, 0.5899308323860168, 0.47925296425819397]",23.118701934814453
12,SpatialBiGRU,4,0.9142868518829346,0.8720739766114283,0.6376464137738943,0.6228468562662601,"[0.24782653787010991, 0.25071068861529505, 0.25363623564448523, 0.24782653787010991]","[0.7923001255958085, 0.7796542346018525, 0.8173551692414865, 0.8695652832464287]","[0.1324187675973074, 0.1511023998483935, 0.11583566873995614, 0.05796019728990794]","[0.08136973509892449, 0.18141066918579485, 0.1290754994697281, 0.10477308577339013]","[0.0, 0.422105869731707, 1.5498095503561073, 0.0]","[1.1134566068649292, 1.1783322095870972, -0.1480015516281128, 0.23317217826843262]",23.560295343399048
