round,arch,n_workers,rmse,r2,gamma,U,alphas,betas,consensus,stability,progress,worker_losses,elapsed
1,SpatialESN,8,2.544576644897461,0.009110991911429167,0.7609576702564954,1.047556820511818,"[0.12296863272459044, 0.12354969330852764, 0.12567050039408043, 0.12420485251845102, 0.12614057907913187, 0.12836867708983846, 0.1256964101328353, 0.12340065475254487]","[0.8538100887343603, 0.761633254638456, 0.7838937025899767, 0.7682581420003552, 0.7706768674824749, 0.7872285393424978, 0.807027617772086, 0.8319102663167498]","[0.22717053686087207, 0.31060786321160094, 0.2835586636567104, 0.2992221781609962, 0.29901592887079603, 0.27731718253885534, 0.27685796818148084, 0.24946421431740287]","[0.08102846122681051, 0.016452209602961666, 0.15092310807543755, 0.04830171429596841, 0.11211299709806337, 0.2521154572528814, 0.07439721871179178, 0.03372239350747505]","[0.0, 0.9225018539235648, 0.5078590792833038, 0.6921042848780901, 0.7596952277592769, 0.6146969368825586, 1.065192447852861, 0.41689276304195994]","[0.98844975233078, 0.2950940728187561, 0.48895689845085144, 1.1579593420028687, 1.3732975721359253, 0.2512803375720978, -0.10161124914884567, 0.483085036277771]",38.929975748062134
2,SpatialESN,8,2.528473138809204,0.021613113780636795,0.7682218198850751,0.9620962366461754,"[0.12480654611780968, 0.12446411668883549, 0.12816719760224574, 0.12470567283576715, 0.12446411668883549, 0.12446411668883549, 0.12446411668883549, 0.12446411668883549]","[0.909136966222411, 0.8440264222774736, 0.8205014395238184, 0.8725461508811417, 0.822593955290445, 0.8282382574256978, 0.8680063919249303, 0.8599953812970401]","[0.11877358226595126, 0.1682667837077175, 0.19765989686764374, 0.15539271156657364, 0.19685332710473533, 0.1892407774713328, 0.16074491591972956, 0.17469964527816842]","[0.03322228958901291, 0.1908018576966939, 0.15783469027086766, 0.01989662333419348, 0.04449952403809441, 0.14569176342272186, 0.18664670278624898, -0.04150611721223732]","[0.696277478664202, 0.0, 0.9397584598407545, 0.6271119208404046, 0.0, 0.0, 0.0, 0.9286996302057223]","[0.3000151813030243, 0.8335442543029785, 0.07737194746732712, 0.29826492071151733, 1.0658200979232788, 0.5711125135421753, 0.44294142723083496, 0.04717766121029854]",38.88503360748291
3,SpatialESN,8,2.504121780395508,0.04036775994252262,0.7706925502106547,0.9330288210511208,"[0.12471981869341181, 0.12631802486345137, 0.12432153909103341, 0.12428320991002112, 0.12453561327299231, 0.12440052719139347, 0.12534658608496782, 0.1260746808927287]","[0.8968632883165205, 0.8700204595991876, 0.8815466450303534, 0.8561854600693452, 0.8719577669544363, 0.8724130239168253, 0.8903059379703736, 0.89534787607109]","[0.07402530681619511, 0.13638558498966047, 0.118482796081249, 0.14257475812563175, 0.12333224710288937, 0.1331224636196451, 0.10661028681786187, 0.10279226696265718]","[0.09515315753277291, 0.10434549694103568, 0.023776757020676744, 0.06517299181806789, 0.04942804953192227, 0.003685408777732731, 0.14898945256670146, 0.12739616989880345]","[0.4978701601053284, 1.1411410781803446, 0.10946021278451094, 0.0, 0.332808241970565, 1.9231458584304026, 0.5363755835471645, 1.0928722292627653]","[0.4554521143436432, -0.15759378671646118, 0.9078480005264282, 1.2647840976715088, 0.3866938650608063, -0.222721129655838, 0.4945695400238037, -0.09280075877904892]",40.57389259338379
4,SpatialESN,8,2.4660820960998535,0.0693015248689306,0.7761331762701272,0.8690214556455613,"[0.12432714813347595, 0.12432714813347595, 0.12432714813347595, 0.12432714813347595, 0.1280576137576003, 0.12454650971142334, 0.1253303975047722, 0.12475688649230034]","[0.8619883217924319, 0.8709396051057142, 0.8700233087860464, 0.8424844079556907, 0.8492214452266896, 0.9198904260625246, 0.8909131350283784, 0.8842350673930195]","[0.1312274607988763, 0.13153533513658838, 0.13091756886299882, 0.15963418743331434, 0.15555592514620353, 0.08014065842883931, 0.1072359835841912, 0.1231911502088954]","[0.04671813483801459, 0.05631176667362279, -0.018548842603768177, 0.0707216451200644, 0.123548651916321, 0.05122261012285346, 0.04421047947066283, 0.08334350460702981]","[0.0, 0.0, 0.0, 0.0, 1.5382861007684294, 0.4294371295662593, 1.6952404591421728, 0.33607688682748105]","[0.528296947479248, 0.7705104351043701, 1.0281633138656616, 0.7839419841766357, -0.40603765845298767, 0.817609429359436, -0.5711713433265686, 0.6299847960472107]",38.475452184677124
5,SpatialESN,8,2.459459066390991,0.07429387991272729,0.7768561718471348,0.8605156253278257,"[0.12386972407031062, 0.12474041314826614, 0.12386972407031062, 0.12391032207119326, 0.12386972407031062, 0.12390189896475906, 0.13196846953453906, 0.12386972407031062]","[0.8785173979177198, 0.9260931043599788, 0.91932137206368, 0.8919764086244104, 0.8873182870260791, 0.8956961113694533, 0.9446736526946435, 0.8951883677706344]","[0.07964726155338045, 0.052325743173464924, 0.047875689521005585, 0.0682787075597399, 0.08700255383697654, 0.07804359831348258, 0.04448707260961887, 0.08321993013698233]","[0.20616536530354357, 0.13080115316713245, 0.028760107084246686, 0.011566438615150875, 0.03803749721729256, 0.07591963225501348, 0.12950314390884202, 0.059574100876655954]","[0.0, 1.0234100479524777, 0.0, 0.41495081552661217, 0.0, 0.04383498923486208, 10.992929005140896, 0.0]","[1.096792459487915, -0.0008325917297042906, 1.0132818222045898, 0.5657545924186707, 0.8741477131843567, 1.0447633266448975, -0.093628890812397, 4.273817539215088]",39.38054418563843
6,SpatialESN,8,2.4490463733673096,0.08211562222545832,0.7793872999824583,0.8307376472651959,"[0.12486138764217643, 0.12486138764217643, 0.12494871351134489, 0.12534867111528497, 0.12486138764217643, 0.12486138764217643, 0.125395677162488, 0.12486138764217643]","[0.9144954384710134, 0.8940073344582614, 0.8986323053674606, 0.8891131774008497, 0.9076254833519481, 0.9100894097675268, 0.8903091592487672, 0.9082673392201828]","[0.0474099281171856, 0.08218503598644909, 0.06656392356524864, 0.08738402738983478, 0.07216537790699695, 0.06622085632716739, 0.08450161941374092, 0.06294801756549671]","[-0.00028165242215689404, 0.021413041611498387, 0.0841713258993557, 0.02484096302564878, 0.0782820237354975, 0.13723817524043622, 0.05151128213422477, 0.05196888760854692]","[0.0, 0.0, 0.12478605791147192, 1.7943538530514946, 0.0, 0.0, 0.9809674345871183, 0.0]","[0.9132915735244751, 0.1806149035692215, 0.39152976870536804, -0.31894785165786743, 1.9806383848190308, 0.5253291130065918, 0.007905704900622368, 0.7065939903259277]",39.219770193099976
7,SpatialESN,8,2.430098295211792,0.09626392852236898,0.7819578998550772,0.8004952958226204,"[0.12526019862902002, 0.12488828476423833, 0.1250464308168366, 0.12508390768508443, 0.12488828476423833, 0.12488828476423833, 0.1250563238121056, 0.12488828476423833]","[0.8750012257396487, 0.8871667359892706, 0.908779375559157, 0.9013200061263056, 0.8842385061760809, 0.9453116242470937, 0.9391569489103675, 0.9244623443066678]","[0.08826482074184704, 0.07781174992288616, 0.06120634216304457, 0.06363455113438823, 0.08287935689567374, 0.009455473771733013, 0.033526024701582315, 0.04095770303349216]","[0.055892885325284254, 0.11226212010726117, 0.05115875924284005, 0.0393285294986853, 0.06200108183006809, 0.021674602590574472, 0.10203609418060573, 0.03208608233542618]","[0.6027428925186809, 0.0, 0.4041558129688891, 0.6254033531802564, 0.0, 0.0, 0.39306451929001746, 0.0]","[0.20444779098033905, 1.004511833190918, 1.0533133745193481, 0.727873682975769, -0.07594720274209976, 0.35001128911972046, 0.4008176028728485, 0.45312467217445374]",39.088802337646484
8,SpatialESN,8,2.39058780670166,0.1254123400565199,0.7851433251537382,0.7630197040736675,"[0.12498737947385373, 0.125088343683024, 0.12498737947385373, 0.12498737947385373, 0.12498737947385373, 0.12498737947385373, 0.12498737947385373, 0.12498737947385373]","[0.907475068809394, 0.8781555972158259, 0.895612162920054, 0.8915178471539219, 0.9111614572136508, 0.9501910389285547, 0.9286963879361886, 0.9144510345978373]","[0.04883114830189069, 0.09064843968252369, 0.0566004175693147, 0.06930740461178493, 0.05999767854000274, 0.02786756350207198, 0.044097944471856776, 0.053275643057557796]","[0.03334657252021499, 0.045650352913660854, 0.01777514344344321, 0.03984016448600956, 0.11518922151449063, -0.011654166168740489, 0.05088336391330125, 0.11959451396552853]","[0.0, 0.19513125594586653, 0.0, 0.0, 0.0, 0.779427980424003, 0.0, 0.0]","[0.754920244216919, 1.0144048929214478, 0.9920557141304016, 3.2512171268463135, 0.7973979711532593, 0.09393064677715302, 0.09150579571723938, 1.429673194885254]",39.10480976104736
9,SpatialESN,8,2.4038918018341064,0.11565080764288949,0.7858512593016028,0.7546910670399666,"[0.1251774396043586, 0.12497465148509164, 0.12497465148509164, 0.12497465148509164, 0.12497465148509164, 0.12497465148509164, 0.12497465148509164, 0.12497465148509164]","[0.877061484868565, 0.8859626237312497, 0.9036472010934584, 0.8813767039152884, 0.9273293862342674, 0.9496006076190677, 0.9218086349937862, 0.9308510662372796]","[0.08525646536987823, 0.07812934477967558, 0.06995946074210166, 0.07426571982143228, 0.044795469032202884, 0.024039628956293673, 0.03195210678570711, 0.04701765538333845]","[0.035204797343096755, -0.004195956636370554, -0.02620048149923708, 0.10165348313203672, 0.04421894531808895, 0.018974865030985222, 0.15504489164911633, -0.011678351723381832]","[0.5401843119589289, 0.0632960065226061, 0.47815190563235627, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.059645991772413254, 0.9192893505096436, 0.3416968882083893, 0.6155349612236023, 0.552263081073761, 2.1392452716827393, 0.4409131407737732, 1.124599575996399]",39.47370362281799
10,SpatialESN,8,2.3943681716918945,0.12264416474447903,0.7860429904520512,0.7524354064464569,"[0.12503477731661924, 0.12495992035994077, 0.12495992035994077, 0.12497868852202132, 0.12495992035994077, 0.12517466091490292, 0.12495992035994077, 0.12497219180669344]","[0.91344782683259, 0.878646633799007, 0.917968292878191, 0.9219273838729632, 0.9096148043100855, 0.926526395343703, 0.9324485993341621, 0.9298334310355105]","[0.03225975751633562, 0.0720645482451646, 0.04271336722947905, 0.03759603770236277, 0.0523686753798282, 0.03801965503550047, 0.032812355927306185, 0.031704416205426945]","[0.05682444062901276, 0.08904144274656758, -0.06058634352256995, 0.00487276395931126, -0.05119634775182323, 0.06225502093044657, 0.10197123570217984, 0.01012697631616098]","[0.32669490533487094, 0.0, 0.027871437840125232, 0.8198414269827319, 0.8096854986923431, 0.7254214781659789, 0.0, 0.30587809233642277]","[0.6211938261985779, 0.7648108601570129, 0.5809152722358704, 0.23422101140022278, 0.17744843661785126, 0.06186297535896301, 2.203303813934326, 0.38755011558532715]",39.14662480354309
11,SpatialESN,8,2.381368398666382,0.1321451571503357,0.7870481429666281,0.7406100827455521,"[0.12492694311750664, 0.125215963134925, 0.12492694311750664, 0.12492694311750664, 0.12492694311750664, 0.12512613198025876, 0.12492694311750664, 0.12502318929728307]","[0.916668279110411, 0.9042982531791817, 0.9238750681196548, 0.9030957338286099, 0.9108863144022569, 0.9226574584473294, 0.9276351236143766, 0.9245103690130216]","[0.029230731019873817, 0.05599130771316705, 0.036416542691590705, 0.054086510040336676, 0.05225292188798848, 0.03568768762618035, 0.0324665207093899, 0.023458768174265295]","[-0.07089782553541218, 0.07639449064859868, -0.0228066455087865, 0.06663868672150158, 0.0369968604716086, 0.06019929797988851, 0.15293762989521573, 0.06291268897128524]","[0.0, 0.5402430012224506, 0.0, 0.0, 0.0, 0.741576280212732, 0.0, 0.5218219390463916]","[0.8826019763946533, 0.6711255311965942, 1.611802577972412, 0.7913927435874939, 1.6756831407546997, 0.20080049335956573, 0.8195884227752686, 0.09307239949703217]",39.263396978378296
