round,arch,n_workers,rmse,r2,gamma,U,alphas,betas,consensus,stability,progress,worker_losses,elapsed
1,SpatialInformer,2,2.132840633392334,0.30383734831048204,0.771480433651805,0.9237596040964127,"[0.5024180572077711, 0.49758194279222895]","[0.6308671712016951, 0.663833489637605]","[0.16371588252818056, 0.16371588252818056]","[0.05942759490804545, 0.10098125861350495]","[0.9941488848727876, 0.0]","[0.008073635399341583, 1.1175111532211304]",12.098381519317627
2,SpatialInformer,2,1.510379433631897,0.6508869444423344,0.7822665999770164,0.7968635296821593,"[0.4951750058264264, 0.5048249941735736]","[0.6576563162677812, 0.6281658852268086]","[0.17481796161390514, 0.17481796161390514]","[0.0296256220928699, 0.15421223934842668]","[0.13865163868453828, 0.7425577269578757]","[0.02791505679488182, 0.6807405352592468]",12.273897409439087
3,SpatialInformer,2,1.4482839107513428,0.6790027233405117,0.786567496497929,0.7462647470831871,"[0.49736701741798617, 0.5026329825820138]","[0.6526142674323833, 0.6364957635313339]","[0.16954030064119524, 0.16954030064119524]","[0.05760190528195502, 0.12394477155661632]","[0.0, 0.5012002095914606]","[0.3034001588821411, 0.03177642822265625]",12.085107803344727
4,SpatialInformer,2,1.4443840980529785,0.6807290811095171,0.7883633674815297,0.725136853158474,"[0.49409858395385736, 0.5059014160461427]","[0.6622510684184151, 0.6631502354433317]","[0.12165680170578543, 0.12165680170578543]","[0.09158793914940465, 0.11855110062042727]","[0.0, 1.6367961365083477]","[0.4766662120819092, -0.16018491983413696]",12.178079605102539
5,SpatialInformer,2,1.301759958267212,0.7406681966957501,0.7849564442276954,0.7652183032035828,"[0.5, 0.5]","[0.6412369430840076, 0.7106893052071572]","[0.09385199130758709, 0.09385199130758709]","[0.14146766432429256, -0.010516814950130076]","[0.0, 0.0]","[1.306004285812378, 0.4680500030517578]",12.157871961593628
6,SpatialInformer,2,1.1190356016159058,0.8083619269349673,0.7917768281325698,0.6849784925580025,"[0.5, 0.5]","[0.64170124372069, 0.6586196626509516]","[0.1550646243118614, 0.1550646243118614]","[0.08940206060841652, 0.07017328578342541]","[0.0, 0.0]","[1.530662178993225, 0.2342289835214615]",12.886962890625
7,SpatialInformer,2,1.1941497325897217,0.7817714808822545,0.6299539303207399,0.7359716129302979,"[0.5009596637998347, 0.4990403362001653]","[0.6679509817097962, 0.6830565070043139]","[0.08775363757714266, 0.08775363757714266]","[0.1179755210340563, 0.05436592200873428]","[0.3707863491026589, 0.0]","[0.3228856921195984, 0.5533465147018433]",12.404868125915527
8,SpatialInformer,2,1.223587989807129,0.7708792552740361,0.6313265283977985,0.7157863470911979,"[0.5009439143661002, 0.4990560856338998]","[0.6679022851544608, 0.6859459418983267]","[0.08406544825919118, 0.08406544825919118]","[0.15539369171066897, 0.06302591842646994]","[0.289030274917455, 0.0]","[0.05153504014015198, 0.7741829752922058]",12.063524961471558
9,SpatialInformer,2,1.0797232389450073,0.8215901546265094,0.7888895279079675,0.7189467304944992,"[0.5, 0.5]","[0.6696806613055579, 0.6475987263406667]","[0.1331936197263691, 0.1331936197263691]","[-0.012224764954869438, 0.06565203225403585]","[0.8244018109777547, 0.0]","[0.0713270902633667, 0.458623468875885]",12.106223106384277
10,SpatialInformer,2,1.0930371284484863,0.817163122828548,0.788953779952228,0.7181908240914345,"[0.4986388895339537, 0.5013611104660463]","[0.7036779594256405, 0.6283628765727826]","[0.12208433236385381, 0.12208433236385381]","[0.14823726142885774, 0.1048760286681174]","[0.0, 0.42522527343789884]","[0.68410325050354, 0.07669943571090698]",12.156317472457886
11,SpatialInformer,2,1.1235084533691406,0.8068269110179905,0.6362444414997102,0.6434640955924987,"[0.5, 0.5]","[0.6659566496778436, 0.6272784017212799]","[0.16631048176719568, 0.16631048176719568]","[0.11257832139234178, 0.11370436276364586]","[0.0, 0.0]","[0.13931292295455933, 0.1395990550518036]",12.09976053237915
12,SpatialInformer,2,1.2367088794708252,0.7659390673888227,0.6325611262094974,0.6976304969191551,"[0.5005806484670644, 0.4994193515329356]","[0.7546256420051466, 0.6438079827619485]","[0.040970757697237105, 0.040970757697237105]","[0.09396148268355187, 0.06153337408166361]","[0.6033252247513605, 0.0]","[0.3861050605773926, 3.1611971855163574]",12.944144248962402
13,SpatialInformer,2,1.1608257293701172,0.7937813384358658,0.6354731379723549,0.6548067945241929,"[0.5011913382952481, 0.4988086617047519]","[0.6909153533263775, 0.6807735151261932]","[0.0593953277902283, 0.0593953277902283]","[0.1701170790180999, 0.05907474218422123]","[0.4716247915770107, 0.0]","[0.26023006439208984, 2.1255340576171875]",12.24424433708191
14,SpatialInformer,2,1.1062055826187134,0.8127311093860785,0.792365360084176,0.6780545872449875,"[0.5, 0.5]","[0.7068857676182253, 0.6508871277064033]","[0.08320218369131092, 0.08320218369131092]","[0.10560986108095118, 0.08937696596198408]","[0.0, 0.0]","[0.274584025144577, 2.279843807220459]",12.113648414611816
15,SpatialInformer,2,1.1973274946212769,0.7806084848365593,0.6341593741750717,0.6741268503665925,"[0.5, 0.5]","[0.7395585760689599, 0.6284024192932312]","[0.08381220793487638, 0.08381220793487638]","[0.0834305912126759, 0.08845819317064098]","[0.0, 0.0]","[0.17652370035648346, 0.6118101477622986]",12.228963851928711
