round,arch,n_workers,rmse,r2,gamma,U,alphas,betas,consensus,stability,progress,worker_losses,elapsed
1,SpatialMamba,8,2.245720624923706,0.22819879800390552,0.7687575914271175,0.9557930420339107,"[0.12581868344322036, 0.1291995591930045, 0.12366096689391562, 0.12337134115149352, 0.12302041829368099, 0.12729282543457882, 0.12358599780949678, 0.12405020778060945]","[0.8475245473608868, 0.856096703148591, 0.8795793945979418, 0.887192900437863, 0.8952022366666997, 0.8357294796519082, 0.8670927257760096, 0.8506006897124249]","[0.16980372044125427, 0.15020415367175063, 0.12647390925698895, 0.11937764201495671, 0.1088684120285017, 0.17374586518367158, 0.14533931324205304, 0.16109799214868573]","[0.14399960199730924, 0.24461225164357078, 0.0484415696786112, 0.05206018153438459, 0.09465403915547689, 0.2069376593105683, 0.13166699850917893, 0.13443839648411324]","[0.9198356588200152, 1.3338452998578139, 0.8476730307771111, 0.45834090523572923, 0.0, 0.9495265123965436, 0.23969609831506972, 0.3848991200877734]","[0.18695059418678284, -0.2527061700820923, 0.546942412853241, 1.2134459018707275, 1.057202696800232, 0.3840906023979187, 0.517366886138916, 1.180519461631775]",157.25537633895874
2,SpatialMamba,8,1.7444616556167603,0.5342886902845606,0.7811141571439802,0.8104216806590557,"[0.12350443881801497, 0.12298436867786282, 0.12421820680803575, 0.12305303439397286, 0.13508858871867552, 0.12397218261670753, 0.12419481128886775, 0.12298436867786282]","[0.8616354867214829, 0.8646193806123248, 0.8784648483001032, 0.9013701605540756, 0.8590515106156327, 0.8691703728120622, 0.8679275748637797, 0.8928345253249687]","[0.1480970308571284, 0.13707345222355946, 0.1152410863653862, 0.11398157636028013, 0.13473718530583487, 0.13279678023032834, 0.13513134607060628, 0.10396622942130818]","[0.06280608484529868, 0.057936754549156165, 0.11277803693595038, 0.006612259400620367, 0.0909161961181222, 0.07183638614140134, 0.0841996341958993, 0.16660817691652763]","[0.45367861857354336, 0.0, 0.7680815957392131, 0.7406142519348232, 7.663274592113651, 0.8386011074717321, 0.8607953646783456, 0.0]","[0.4127900302410126, 2.0630266666412354, 0.21797868609428406, 0.11213988065719604, -0.5477195978164673, 0.09494157880544662, 0.08572723716497421, 0.38984447717666626]",155.2943069934845
3,SpatialMamba,8,1.4042013883590698,0.6982461933697552,0.7897299394771456,0.7090595355629921,"[0.12266654697573263, 0.12458012231097888, 0.12266654697573263, 0.12533181434363047, 0.12380667249303624, 0.12266654697573263, 0.13561520294942392, 0.12266654697573263]","[0.8745487859424682, 0.8532316980712097, 0.8769979405797584, 0.9343148795196079, 0.8883929166816293, 0.8928477625541873, 0.9184373123080987, 0.8955860332525898]","[0.10783835543770327, 0.13310743839824576, 0.10783579298582602, 0.04987040360557239, 0.09670849827034471, 0.08793860045650807, 0.05956185467959015, 0.07952722827910896]","[-0.018387702399257768, 0.11344766444738291, 0.030077775034439348, 0.060991949782203056, 0.1608849340963484, 0.0918641693484168, 0.104117960416615, 0.012276198218900787]","[0.0, 1.0250762642761189, 0.0, 7.066811218006362, 0.5946158399938204, 0.0, 16.18197014514092, 0.0]","[0.6946506500244141, -0.012700969353318214, 0.10225632041692734, -0.1071307435631752, 0.4466220438480377, 0.16875465214252472, -0.532334566116333, 1.503259539604187]",155.50816774368286
4,SpatialMamba,8,1.2773672342300415,0.7502960030896162,0.7940951753489673,0.657703819423914,"[0.12490397191186978, 0.12490397191186978, 0.12496578702012001, 0.12490397191186978, 0.12518198701711494, 0.12490397191186978, 0.12490397191186978, 0.12533236640341605]","[0.929982795029587, 0.8653108119352221, 0.9552951337344541, 0.926654627494996, 0.9166795721260073, 0.8823048355376051, 0.8763709147353792, 0.8627392165054092]","[0.04940425422064731, 0.11875187879665035, 0.018829047670126258, 0.01975560792034304, 0.06610938507174266, 0.09208919676012874, 0.08841455007740671, 0.110035291874428]","[0.08146092868331098, 0.04418079840730191, 0.024008820392050417, 0.06270113597143145, 0.02441228496653101, 0.09033979403325093, 0.18656765245461718, 0.050898539918483574]","[0.0, 0.0, 1.0945120332317972, 0.0, 1.3776524325851094, 0.0, 0.0, 0.6113471130994297]","[0.4238314926624298, 0.45986270904541016, -0.04601428657770157, 0.7835118174552917, -0.1779422163963318, 0.42183947563171387, -0.22397860884666443, 0.2371699959039688]",155.78464341163635
5,SpatialMamba,8,1.2085793018341064,0.7764656869930634,0.7973443328037858,0.61947843760252,"[0.12474186282692966, 0.12474186282692966, 0.12474186282692966, 0.12474186282692966, 0.1247728642542413, 0.12578721908649348, 0.12573060252461685, 0.12474186282692966]","[0.9195932768972699, 0.961348643828468, 0.9410082355098134, 0.8986313553265264, 0.896304881324619, 0.9404481678991878, 0.8821253611202469, 0.8742497570026823]","[0.04578743676456503, -0.016473000126817065, 0.016406962909184555, 0.05688356025447621, 0.06957276753048813, 0.022641588599146906, 0.07303780030794202, 0.08567817092439596]","[-0.005704886129386226, 0.0614968761749305, 0.051645994276016585, 0.06345055322149117, 0.002853455342013939, 0.04379784110527552, 0.16085229764116624, -0.0030633454414722865]","[0.0, 0.0, 0.0, 0.0, 1.2517644699808015, 8.415494008869093, 0.6720163332579184, 0.0]","[1.1242684125900269, 0.1132192611694336, 12.995097160339355, 0.001089389086700976, -0.16183888912200928, -0.26547473669052124, 0.0921882763504982, 0.42255428433418274]",156.5192744731903
6,SpatialMamba,8,1.1433830261230469,0.7999320970718269,0.7985012814350426,0.6058672772347927,"[0.13022483302966786, 0.1257698062296407, 0.1253029113044054, 0.1237404898872572, 0.1237404898872572, 0.1237404898872572, 0.1237404898872572, 0.1237404898872572]","[0.8661604372272507, 0.8693395661094737, 0.8954768730701493, 0.8406253127705301, 0.8512724775723146, 0.8857934062374768, 0.8896410832722109, 0.8524744941794303]","[0.13632582849231736, 0.143276597089669, 0.13045747715711226, 0.1630047030204467, 0.1505583300096289, 0.13024585695789498, 0.11195114133344937, 0.15144674524831683]","[0.04190220823475862, 0.04221395665185374, 0.144239070123177, -0.007487067089235495, -0.0017539995336717843, 0.019933022355154963, 0.05876592922382639, 0.06713600574847736]","[8.941306690619943, 2.689489184291899, 0.6668179694211269, 0.7203375419057529, 0.0, 0.0, 0.0, 0.0]","[-0.10743685066699982, -0.26426777243614197, 0.20944592356681824, 0.08273179084062576, 1.1670129299163818, -0.11573387682437897, 0.32425057888031006, 0.4308677017688751]",156.56258082389832
7,SpatialMamba,8,1.0945320129394531,0.8166626699347916,0.8001332603033632,0.5866675258427858,"[0.12478869933832562, 0.12478869933832562, 0.12478869933832562, 0.1255332049317098, 0.12478869933832562, 0.12478869933832562, 0.12478869933832562, 0.12573459903833645]","[0.8932381000597314, 0.8814987326060891, 0.8972826288006368, 0.8958905740212016, 0.860323700288666, 0.9124692813904465, 0.8667078657838694, 0.8987423637841669]","[0.09563844659890257, 0.11032194870924701, 0.08800188697615288, 0.09002509177453963, 0.12960740242844218, 0.0791249680134831, 0.11751504339069922, 0.07639822692853415]","[-0.00600021719823013, 0.0405743074257441, 0.12590126865931597, 0.0903772062293124, 0.011995520481827688, 0.023825734914000533, 0.0734551130746052, 0.04429227540739493]","[0.0, 0.0, 0.0, 0.7311031117406237, 0.0, 0.0, 0.0, 2.231610160948232]","[1.2351810932159424, 1.801494836807251, -0.09232383966445923, 0.13845600187778473, 1.0668855905532837, 1.0820165872573853, -0.2990753948688507, -0.29706186056137085]",157.26543068885803
8,SpatialMamba,8,1.0823026895523071,0.8207366743811585,0.8019526909474283,0.5652624594420195,"[0.12481386568070921, 0.12504105558111964, 0.1247664077383783, 0.12521765277961824, 0.1247664077383783, 0.1247664077383783, 0.1247664077383783, 0.1258617950050397]","[0.8938875345581404, 0.9244048605246821, 0.9299164904083974, 0.9066945971349355, 0.9101180618491496, 0.8940145018081008, 0.8873438950505893, 0.882513185686505]","[0.08164093092940591, 0.054993829570765186, 0.047180866280034726, 0.06026756516104219, 0.06622775609299787, 0.0654353236032917, 0.0829236582546378, 0.08661571811606203]","[0.013283800061862916, 0.01396986946288176, 0.002660740110680635, 0.10907424616808599, 0.20963885957092782, 0.08424098702441944, 0.047284550774832755, 0.10708471356634845]","[0.35067902473377344, 2.862177854257258, 0.0, 0.5491941827679973, 0.0, 0.0, 0.0, 0.9424250394183271]","[-0.16312439739704132, -0.2933941185474396, 1.0496184825897217, 0.4748617708683014, 0.035104792565107346, 0.4662402868270874, 0.7784876823425293, 0.01616254821419716]",156.57118391990662
9,SpatialMamba,8,1.0556107759475708,0.8294696995831735,0.8006372026570141,0.580738792270422,"[0.12479506597272826, 0.12479506597272826, 0.12502286450860933, 0.12479506597272826, 0.12504715634880156, 0.12495121632280988, 0.12579849892886621, 0.12479506597272826]","[0.882667197256011, 0.888261935289249, 0.8669076301148928, 0.8971160189914412, 0.9298471106484458, 0.9046040316842173, 0.9259582045445603, 0.9091854822699289]","[0.09144453751485217, 0.08175124611781018, 0.10709266243420024, 0.08368678228053365, 0.05626288145541741, 0.07196121265389412, 0.027484704432249363, 0.07273265797110925]","[0.044251430733314154, 0.05927106170896706, 0.07007104349680286, 0.09693314883980039, 0.07991825420991162, 0.036286661280655275, 0.19023193449990822, -0.029236832991689367]","[0.0, 0.0, 0.24303091319967113, 0.0, 0.4488019842322229, 0.4788858131683102, 1.5317109252142398, 0.903734497953227]","[0.4701780676841736, 0.43767938017845154, 0.1383652687072754, 1.156866431236267, -0.4092651903629303, 0.1468275636434555, -0.30807310342788696, 0.09049569070339203]",155.6191110610962
10,SpatialMamba,8,0.9959111213684082,0.8482128101244951,0.8017632631447166,0.5674910218268633,"[0.1245491357400891, 0.12570421454594052, 0.1245491357400891, 0.1245491357400891, 0.12663199884252466, 0.1245491357400891, 0.1249181079110893, 0.1245491357400891]","[0.9120348937286668, 0.8865946307132465, 0.8943707843734345, 0.9290092140898919, 0.9035552396619072, 0.9152047559162035, 0.8818233382168891, 0.9022608631537411]","[0.0610311541792772, 0.08599277608945234, 0.07886757216279462, 0.05726323123025056, 0.06699898716866264, 0.05869052802339881, 0.08033598250754796, 0.06681897535567018]","[-0.02461314495918866, 0.11468179071946166, 0.08919353579344852, -0.01402783241296655, 0.05078324287304644, 0.028729143405792672, 0.02002079866212472, 0.014462699481360418]","[9.873710875684667, 0.9360710845107459, 0.0, 1.2489525824357914, 4.8744458836735465, 0.0, 1.839163569892957, 0.0]","[-0.16814525425434113, 0.020592428743839264, 0.7685399055480957, -0.06039499118924141, -0.22057482600212097, -0.0439157672226429, -0.17079070210456848, 0.3282134234905243]",156.20872473716736
