round,arch,n_workers,rmse,r2,gamma,U,alphas,betas,consensus,stability,progress,worker_losses,elapsed
1,SpatialS4,4,2.0342469215393066,0.36671199132895005,0.7773620580941438,0.8545640224218368,"[0.25290050347530385, 0.24842616984416008, 0.24942591979272968, 0.2492474068878063]","[0.6534605737153546, 0.6686717362424563, 0.7610819999540455, 0.6995418229336419]","[0.40031515851701843, 0.38043548940581573, 0.2978780336004498, 0.3367272121102854]","[0.041680463435601486, 0.10042329251048539, 0.06565568404933687, 0.023682875277881606]","[1.0698299410414442, 0.0, 0.20535813340069234, 0.4138500491099884]","[-0.18457019329071045, 0.6224522590637207, 0.7395086288452148, 0.36549851298332214]",42.74035620689392
2,SpatialS4,4,1.4579795598983765,0.6746904250426276,0.7869137878507375,0.7421907311677933,"[0.24883433671558644, 0.24883433671558644, 0.2534969898532407, 0.24883433671558644]","[0.7278130575343273, 0.6816972922594862, 0.7132408479108733, 0.7390682328049466]","[0.293732997359932, 0.3534059642120723, 0.32013245868233936, 0.3019609378495352]","[0.2492878425847669, 0.02895249404225156, 0.0726113271171621, 0.07377627151744873]","[0.0, 0.0, 0.798640746492092, 0.0]","[1.4258697032928467, 0.33694297075271606, 0.2995011806488037, 0.703072190284729]",42.7590069770813
3,SpatialS4,4,1.1508758068084717,0.7973013373100143,0.7844006580196321,0.7717569644749165,"[0.24907033422444988, 0.24907033422444988, 0.24907033422444988, 0.2527889973266504]","[0.730399855039467, 0.7555118873268217, 0.7580639264700297, 0.8288438858530545]","[0.23834623797095855, 0.23852410698547663, 0.21737239398845135, 0.1783061518185548]","[0.12512141966944834, 0.09496103846324667, 0.11805729190962556, 0.10252141267955266]","[0.0, 0.0, 0.0, 0.8107037070251747]","[0.57143634557724, 1.1648626327514648, 0.5945938229560852, 0.1826356053352356]",42.913426637649536
4,SpatialS4,4,1.1300978660583496,0.8045543470639497,0.7905283635273576,0.699666311442852,"[0.25, 0.25, 0.25, 0.25]","[0.8055142947076136, 0.7609196726327704, 0.7508722392880006, 0.7908205350454294]","[0.17059608404881113, 0.21847501165670788, 0.2220646448641518, 0.167201295026752]","[0.13581951505894088, 0.08521488720047204, 0.07389117359661179, 0.15796421640867875]","[0.0, 0.0, 0.0, 0.0]","[0.7066978216171265, 1.0260921716690063, 0.41574162244796753, 0.5190697908401489]",43.54345750808716
5,SpatialS4,4,1.0242637395858765,0.8394473419626212,0.7922044823914767,0.6799472659826278,"[0.24990136803627624, 0.249759350231714, 0.2505799315002957, 0.249759350231714]","[0.7980398173279325, 0.7599722292747241, 0.8096784428884533, 0.8511350289189346]","[0.16066170783082231, 0.17105068756245245, 0.145216118315726, 0.07393827559362387]","[0.03597299932964433, 0.09241528209521958, 0.01846549030703365, 0.13845951694912478]","[0.09835947570039108, 0.0, 1.2232438469829237, 0.0]","[0.3628525137901306, 2.081939458847046, -0.16309931874275208, 0.05047076568007469]",42.985103607177734
6,SpatialS4,4,0.9207742810249329,0.8702521035927995,0.7930046732328832,0.6705332560837269,"[0.2504307216879602, 0.24818502949538754, 0.2531992193212648, 0.24818502949538754]","[0.8101108009757033, 0.8324666503157802, 0.7652975264356696, 0.7682647049239826]","[0.16498961503056694, 0.1608030184566855, 0.18503641442126972, 0.16266605611420037]","[0.06430791267826483, 0.0426189462587801, 0.14417722791967877, 0.08127811256861157]","[0.8489783731899313, 0.0, 0.7497576429169892, 0.0]","[0.2203872799873352, 0.7166721224784851, 0.19485580921173096, 0.397737592458725]",43.689918518066406
7,SpatialS4,4,0.8679051399230957,0.8847241233769024,0.7929467709898949,0.6712144589424134,"[0.23897510085405496, 0.23897510085405496, 0.23922970142518293, 0.2828200968667071]","[0.8249629529486358, 0.7586406544157315, 0.8173482326044204, 0.8166622784891057]","[0.13873098231496223, 0.1747893990015863, 0.13953139192407435, 0.11132561555590674]","[0.070939295506582, 0.03570349269313955, 0.04661546034207229, 0.13260791104698266]","[0.0, 0.0, 0.16371092096706316, 11.410658372543464]","[0.581400990486145, 0.06393804401159286, 0.8173618316650391, -0.5023362636566162]",43.54895567893982
8,SpatialS4,4,0.8550119996070862,0.8881236365083306,0.7990938913404941,0.5988953959941864,"[0.25111824910538066, 0.24945889995263232, 0.24945889995263232, 0.24996395098935467]","[0.8284263988948568, 0.782296910734438, 0.7627243043124037, 0.8236449995076387]","[0.1386016091659786, 0.16524556257196077, 0.17941497297596676, 0.11560549931181531]","[0.04066499027577724, 0.04130215214399871, 0.029409622464660886, 0.06370091551844491]","[1.1762782143678914, 0.0, 0.0, 0.27464707649172787]","[-0.10316015779972076, 0.11298064887523651, 0.406577467918396, -0.414749413728714]",43.080450773239136
9,SpatialS4,4,0.8752305507659912,0.8827699643451249,0.6413785976034403,0.5679617999494075,"[0.25421470948774894, 0.248595096837417, 0.248595096837417, 0.248595096837417]","[0.7766063249429017, 0.7801695111743628, 0.80497198149473, 0.8499713890832443]","[0.16427999117988126, 0.16011217059475802, 0.1385252367161999, 0.0997782796969033]","[0.1501636288135733, 0.10760018472772406, 0.05845959349547929, -0.034270989760538315]","[0.9061529121413622, 0.0, 0.0, 2.339966507656062]","[0.10056142508983612, 0.32034915685653687, 0.13081710040569305, -0.33626866340637207]",42.8401403427124
10,SpatialS4,4,0.978512704372406,0.8534698773033413,0.6416659018486739,0.5637367375195026,"[0.24976125263576446, 0.24976125263576446, 0.25071624209270654, 0.24976125263576446]","[0.766055511750763, 0.8338871891762044, 0.8022053125384738, 0.8423812617955203]","[0.16584094839363628, 0.11725564673968913, 0.1224247548193219, 0.09087921031675023]","[0.02264978187066986, 0.045947700596947694, 0.09756068724911308, 0.17857239882987735]","[0.0, 0.0, 0.31952260687491424, 0.0]","[0.6756597757339478, -0.00698179192841053, -0.2030445635318756, -0.14056287705898285]",42.70759296417236
11,SpatialS4,4,0.8884192705154419,0.8792102991265808,0.6416376199358702,0.5641526480019092,"[0.24928681243992373, 0.24928681243992373, 0.24928681243992373, 0.25213956268022886]","[0.7615816102958325, 0.8242476453814551, 0.8263999190993777, 0.8415275446092766]","[0.167367383787646, 0.09208133813233331, 0.13137396401485862, 0.08800539159154393]","[0.15857766060950487, 0.03686248671918586, 0.015403514393401834, 0.15000642935530314]","[0.0, 0.0, 0.0, 0.8619309713388086]","[0.3500847816467285, 1.0251107215881348, -0.010096140205860138, 0.12649041414260864]",42.79474639892578
