round,arch,n_workers,rmse,r2,gamma,U,alphas,betas,consensus,stability,progress,worker_losses,elapsed
1,SpatialTransformer,4,2.4875636100769043,0.05301671578360656,0.7694742082864046,0.9473622554540635,"[0.24948084635078446, 0.2515574609476467, 0.24948084635078446, 0.24948084635078446]","[0.702160303289011, 0.6957154944004328, 0.7460142969140523, 0.6952964730050402]","[0.34882365823975187, 0.33473131677541557, 0.2985547841686938, 0.3381378589277733]","[-0.04983282179024074, 0.04739688821583404, 0.10060705269762533, 0.17587527872796538]","[0.8348304243521317, 0.5224825637633523, 0.0, 0.0]","[0.21008644998073578, 1.075608730316162, 1.0836358070373535, 0.20555876195430756]",20.603180646896362
2,SpatialTransformer,4,2.266167402267456,0.21408075519738146,0.7773205230295658,0.8550526702404022,"[0.25, 0.25, 0.25, 0.25]","[0.7681427455834654, 0.7446627337603867, 0.7539731765193558, 0.7697400431689798]","[0.2161969082506685, 0.2375924758527792, 0.25704830509141974, 0.2216151246889455]","[0.06178558002339344, 0.0651306585568261, 0.04880657088473794, 0.030250920903387216]","[0.0, 0.0, 0.0, 0.0]","[0.9809359908103943, 0.3325897455215454, 1.1471028327941895, 1.2039837837219238]",21.31586456298828
3,SpatialTransformer,4,1.7215912342071533,0.5464198353143054,0.7833574922055007,0.7840295034646988,"[0.2527990306760345, 0.24744277128723827, 0.24744277128723827, 0.2523154267494889]","[0.7540818218692896, 0.6886936362954906, 0.6670049330723395, 0.6831150595391331]","[0.30431998509595165, 0.3666340952854605, 0.374496092541677, 0.3561074404460136]","[0.14096928319347124, 0.030278588625209872, 0.001609714268489915, 0.04088756376003173]","[0.49919870630484864, 0.0, 0.0, 1.339298787564571]","[0.715919017791748, 0.7411704659461975, 0.6161467432975769, -0.0795416310429573]",21.139728307724
4,SpatialTransformer,4,1.3143187761306763,0.7356402228937204,0.7852227949760855,0.7620847649872302,"[0.24638910240613832, 0.24706411540561035, 0.260157679782113, 0.24638910240613832]","[0.7582892496902854, 0.7571495699373342, 0.684175751463574, 0.7258767774418287]","[0.2638348119476866, 0.280944122561079, 0.3191971908415706, 0.3020430088569137]","[-0.013173710180046656, 0.110176834935833, 0.10372117900437226, 0.0122837509489874]","[0.0, 0.08838687149645552, 1.6424042808673616, 0.0]","[0.284512460231781, 0.5566186904907227, -0.13842397928237915, -0.03351294621825218]",20.87156105041504
5,SpatialTransformer,4,1.0975967645645142,0.8156345363465144,0.7879635500729084,0.7298405873775482,"[0.2501420096703518, 0.24995266344321607, 0.24995266344321607, 0.24995266344321607]","[0.7754013977911273, 0.7506664682130008, 0.7436326393820062, 0.7905854162816569]","[0.20883706265615642, 0.23982930711056186, 0.24628963830637626, 0.1797399720465296]","[0.0038373629916791364, 0.15007161001859398, 0.1285795320400511, 0.140073477542821]","[0.9449301797894967, 0.0, 0.0, 0.0]","[0.08531618118286133, 0.04675588011741638, 0.48266929388046265, 2.8250021934509277]",20.750412225723267
6,SpatialTransformer,4,0.9862420558929443,0.8511458467344761,0.7927697966009378,0.6732965105772017,"[0.24841565505266644, 0.2562290042076023, 0.24733975153679277, 0.24801558920293845]","[0.7927618828710152, 0.790615241544099, 0.7796847851986285, 0.871023525756362]","[0.13852472611645422, 0.14521545856141074, 0.15647103596541034, 0.07659956232275268]","[0.23687705434760056, 0.05666373962172117, 0.0490733433510913, 0.029234603460264103]","[0.13227788782010996, 4.291050504102914, 0.0, 1.2185234847997382]","[1.4495043754577637, -0.0839543491601944, -0.030739234760403633, -0.11564414203166962]",20.944792985916138
7,SpatialTransformer,4,0.9128673076629639,0.8724709202728896,0.7912238760404289,0.691483811289072,"[0.24870311120285163, 0.24870311120285163, 0.24870311120285163, 0.25389066639144514]","[0.8281344862189185, 0.8049359951868655, 0.8348160135872179, 0.8168997424091448]","[0.11459995799153266, 0.13486093383308692, 0.11232064422326431, 0.06613226668146205]","[0.10349456406433402, 0.08420426270318726, -0.005428883775016406, 0.1652580161752265]","[0.0, 0.0, 1.526234409594225, 1.8889275830110774]","[0.30711591243743896, 0.11151790618896484, -0.34610071778297424, -0.20245203375816345]",21.148512363433838
8,SpatialTransformer,4,0.9113615155220032,0.8728912932311782,0.7954967329412699,0.6412149065732956,"[0.2509342837646903, 0.24960923949099662, 0.24984723725331645, 0.24960923949099662]","[0.7870918267315488, 0.8131660504758879, 0.8325090324671055, 0.8304325815674808]","[0.14558850332056894, 0.1408139000025114, 0.08664544541910563, 0.08046971534485996]","[0.002344121945214238, -0.00044393153764671117, 0.07380560305467093, 0.1516524720827619]","[15.513617939911926, 0.0, 0.1490303557872663, 0.0]","[-0.46021804213523865, -0.04034563899040222, 0.19298073649406433, 0.5725704431533813]",20.86667776107788
9,SpatialTransformer,4,0.8483736515045166,0.8898541119178747,0.7968821589805185,0.6249157766997814,"[0.24950913407971193, 0.2504671663419551, 0.24997322010459852, 0.25005047947373443]","[0.8156554714359393, 0.8142175800111128, 0.7980720065840068, 0.8551887480329022]","[0.10524062116483164, 0.10304453190620795, 0.1292023702086125, 0.06856508564201044]","[0.014150562012814429, 0.06643767827095237, 0.07693591450792167, 0.05714043327331444]","[0.3047013894238567, 0.6260672274990503, 0.23259191931160828, 0.6690058143330756]","[0.49636760354042053, -0.2820304036140442, 0.20875360071659088, 0.3609875440597534]",20.548385620117188
10,SpatialTransformer,4,0.8507134914398193,0.8892457130146834,0.7973538474552333,0.6193665005266666,"[0.2541952124511361, 0.25018668372582537, 0.24771956746370327, 0.24789853635933526]","[0.8259292725315952, 0.8007892200131316, 0.8067558212210753, 0.8432810918734887]","[0.09768387787932294, 0.12364141571993681, 0.11936187709059524, 0.07903844985454983]","[0.07302263522866606, 0.19717430561991106, 0.1576629162629736, 0.12048155923876198]","[3.6176530726034306, 0.4065011102094961, 0.0, 0.0758415902772408]","[-0.4588842988014221, 0.2293798178434372, 0.19240015745162964, 0.8159979581832886]",21.474345922470093
